"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1999","16-34 y.","higher education","24.77","16.79","33","1","10","36","41","153","14.2","35.34","1","153","11","33"
"1999","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1999","16-34 y.","in school","","","","","","","","","","","","","",""
"1999","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1999","16-34 y.","middle vocational","25.42","15","110","7","10","32","49","153","18.86","31.98","1","230","14","26"
"1999","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1999","35-65 y.","general elemantary","48.55","46.3","32","13","29","58","70","205","31.94","65.16","6","205","26","56"
"1999","35-65 y.","higher education","51.01","33","102","8","13","77","111","205","41.16","60.86","1","215","21","36"
"1999","35-65 y.","higher vocational","59.34","44.66","44","15","23","72","123","256","42.49","76.19","1","256","25","51"
"1999","35-65 y.","in school","","","","","","","","","","","","","",""
"1999","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1999","35-65 y.","middle vocational","57.26","41","246","11","19","66","92","501","49.39","65.13","1","614","26","41"
"1999","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1999","66 and older","general elemantary","","","","","","","","","","","","","",""
"1999","66 and older","higher education","","","","","","","","","","","","","",""
"1999","66 and older","higher vocational","","","","","","","","","","","","","",""
"1999","66 and older","in school","","","","","","","","","","","","","",""
"1999","66 and older","inadequately","","","","","","","","","","","","","",""
"1999","66 and older","middle vocational","88.01","78.2","55","17","57","98","145","297","73.74","102.28","5","297","72","95"
"1999","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2000","16-34 y.","general elemantary","16.34","11.63","30","4","5","26","41","49","11.69","20.99","3","49","7","21"
"2000","16-34 y.","higher education","34.84","28.94","68","5","15","40","51","205","23.23","46.45","1","291","23","34"
"2000","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2000","16-34 y.","in school","","","","","","","","","","","","","",""
"2000","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2000","16-34 y.","middle vocational","27.55","15.96","195","7","10","32","61","143","23.83","31.27","1","143","13","20"
"2000","16-34 y.","vocational + Abi","25.37","24.43","36","3","10","38","51","61","19.38","31.36","1","61","10","33"
"2000","35-65 y.","general elemantary","42.18","29.57","38","8","15","65","77","179","30.07","54.29","1","179","18","61"
"2000","35-65 y.","higher education","56.39","41","236","8","20","70","128","256","48.71","64.07","1","458","31","46"
"2000","35-65 y.","higher vocational","63.29","41","98","10","20","66","128","511","49.59","76.99","2","511","31","51"
"2000","35-65 y.","in school","","","","","","","","","","","","","",""
"2000","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2000","35-65 y.","middle vocational","52.09","41","530","10","16","67","102","258","47.83","56.35","1","501","32","41"
"2000","35-65 y.","vocational + Abi","59.7","49.9","51","8","26","74","108","358","41.45","77.95","1","358","31","56"
"2000","66 and older","general elemantary","","","","","","","","","","","","","",""
"2000","66 and older","higher education","95","77","46","10","51","112","164","501","71.12","118.88","2","501","66","102"
"2000","66 and older","higher vocational","","","","","","","","","","","","","",""
"2000","66 and older","in school","","","","","","","","","","","","","",""
"2000","66 and older","inadequately","","","","","","","","","","","","","",""
"2000","66 and older","middle vocational","84.34","80.78","88","15","55","102","147","205","72.13","96.55","8","383","73","92"
"2000","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2001","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2001","16-34 y.","higher education","37.84","30.16","61","8","15","41","77","205","27","48.68","1","205","20","33"
"2001","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2001","16-34 y.","in school","","","","","","","","","","","","","",""
"2001","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2001","16-34 y.","middle vocational","23.73","15","180","5","9","31","51","92","20.64","26.82","1","116","14","18"
"2001","16-34 y.","vocational + Abi","27.89","26","40","9","13","43","48","61","22.54","33.24","1","61","13","31"
"2001","35-65 y.","general elemantary","35.94","30.01","30","1","6","51","66","205","20.92","50.96","1","205","13","40"
"2001","35-65 y.","higher education","46.81","34.68","218","8","15","61","102","205","39.83","53.79","1","463","26","36"
"2001","35-65 y.","higher vocational","45.94","43","98","8","16","61","82","225","37.97","53.91","1","271","27","46"
"2001","35-65 y.","in school","","","","","","","","","","","","","",""
"2001","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2001","35-65 y.","middle vocational","45.48","38","484","7","15","61","87","184","41.54","49.42","1","460","28","38"
"2001","35-65 y.","vocational + Abi","49.3","41.33","56","8","17","64","102","179","31.26","67.34","1","460","26","51"
"2001","66 and older","general elemantary","","","","","","","","","","","","","",""
"2001","66 and older","higher education","83.39","79.09","43","5","41","103","171","281","65.24","101.54","2","281","69","102"
"2001","66 and older","higher vocational","","","","","","","","","","","","","",""
"2001","66 and older","in school","","","","","","","","","","","","","",""
"2001","66 and older","inadequately","","","","","","","","","","","","","",""
"2001","66 and older","middle vocational","88.4","77.48","102","18","41","102","153","348","77.42","99.38","2","348","61","85"
"2001","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2002","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2002","16-34 y.","higher education","34.8","30","60","8","17","50","80","80","29.47","40.13","1","80","29","45"
"2002","16-34 y.","higher vocational","25.2","18.5","30","2","8","37","50","120","14.91","35.49","1","120","15","37"
"2002","16-34 y.","in school","","","","","","","","","","","","","",""
"2002","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2002","16-34 y.","middle vocational","22.1","14.04","207","6","10","25","50","100","15.39","28.81","1","636","12","17"
"2002","16-34 y.","vocational + Abi","29.95","30","35","7","15","47","50","75","23.45","36.45","1","75","15","40"
"2002","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2002","35-65 y.","higher education","50.22","40","327","10","15","61","100","250","43.46","56.98","1","510","36","50"
"2002","35-65 y.","higher vocational","45.62","30","115","10","17","60","72","250","35.91","55.33","2","350","26","50"
"2002","35-65 y.","in school","","","","","","","","","","","","","",""
"2002","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2002","35-65 y.","middle vocational","45.98","35","588","10","16","60","90","220","42.3","49.66","1","380","30","40"
"2002","35-65 y.","vocational + Abi","56.28","43.53","78","12","24","75","100","250","43.37","69.19","1","290","35","57"
"2002","66 and older","general elemantary","","","","","","","","","","","","","",""
"2002","66 and older","higher education","106.21","90","79","35","75","140","180","360","90.44","121.98","2","360","90","130"
"2002","66 and older","higher vocational","","","","","","","","","","","","","",""
"2002","66 and older","in school","","","","","","","","","","","","","",""
"2002","66 and older","inadequately","","","","","","","","","","","","","",""
