"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","16-34 y.","college entrance qualification","24.69","20","68","1","13","32","43","97","18.78","30.6","1","153","15","31"
"1999","16-34 y.","lower secondary degree","26.71","15","45","6","10","36","61","153","14.62","38.8","1","230","12","27"
"1999","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","16-34 y.","Other degree","","","","","","","","","","","","","",""
"1999","16-34 y.","secondary school degree","25.59","13","87","4","8","31","56","128","12.93","38.25","1","511","11","20"
"1999","35-65 y.","college entrance qualification","52.82","37.23","105","10","20","77","111","203","43.76","61.88","1","215","28","43"
"1999","35-65 y.","lower secondary degree","60.2","41","169","11","20","63","102","614","50.77","69.63","2","614","26","41"
"1999","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","35-65 y.","Other degree","","","","","","","","","","","","","",""
"1999","35-65 y.","secondary school degree","52.74","42.28","159","10","18","70","92","289","43.44","62.04","1","501","29","41"
"1999","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"1999","66 and older","lower secondary degree","69.14","74","51","10","18","92","139","197","55.84","82.44","1","197","41","84"
"1999","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","66 and older","Other degree","","","","","","","","","","","","","",""
"1999","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2000","16-34 y.","college entrance qualification","29.83","26","134","5","10","36","51","205","23.47","36.19","1","291","18","29"
"2000","16-34 y.","lower secondary degree","32.42","18","67","5","9","37","128","143","26.27","38.57","2","143","10","20"
"2000","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2000","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2000","16-34 y.","secondary school degree","25.4","15","152","5","9","32","61","133","21.01","29.79","1","143","14","20"
"2000","35-65 y.","college entrance qualification","57.64","44","242","9","23","71","128","220","50.85","64.43","1","358","36","50"
"2000","35-65 y.","lower secondary degree","53.98","41","340","10","15","66","104","258","47.96","60","1","511","31","44"
"2000","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
