"plh0177","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","in school","2","","","","0"
"0 Completely dissatisfied","1984","no migration background","inadequately","4","","","","0"
"0 Completely dissatisfied","1984","no migration background","general elemantary","24","","","","0"
"0 Completely dissatisfied","1984","no migration background","middle vocational","47","0.00922657230558763","0.00646809377418062","0.0119850508369946","0"
"0 Completely dissatisfied","1984","no migration background","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher education","1","","","","0"
"0 Completely dissatisfied","1984","direct migration background","in school","1","","","","0"
"0 Completely dissatisfied","1984","direct migration background","inadequately","53","0.0607557515449972","0.045468491870965","0.0760430112190293","0"
"0 Completely dissatisfied","1984","direct migration background","general elemantary","62","0.057108616771325","0.043172077555353","0.0710451559872971","0"
"0 Completely dissatisfied","1984","direct migration background","middle vocational","50","0.0272087217171978","0.0172489344616466","0.0371685089727489","0"
"0 Completely dissatisfied","1984","direct migration background","vocational + Abi","6","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher education","4","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","general elemantary","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","middle vocational","3","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher education","","","","","0"
"1 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","middle vocational","1","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","general elemantary","24","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","middle vocational","30","0.00604428297415907","0.00380804431775153","0.00828052163056661","1"
"1 on Scale 1 to 10","1984","no migration background","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","1984","no migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","inadequately","1","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher vocational","4","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher education","5","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","inadequately","26","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","general elemantary","22","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","middle vocational","16","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","vocational + Abi","5","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher education","3","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","in school","","","","","1"
