"plh0206i02","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Male","621","0.215989630157595","0.201626024957411","0.230353235357779"
"1 Strongly disagree","2005","Not Employed","Female","1285","0.297418284371914","0.284334293624042","0.310502275119786"
"1 Strongly disagree","2005","Employed","Male","960","0.1481597655017","0.139668382029607","0.156651148973793"
"1 Strongly disagree","2005","Employed","Female","1252","0.219810537856811","0.20940810159007","0.230212974123552"
"2 on scale 1-7 ","2005","Not Employed","Male","526","0.159091210211276","0.146324363484898","0.171858056937654"
"2 on scale 1-7 ","2005","Not Employed","Female","956","0.196609062814555","0.185233491817397","0.207984633811712"
"2 on scale 1-7 ","2005","Employed","Male","1331","0.190038701765135","0.180661194700649","0.199416208829621"
"2 on scale 1-7 ","2005","Employed","Female","1347","0.207139776409927","0.196959939131227","0.217319613688626"
"3 on scale 1-7 ","2005","Not Employed","Male","587","0.179853558412343","0.166447801948434","0.193259314876253"
"3 on scale 1-7 ","2005","Not Employed","Female","798","0.164495525591701","0.153884449977565","0.175106601205837"
"3 on scale 1-7 ","2005","Employed","Male","1301","0.189034943339817","0.179676440960433","0.198393445719202"
"3 on scale 1-7 ","2005","Employed","Female","1093","0.177355118172679","0.167760253977287","0.186949982368071"
"4 on scale 1-7","2005","Not Employed","Male","619","0.192828492163775","0.179057836463922","0.206599147863627"
"4 on scale 1-7","2005","Not Employed","Female","761","0.156847700476189","0.146438914780675","0.167256486171704"
"4 on scale 1-7","2005","Employed","Male","1424","0.208282170501622","0.19857605402433","0.217988286978915"
"4 on scale 1-7","2005","Employed","Female","1146","0.188625953306056","0.178798928577104","0.198452978035008"
"5 on scale 1-7","2005","Not Employed","Male","356","0.112442777795504","0.101415963268091","0.123469592322917"
"5 on scale 1-7","2005","Not Employed","Female","444","0.0912384986768546","0.0829967000332736","0.0994802973204355"
"5 on scale 1-7","2005","Employed","Male","835","0.121679874711758","0.113865935423362","0.129493814000153"
"5 on scale 1-7","2005","Employed","Female","680","0.107996095583617","0.100199622675484","0.115792568491749"
"6 on scale 1-7","2005","Not Employed","Male","215","0.0657300655985895","0.0570803002699501","0.0743798309272289"
"6 on scale 1-7","2005","Not Employed","Female","222","0.0437476914035583","0.0378934342817496","0.049601948525367"
"6 on scale 1-7","2005","Employed","Male","436","0.0691546405112737","0.0630902987036956","0.0752189823188519"
"6 on scale 1-7","2005","Employed","Female","298","0.0476383528344284","0.0422879055903041","0.0529888000785527"
"7 Strongly agree","2005","Not Employed","Male","229","0.0740642656609184","0.064923535495333","0.0832049958265037"
"7 Strongly agree","2005","Not Employed","Female","223","0.0496432366652282","0.0434262296977128","0.0558602436327437"
"7 Strongly agree","2005","Employed","Male","437","0.0736499036686938","0.0674066942096476","0.0798931131277399"
"7 Strongly agree","2005","Employed","Female","272","0.0514341658364819","0.045885732677387","0.0569825989955767"
"1 Strongly disagree","2006","Not Employed","Male","","","",""
"1 Strongly disagree","2006","Not Employed","Female","","","",""
"1 Strongly disagree","2006","Employed","Male","","","",""
"1 Strongly disagree","2006","Employed","Female","","","",""
"2 on scale 1-7 ","2006","Not Employed","Male","","","",""
"2 on scale 1-7 ","2006","Not Employed","Female","","","",""
"2 on scale 1-7 ","2006","Employed","Male","","","",""
"2 on scale 1-7 ","2006","Employed","Female","","","",""
"3 on scale 1-7 ","2006","Not Employed","Male","","","",""
"3 on scale 1-7 ","2006","Not Employed","Female","","","",""
"3 on scale 1-7 ","2006","Employed","Male","","","",""
"3 on scale 1-7 ","2006","Employed","Female","","","",""
"4 on scale 1-7","2006","Not Employed","Male","","","",""
"4 on scale 1-7","2006","Not Employed","Female","","","",""
"4 on scale 1-7","2006","Employed","Male","","","",""
"4 on scale 1-7","2006","Employed","Female","","","",""
"5 on scale 1-7","2006","Not Employed","Male","","","",""
"5 on scale 1-7","2006","Not Employed","Female","","","",""
"5 on scale 1-7","2006","Employed","Male","","","",""
"5 on scale 1-7","2006","Employed","Female","","","",""
"6 on scale 1-7","2006","Not Employed","Male","","","",""
