"plh0206i02","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","West Germany","1454","0.273246111386507","0.261714862570245","0.284777360202768","1"
"1 Strongly disagree","2005","Not Employed","East Germany","452","0.235613470418835","0.217484271610047","0.253742669227622","1"
"1 Strongly disagree","2005","Employed","West Germany","1762","0.187396470499762","0.179697519205388","0.195095421794135","1"
"1 Strongly disagree","2005","Employed","East Germany","450","0.147895172209826","0.135069608225563","0.160720736194089","1"
"2 on scale 1-7 ","2005","Not Employed","East Germany","435","0.201479017806018","0.184344175197126","0.218613860414911","2"
"2 on scale 1-7 ","2005","Employed","West Germany","2082","0.19851523641519","0.190645574512645","0.206384898317736","2"
"2 on scale 1-7 ","2005","Employed","East Germany","596","0.194337746355336","0.180041959991632","0.208633532719041","2"
"2 on scale 1-7 ","2005","Not Employed","West Germany","1047","0.176525692777939","0.16665983943976","0.186391546116118","2"
"3 on scale 1-7 ","2005","Not Employed","East Germany","357","0.168233828016199","0.152253733957257","0.184213922075142","3"
"3 on scale 1-7 ","2005","Employed","West Germany","1837","0.182913739975182","0.175286478496884","0.19054100145348","3"
"3 on scale 1-7 ","2005","Employed","East Germany","557","0.187728492067166","0.173620387637998","0.201836596496334","3"
"3 on scale 1-7 ","2005","Not Employed","West Germany","1028","0.171178964595936","0.161432182741533","0.18092574645034","3"
"4 on scale 1-7","2005","Employed","East Germany","632","0.219486395653507","0.204532752869016","0.234440038437998","4"
"4 on scale 1-7","2005","Not Employed","East Germany","384","0.186992996766578","0.170336569408965","0.203649424124191","4"
"4 on scale 1-7","2005","Employed","West Germany","1938","0.195251698655747","0.187431118685976","0.203072278625518","4"
"4 on scale 1-7","2005","Not Employed","West Germany","996","0.166767875941681","0.1571219290304","0.176413822852963","4"
"5 on scale 1-7","2005","Employed","West Germany","1161","0.115277309172872","0.108976635097695","0.121577983248048","5"
"5 on scale 1-7","2005","Not Employed","East Germany","229","0.0940492186251009","0.0815796353830923","0.10651880186711","5"
"5 on scale 1-7","2005","Not Employed","West Germany","571","0.101096707139657","0.0932960595738018","0.108897354705511","5"
"5 on scale 1-7","2005","Employed","East Germany","354","0.116373064440478","0.104787594137805","0.127958534743152","5"
"6 on scale 1-7","2005","Employed","West Germany","548","0.059084665020321","0.0544328313405421","0.0637364987000998","6"
