"plh0206i02","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","2861","0.218116564674061","0.211233221212624","0.224999908135498","1"
"1 Strongly disagree","2005","Rural Area","1257","0.207418184163027","0.197800320740797","0.217036047585257","1"
"2 on scale 1-7 ","2005","Rural Area","1343","0.18602522115678","0.176794735993686","0.195255706319875","2"
"2 on scale 1-7 ","2005","Urban Area","2817","0.193769133404353","0.187181095053698","0.200357171755008","2"
"3 on scale 1-7 ","2005","Urban Area","2541","0.1829097484622","0.176466015261461","0.189353481662938","3"
"3 on scale 1-7 ","2005","Rural Area","1238","0.168479822885261","0.159601243457749","0.177358402312774","3"
"4 on scale 1-7","2005","Rural Area","1370","0.20437807566711","0.194812664044123","0.213943487290097","4"
"4 on scale 1-7","2005","Urban Area","2580","0.180527949398402","0.174116984381366","0.186938914415437","4"
"5 on scale 1-7","2005","Urban Area","1521","0.109135862818266","0.10393861302238","0.114333112614151","5"
"5 on scale 1-7","2005","Rural Area","794","0.108936612492376","0.10154610311328","0.116327121871472","5"
"6 on scale 1-7","2005","Rural Area","427","0.0619034060043041","0.0561871168160292","0.067619695192579","6"
"6 on scale 1-7","2005","Urban Area","744","0.0541703954180214","0.0503975278246706","0.0579432630113722","6"
"7 Strongly agree","2005","Rural Area","398","0.0628586776311404","0.0571013850055964","0.0686159702566844","7"
"7 Strongly agree","2005","Urban Area","763","0.0613703458246977","0.0573698803167663","0.0653708113326291","7"
"1 Strongly disagree","2006","Urban Area","","","","","1"
"1 Strongly disagree","2006","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","","","","","2"
"3 on scale 1-7 ","2006","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","","","","","3"
"4 on scale 1-7","2006","Urban Area","","","","","4"
"4 on scale 1-7","2006","Rural Area","","","","","4"
"5 on scale 1-7","2006","Rural Area","","","","","5"
"5 on scale 1-7","2006","Urban Area","","","","","5"
"6 on scale 1-7","2006","Rural Area","","","","","6"
"6 on scale 1-7","2006","Urban Area","","","","","6"
"7 Strongly agree","2006","Rural Area","","","","","7"
"7 Strongly agree","2006","Urban Area","","","","","7"
"1 Strongly disagree","2007","Urban Area","","","","","1"
"1 Strongly disagree","2007","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","","","","","3"
"4 on scale 1-7","2007","Rural Area","","","","","4"
"4 on scale 1-7","2007","Urban Area","","","","","4"
"5 on scale 1-7","2007","Rural Area","","","","","5"
"5 on scale 1-7","2007","Urban Area","","","","","5"
"6 on scale 1-7","2007","Rural Area","","","","","6"
"6 on scale 1-7","2007","Urban Area","","","","","6"
"7 Strongly agree","2007","Urban Area","","","","","7"
"7 Strongly agree","2007","Rural Area","","","","","7"
"1 Strongly disagree","2008","Urban Area","","","","","1"
"1 Strongly disagree","2008","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","","","","","2"
"3 on scale 1-7 ","2008","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","","","","","3"
"4 on scale 1-7","2008","Urban Area","","","","","4"
"4 on scale 1-7","2008","Rural Area","","","","","4"
"5 on scale 1-7","2008","Rural Area","","","","","5"
"5 on scale 1-7","2008","Urban Area","","","","","5"
"6 on scale 1-7","2008","Rural Area","","","","","6"
"6 on scale 1-7","2008","Urban Area","","","","","6"
"7 Strongly agree","2008","Urban Area","","","","","7"
"7 Strongly agree","2008","Rural Area","","","","","7"
"1 Strongly disagree","2009","Urban Area","","","","","1"
"1 Strongly disagree","2009","Rural Area","","","","","1"
"2 on scale 1-7 ","2009","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Urban Area","","","","","2"
"3 on scale 1-7 ","2009","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","","","","","3"
"4 on scale 1-7","2009","Rural Area","","","","","4"
"4 on scale 1-7","2009","Urban Area","","","","","4"
"5 on scale 1-7","2009","Rural Area","","","","","5"
"5 on scale 1-7","2009","Urban Area","","","","","5"
"6 on scale 1-7","2009","Rural Area","","","","","6"
"6 on scale 1-7","2009","Urban Area","","","","","6"
"7 Strongly agree","2009","Urban Area","","","","","7"
"7 Strongly agree","2009","Rural Area","","","","","7"
"1 Strongly disagree","2010","Urban Area","2039","0.189626146795444","0.182306526929996","0.196945766660891","1"
"1 Strongly disagree","2010","Rural Area","948","0.163768290456064","0.154118850883984","0.173417730028144","1"
"2 on scale 1-7 ","2010","Urban Area","2448","0.212142714216595","0.204509023763303","0.219776404669887","2"
"2 on scale 1-7 ","2010","Rural Area","1188","0.195695158749125","0.185350307518379","0.20604000997987","2"
"3 on scale 1-7 ","2010","Rural Area","1084","0.208669850182215","0.198074078889032","0.219265621475397","3"
"3 on scale 1-7 ","2010","Urban Area","2329","0.19970766600546","0.192242862103324","0.207172469907595","3"
"4 on scale 1-7","2010","Rural Area","1078","0.182458321547989","0.1723875984244","0.192529044671577","4"
"4 on scale 1-7","2010","Urban Area","1969","0.178737026541012","0.171583089842884","0.185890963239139","4"
"5 on scale 1-7","2010","Rural Area","713","0.128668890216482","0.119938126100373","0.137399654332592","5"
"5 on scale 1-7","2010","Urban Area","1148","0.114472243260254","0.108527297547978","0.120417188972531","5"
"6 on scale 1-7","2010","Urban Area","529","0.0477649890403029","0.0437827839715577","0.0517471941090482","6"
"6 on scale 1-7","2010","Rural Area","315","0.0574737123001153","0.0514048787277215","0.0635425458725091","6"
"7 Strongly agree","2010","Urban Area","556","0.0575492141409328","0.0532006513421643","0.0618977769397012","7"
"7 Strongly agree","2010","Rural Area","324","0.0632657765480108","0.0569180752459849","0.0696134778500368","7"
"1 Strongly disagree","2011","Urban Area","","","","","1"
"1 Strongly disagree","2011","Rural Area","","","","","1"
"2 on scale 1-7 ","2011","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","","","","","3"
"4 on scale 1-7","2011","Rural Area","","","","","4"
"4 on scale 1-7","2011","Urban Area","","","","","4"
"5 on scale 1-7","2011","Rural Area","","","","","5"
"5 on scale 1-7","2011","Urban Area","","","","","5"
"6 on scale 1-7","2011","Rural Area","","","","","6"
"6 on scale 1-7","2011","Urban Area","","","","","6"
"7 Strongly agree","2011","Urban Area","","","","","7"
"7 Strongly agree","2011","Rural Area","","","","","7"
"1 Strongly disagree","2012","Urban Area","","","","","1"
"1 Strongly disagree","2012","Rural Area","","","","","1"
"2 on scale 1-7 ","2012","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","","","","","2"
"3 on scale 1-7 ","2012","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Urban Area","","","","","3"
"4 on scale 1-7","2012","Rural Area","","","","","4"
"4 on scale 1-7","2012","Urban Area","","","","","4"
"5 on scale 1-7","2012","Rural Area","","","","","5"
"5 on scale 1-7","2012","Urban Area","","","","","5"
"6 on scale 1-7","2012","Urban Area","","","","","6"
"6 on scale 1-7","2012","Rural Area","","","","","6"
"7 Strongly agree","2012","Urban Area","","","","","7"
"7 Strongly agree","2012","Rural Area","","","","","7"
"1 Strongly disagree","2013","Urban Area","","","","","1"
"1 Strongly disagree","2013","Rural Area","","","","","1"
"2 on scale 1-7 ","2013","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Urban Area","","","","","2"
"3 on scale 1-7 ","2013","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Urban Area","","","","","3"
"4 on scale 1-7","2013","Rural Area","","","","","4"
"4 on scale 1-7","2013","Urban Area","","","","","4"
"5 on scale 1-7","2013","Urban Area","","","","","5"
"5 on scale 1-7","2013","Rural Area","","","","","5"
"6 on scale 1-7","2013","Rural Area","","","","","6"
"6 on scale 1-7","2013","Urban Area","","","","","6"
"7 Strongly agree","2013","Urban Area","","","","","7"
"7 Strongly agree","2013","Rural Area","","","","","7"
"1 Strongly disagree","2014","Urban Area","","","","","1"
"1 Strongly disagree","2014","Rural Area","","","","","1"
"2 on scale 1-7 ","2014","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","","","","","2"
"3 on scale 1-7 ","2014","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Urban Area","","","","","3"
"4 on scale 1-7","2014","Rural Area","","","","","4"
"4 on scale 1-7","2014","Urban Area","","","","","4"
"5 on scale 1-7","2014","Rural Area","","","","","5"
"5 on scale 1-7","2014","Urban Area","","","","","5"
"6 on scale 1-7","2014","Urban Area","","","","","6"
"6 on scale 1-7","2014","Rural Area","","","","","6"
"7 Strongly agree","2014","Urban Area","","","","","7"
"7 Strongly agree","2014","Rural Area","","","","","7"
"1 Strongly disagree","2015","Urban Area","5052","0.260494550450373","0.254006767462668","0.266982333438079","1"
"1 Strongly disagree","2015","Rural Area","2420","0.244098232944958","0.235281386134663","0.252915079755254","1"
"2 on scale 1-7 ","2015","Rural Area","2193","0.243718324129436","0.23490612753115","0.252530520727723","2"
"2 on scale 1-7 ","2015","Urban Area","4671","0.268790261775866","0.262237052270511","0.27534347128122","2"
"3 on scale 1-7 ","2015","Rural Area","1568","0.181436770996629","0.173526578232049","0.189346963761208","3"
"3 on scale 1-7 ","2015","Urban Area","2833","0.166778275115087","0.161267961266702","0.172288588963472","3"
"4 on scale 1-7","2015","Rural Area","1368","0.149518035835121","0.142198599413144","0.156837472257098","4"
