"plh0206i02","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","89","0.146990190643456","0.119726680034343","0.17425370125257"
"1 Strongly disagree","2005","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","127","0.14873529348616","0.124571510781582","0.172899076190738"
"1 Strongly disagree","2005","16-34 y.","middle vocational","298","0.126835269327161","0.113328486149155","0.140342052505168"
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","51","0.149307815206934","0.115893323100468","0.1827223073134"
"1 Strongly disagree","2005","16-34 y.","higher vocational","41","0.202423781280752","0.147554237965755","0.257293324595749"
"1 Strongly disagree","2005","16-34 y.","higher education","65","0.153348775938948","0.122408679964405","0.184288871913492"
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","35","0.255590933742523","0.179124359536216","0.332057507948829"
"1 Strongly disagree","2005","35-65 y.","general elemantary","206","0.251844904501591","0.222116709341414","0.281573099661768"
"1 Strongly disagree","2005","35-65 y.","middle vocational","1176","0.202758685831615","0.192542842120136","0.212974529543094"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","117","0.194603714834429","0.162739654291502","0.226467775377356"
"1 Strongly disagree","2005","35-65 y.","higher vocational","190","0.185549572107257","0.162524375993858","0.208574768220657"
"1 Strongly disagree","2005","35-65 y.","higher education","562","0.205511270808325","0.190991281430017","0.220031260186633"
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","237","0.344869064689112","0.310621996032928","0.379116133345297"
"1 Strongly disagree","2005","66 and older","middle vocational","554","0.318228489719725","0.297549413933947","0.338907565505503"
"1 Strongly disagree","2005","66 and older","vocational + Abi","32","0.385023305892233","0.2901246104653","0.479922001319167"
"1 Strongly disagree","2005","66 and older","higher vocational","81","0.306737712830403","0.250249155462402","0.363226270198405"
"1 Strongly disagree","2005","66 and older","higher education","180","0.286523222601985","0.252184762850138","0.320861682353832"
"2 on scale 1-7 ","2005","16-34 y.","in school","117","0.159896451580505","0.13167714027067","0.18811576289034"
"2 on scale 1-7 ","2005","16-34 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","119","0.121835150726452","0.0996225240542954","0.144047777398608"
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","455","0.190655773542283","0.174712575708629","0.206598971375936"
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","106","0.267080486660464","0.225598782079306","0.308562191241623"
"2 on scale 1-7 ","2005","16-34 y.","higher vocational","33","0.16446615527828","0.113844682765053","0.215087627791508"
"2 on scale 1-7 ","2005","16-34 y.","higher education","137","0.267890906108309","0.229863551399293","0.305918260817324"
"2 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","35-65 y.","general elemantary","125","0.158492887071303","0.133481376370312","0.183504397772293"
