"plh0206i02","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","no migration background","527","0.137038004773174","0.126537363279144","0.147538646267204","1"
"1 Strongly disagree","2005","16-34 y.","direct migration background","109","0.177819723762778","0.145267276135084","0.210372171390472","1"
"1 Strongly disagree","2005","16-34 y.","indirect migration background","87","0.125460990930419","0.100209250815373","0.150712731045465","1"
"1 Strongly disagree","2005","35-65 y.","no migration background","1847","0.192055617108422","0.184317564132963","0.199793670083882","1"
"1 Strongly disagree","2005","35-65 y.","direct migration background","411","0.287669617059603","0.264489426034428","0.310849808084777","1"
"1 Strongly disagree","2005","35-65 y.","indirect migration background","31","0.187722298395946","0.126248161625081","0.249196435166812","1"
"1 Strongly disagree","2005","66 and older","no migration background","958","0.309597455006199","0.29404116452827","0.325153745484127","1"
"1 Strongly disagree","2005","66 and older","direct migration background","143","0.425224816241742","0.374367541515653","0.47608209096783","1"
"1 Strongly disagree","2005","66 and older","indirect migration background","5","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","32","0.229232995211788","0.163059760593232","0.295406229830344","2"
"2 on scale 1-7 ","2005","16-34 y.","no migration background","780","0.18579448421339","0.173918136304944","0.197670832121835","2"
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","126","0.174596189844473","0.145656226484945","0.203536153204001","2"
"2 on scale 1-7 ","2005","35-65 y.","no migration background","2092","0.197670317574605","0.189847294368824","0.205493340780386","2"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","275","0.170174656735419","0.150931776919121","0.189417536551717","2"
"2 on scale 1-7 ","2005","66 and older","no migration background","694","0.1990453253094","0.185610373201829","0.212480277416971","2"
"2 on scale 1-7 ","2005","66 and older","direct migration background","53","0.153561174511341","0.116473186061883","0.190649162960799","2"
"2 on scale 1-7 ","2005","66 and older","indirect migration background","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","106","0.176735587802255","0.144261135764159","0.20921003984035","2"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","101","0.202973141902185","0.168730605853683","0.237215677950687","3"
"3 on scale 1-7 ","2005","16-34 y.","no migration background","802","0.192707219312786","0.180663406146088","0.204751032479484","3"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","31","0.167170053938292","0.10842928198597","0.225910825890615","3"
"3 on scale 1-7 ","2005","66 and older","no migration background","588","0.165968760649137","0.153450024227415","0.178487497070859","3"
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","139","0.227285566426792","0.195337630696164","0.25923350215742","3"
"3 on scale 1-7 ","2005","35-65 y.","no migration background","1841","0.178330572028824","0.170811072709433","0.185850071348216","3"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","229","0.165551791259741","0.146519287944568","0.184584294574914","3"
"3 on scale 1-7 ","2005","66 and older","direct migration background","46","0.110107449438548","0.0779062598818811","0.142308638995214","3"
"3 on scale 1-7 ","2005","66 and older","indirect migration background","2","","","","3"
"4 on scale 1-7","2005","16-34 y.","direct migration background","100","0.218143528373597","0.182983854300714","0.25330320244648","4"
"4 on scale 1-7","2005","16-34 y.","indirect migration background","120","0.186566488560328","0.156868624824954","0.216264352295702","4"
"4 on scale 1-7","2005","35-65 y.","indirect migration background","31","0.172094120512428","0.112670960653263","0.231517280371593","4"
"4 on scale 1-7","2005","66 and older","no migration background","535","0.156302615404857","0.144083700644349","0.168521530165366","4"
"4 on scale 1-7","2005","66 and older","direct migration background","62","0.154901001366457","0.117681059994851","0.192120942738064","4"
"4 on scale 1-7","2005","35-65 y.","direct migration background","256","0.164600210218283","0.145611666786648","0.183588753649918","4"
"4 on scale 1-7","2005","35-65 y.","no migration background","1934","0.193137960194717","0.185383333052394","0.20089258733704","4"
"4 on scale 1-7","2005","66 and older","indirect migration background","1","","","","4"
"4 on scale 1-7","2005","16-34 y.","no migration background","911","0.217836497171572","0.205232346706959","0.230440647636185","4"
"5 on scale 1-7","2005","35-65 y.","no migration background","1115","0.11105466089328","0.104882554800115","0.117226766986445","5"
"5 on scale 1-7","2005","35-65 y.","indirect migration background","13","","","","5"
"5 on scale 1-7","2005","66 and older","no migration background","282","0.0739208162758228","0.0651171494300402","0.0827244831216053","5"
"5 on scale 1-7","2005","16-34 y.","direct migration background","53","0.11223601564603","0.0853624658200686","0.139109565471991","5"
"5 on scale 1-7","2005","16-34 y.","indirect migration background","94","0.133477634141992","0.107551276966052","0.159403991317931","5"
"5 on scale 1-7","2005","35-65 y.","direct migration background","151","0.119459282243819","0.102851411702871","0.136067152784768","5"
"5 on scale 1-7","2005","66 and older","direct migration background","22","","","","5"
"5 on scale 1-7","2005","66 and older","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","16-34 y.","no migration background","584","0.137890085414795","0.127362050340084","0.148418120489506","5"
"6 on scale 1-7","2005","66 and older","no migration background","167","0.0465292600208159","0.0394420888985221","0.0536164311431096","6"
"6 on scale 1-7","2005","66 and older","direct migration background","16","","","","6"
"6 on scale 1-7","2005","16-34 y.","no migration background","280","0.0656749958056934","0.0581110484835524","0.0732389431278344","6"
"6 on scale 1-7","2005","16-34 y.","direct migration background","25","","","","6"
"6 on scale 1-7","2005","35-65 y.","no migration background","577","0.0625014197204379","0.0577463410181858","0.0672564984226899","6"
"6 on scale 1-7","2005","35-65 y.","indirect migration background","7","","","","6"
"6 on scale 1-7","2005","66 and older","indirect migration background","1","","","","6"
"6 on scale 1-7","2005","16-34 y.","indirect migration background","39","0.0568179187399187","0.039170231735183","0.0744656057446543","6"
"6 on scale 1-7","2005","35-65 y.","direct migration background","59","0.0341073473502169","0.0248130260454444","0.0434016686549893","6"
"7 Strongly agree","2005","35-65 y.","indirect migration background","10","","","","7"
"7 Strongly agree","2005","66 and older","direct migration background","21","","","","7"
"7 Strongly agree","2005","66 and older","indirect migration background","","","","","7"
"7 Strongly agree","2005","66 and older","no migration background","169","0.0486357673337684","0.0413979526854481","0.0558735819820887","7"
"7 Strongly agree","2005","16-34 y.","no migration background","236","0.0630587133085905","0.0556365889999878","0.0704808376171933","7"
"7 Strongly agree","2005","16-34 y.","direct migration background","36","0.0691252362015275","0.0475291974197637","0.0907212749832914","7"
"7 Strongly agree","2005","16-34 y.","indirect migration background","56","0.095795211356078","0.0733588377793877","0.118231584932768","7"
"7 Strongly agree","2005","35-65 y.","no migration background","549","0.0652494524797128","0.0603980896227367","0.0701008153366889","7"
"7 Strongly agree","2005","35-65 y.","direct migration background","84","0.0584370951329172","0.0464255671224386","0.0704486231433958","7"
"1 Strongly disagree","2006","16-34 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","no migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","direct migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","no migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","indirect migration background","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","no migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","direct migration background","","","","","3"
"4 on scale 1-7","2006","66 and older","indirect migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","no migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","direct migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2006","66 and older","no migration background","","","","","4"
"4 on scale 1-7","2006","66 and older","direct migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","no migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","direct migration background","","","","","4"
"5 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","no migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","direct migration background","","","","","5"
"5 on scale 1-7","2006","35-65 y.","direct migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","no migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","direct migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","indirect migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2006","35-65 y.","no migration background","","","","","5"
"6 on scale 1-7","2006","16-34 y.","direct migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","no migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","direct migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","indirect migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","direct migration background","","","","","6"
"6 on scale 1-7","2006","16-34 y.","no migration background","","","","","6"
"6 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","no migration background","","","","","6"
"7 Strongly agree","2006","66 and older","indirect migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","indirect migration background","","","","","7"
"7 Strongly agree","2006","66 and older","no migration background","","","","","7"
"7 Strongly agree","2006","66 and older","direct migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","no migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","direct migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","indirect migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","no migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","direct migration background","","","","","7"
"1 Strongly disagree","2007","35-65 y.","direct migration background","","","","","1"
"1 Strongly disagree","2007","35-65 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","no migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","direct migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","indirect migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","no migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","direct migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2007","35-65 y.","no migration background","","","","","1"
"2 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","no migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","no migration background","","","","","2"
"3 on scale 1-7 ","2007","66 and older","no migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","66 and older","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","66 and older","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","","","3"
"4 on scale 1-7","2007","66 and older","indirect migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2007","66 and older","no migration background","","","","","4"
"4 on scale 1-7","2007","66 and older","direct migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","direct migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","no migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","direct migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","no migration background","","","","","4"
"5 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","no migration background","","","","","5"
"5 on scale 1-7","2007","35-65 y.","direct migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","direct migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","no migration background","","","","","5"
"5 on scale 1-7","2007","35-65 y.","no migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","indirect migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","direct migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","5"
"6 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","no migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","direct migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","indirect migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","no migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","direct migration background","","","","","6"
"6 on scale 1-7","2007","35-65 y.","direct migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2007","35-65 y.","no migration background","","","","","6"
