"plh0206i02","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","723","0.140942853642254","0.131584649861837","0.15030105742267"
"1 Strongly disagree","2005","35-65 y.","2289","0.205910002840046","0.198543503128523","0.213276502551568"
"1 Strongly disagree","2005","66 and older","1106","0.322076317350203","0.307156536542505","0.3369960981579"
"2 on scale 1-7 ","2005","16-34 y.","1012","0.183236827541284","0.172832490893277","0.19364116418929"
"2 on scale 1-7 ","2005","35-65 y.","2399","0.194045170980077","0.186840828307557","0.201249513652597"
"2 on scale 1-7 ","2005","66 and older","749","0.194336754903766","0.181702579767452","0.206970930040079"
"3 on scale 1-7 ","2005","16-34 y.","1042","0.198292428897229","0.187569313022006","0.209015544772453"
"3 on scale 1-7 ","2005","35-65 y.","2101","0.176339939013227","0.1693971025105","0.183282775515954"
"3 on scale 1-7 ","2005","66 and older","636","0.160325418678323","0.148610228623648","0.172040608732998"
"4 on scale 1-7","2005","16-34 y.","1131","0.214038176054874","0.203007394431336","0.225068957678412"
"4 on scale 1-7","2005","35-65 y.","2221","0.18873839038781","0.181609890008061","0.195866890767559"
"4 on scale 1-7","2005","66 and older","598","0.155693766982377","0.144117240891858","0.167270293072897"
"5 on scale 1-7","2005","16-34 y.","731","0.133998130195354","0.124836585086057","0.143159675304652"
"5 on scale 1-7","2005","35-65 y.","1279","0.1122959784554","0.106544178320631","0.11804777859017"
"5 on scale 1-7","2005","66 and older","305","0.0723190970276685","0.0640488506142805","0.0805893434410565"
"6 on scale 1-7","2005","16-34 y.","344","0.0616221747326575","0.0551549594354904","0.0680893900298247"
"6 on scale 1-7","2005","35-65 y.","643","0.058242254383635","0.0539757098803356","0.0625087988869344"
"6 on scale 1-7","2005","66 and older","184","0.0466903172585863","0.0399539918460614","0.0534266426711111"
"7 Strongly agree","2005","16-34 y.","328","0.0678694089363474","0.0611049143375081","0.0746339035351866"
"7 Strongly agree","2005","35-65 y.","643","0.0644282639398049","0.0599556197292496","0.0689009081503603"
"7 Strongly agree","2005","66 and older","190","0.0485583277990767","0.0416953026582036","0.0554213529399499"
"1 Strongly disagree","2006","16-34 y.","","","",""
"1 Strongly disagree","2006","35-65 y.","","","",""
"1 Strongly disagree","2006","66 and older","","","",""
"2 on scale 1-7 ","2006","16-34 y.","","","",""
"2 on scale 1-7 ","2006","35-65 y.","","","",""
"2 on scale 1-7 ","2006","66 and older","","","",""
"3 on scale 1-7 ","2006","16-34 y.","","","",""
"3 on scale 1-7 ","2006","35-65 y.","","","",""
"3 on scale 1-7 ","2006","66 and older","","","",""
"4 on scale 1-7","2006","16-34 y.","","","",""
"4 on scale 1-7","2006","35-65 y.","","","",""
"4 on scale 1-7","2006","66 and older","","","",""
"5 on scale 1-7","2006","16-34 y.","","","",""
"5 on scale 1-7","2006","35-65 y.","","","",""
"5 on scale 1-7","2006","66 and older","","","",""
"6 on scale 1-7","2006","16-34 y.","","","",""
"6 on scale 1-7","2006","35-65 y.","","","",""
"6 on scale 1-7","2006","66 and older","","","",""
"7 Strongly agree","2006","16-34 y.","","","",""
"7 Strongly agree","2006","35-65 y.","","","",""
"7 Strongly agree","2006","66 and older","","","",""
"1 Strongly disagree","2007","16-34 y.","","","",""
"1 Strongly disagree","2007","35-65 y.","","","",""
"1 Strongly disagree","2007","66 and older","","","",""
"2 on scale 1-7 ","2007","16-34 y.","","","",""
"2 on scale 1-7 ","2007","35-65 y.","","","",""
"2 on scale 1-7 ","2007","66 and older","","","",""
"3 on scale 1-7 ","2007","16-34 y.","","","",""
"3 on scale 1-7 ","2007","35-65 y.","","","",""
"3 on scale 1-7 ","2007","66 and older","","","",""
"4 on scale 1-7","2007","16-34 y.","","","",""
"4 on scale 1-7","2007","35-65 y.","","","",""
"4 on scale 1-7","2007","66 and older","","","",""
"5 on scale 1-7","2007","16-34 y.","","","",""
"5 on scale 1-7","2007","35-65 y.","","","",""
"5 on scale 1-7","2007","66 and older","","","",""
"6 on scale 1-7","2007","16-34 y.","","","",""
"6 on scale 1-7","2007","35-65 y.","","","",""
"6 on scale 1-7","2007","66 and older","","","",""
"7 Strongly agree","2007","16-34 y.","","","",""
"7 Strongly agree","2007","35-65 y.","","","",""
"7 Strongly agree","2007","66 and older","","","",""
"1 Strongly disagree","2008","16-34 y.","","","",""
"1 Strongly disagree","2008","35-65 y.","","","",""
"1 Strongly disagree","2008","66 and older","","","",""
"2 on scale 1-7 ","2008","16-34 y.","","","",""
"2 on scale 1-7 ","2008","35-65 y.","","","",""
"2 on scale 1-7 ","2008","66 and older","","","",""
"3 on scale 1-7 ","2008","16-34 y.","","","",""
"3 on scale 1-7 ","2008","35-65 y.","","","",""
"3 on scale 1-7 ","2008","66 and older","","","",""
"4 on scale 1-7","2008","16-34 y.","","","",""
"4 on scale 1-7","2008","35-65 y.","","","",""
"4 on scale 1-7","2008","66 and older","","","",""
"5 on scale 1-7","2008","16-34 y.","","","",""
"5 on scale 1-7","2008","35-65 y.","","","",""
"5 on scale 1-7","2008","66 and older","","","",""
"6 on scale 1-7","2008","16-34 y.","","","",""
"6 on scale 1-7","2008","35-65 y.","","","",""
"6 on scale 1-7","2008","66 and older","","","",""
"7 Strongly agree","2008","16-34 y.","","","",""
"7 Strongly agree","2008","35-65 y.","","","",""
"7 Strongly agree","2008","66 and older","","","",""
"1 Strongly disagree","2009","16-34 y.","","","",""
"1 Strongly disagree","2009","35-65 y.","","","",""
"1 Strongly disagree","2009","66 and older","","","",""
"2 on scale 1-7 ","2009","16-34 y.","","","",""
"2 on scale 1-7 ","2009","35-65 y.","","","",""
"2 on scale 1-7 ","2009","66 and older","","","",""
"3 on scale 1-7 ","2009","16-34 y.","","","",""
"3 on scale 1-7 ","2009","35-65 y.","","","",""
"3 on scale 1-7 ","2009","66 and older","","","",""
"4 on scale 1-7","2009","16-34 y.","","","",""
"4 on scale 1-7","2009","35-65 y.","","","",""
"4 on scale 1-7","2009","66 and older","","","",""
"5 on scale 1-7","2009","16-34 y.","","","",""
"5 on scale 1-7","2009","35-65 y.","","","",""
"5 on scale 1-7","2009","66 and older","","","",""
"6 on scale 1-7","2009","16-34 y.","","","",""
"6 on scale 1-7","2009","35-65 y.","","","",""
"6 on scale 1-7","2009","66 and older","","","",""
"7 Strongly agree","2009","16-34 y.","","","",""
"7 Strongly agree","2009","35-65 y.","","","",""
"7 Strongly agree","2009","66 and older","","","",""
"1 Strongly disagree","2010","16-34 y.","447","0.122580094377189","0.111837225008989","0.133322963745388"
"1 Strongly disagree","2010","35-65 y.","1583","0.172713210210082","0.164931000602295","0.18049541981787"
"1 Strongly disagree","2010","66 and older","957","0.247457573438577","0.234126012003203","0.260789134873951"
"2 on scale 1-7 ","2010","16-34 y.","756","0.192704361103343","0.17978417847392","0.205624543732765"
"2 on scale 1-7 ","2010","35-65 y.","2014","0.211148047685732","0.202745646989202","0.219550448382263"
"2 on scale 1-7 ","2010","66 and older","866","0.210809708924502","0.198208816038782","0.223410601810221"
"3 on scale 1-7 ","2010","16-34 y.","789","0.214291869337658","0.200850607291145","0.22773313138417"
"3 on scale 1-7 ","2010","35-65 y.","1882","0.206731644121939","0.198394339965744","0.215068948278133"
"3 on scale 1-7 ","2010","66 and older","742","0.184550964256492","0.172566414584168","0.196535513928815"
"4 on scale 1-7","2010","16-34 y.","723","0.219136867934489","0.205586478966525","0.232687256902452"
"4 on scale 1-7","2010","35-65 y.","1649","0.172774269539541","0.164990971676162","0.180557567402919"
"4 on scale 1-7","2010","66 and older","675","0.161333460540733","0.149969701103616","0.17269721997785"
"5 on scale 1-7","2010","16-34 y.","488","0.148253618498142","0.136613313028173","0.159893923968112"
"5 on scale 1-7","2010","35-65 y.","1032","0.123729822052975","0.116950780265531","0.130508863840419"
"5 on scale 1-7","2010","66 and older","341","0.0852760753652503","0.0766478045039579","0.0939043462265428"
"6 on scale 1-7","2010","16-34 y.","198","0.0518495481696221","0.0445865205788306","0.0591125757604135"
"6 on scale 1-7","2010","35-65 y.","451","0.0528180021138916","0.0482131063554599","0.0574228978723232"
"6 on scale 1-7","2010","66 and older","195","0.0459800937654958","0.0395097285731722","0.0524504589578193"
"7 Strongly agree","2010","16-34 y.","179","0.0511836405795577","0.0439648698898195","0.0584024112692958"
"7 Strongly agree","2010","35-65 y.","452","0.0600850042758393","0.0551924073454821","0.0649776012061964"
"7 Strongly agree","2010","66 and older","249","0.0645921237089498","0.0569983886322352","0.0721858587856643"
"1 Strongly disagree","2011","16-34 y.","","","",""
"1 Strongly disagree","2011","35-65 y.","","","",""
"1 Strongly disagree","2011","66 and older","","","",""
"2 on scale 1-7 ","2011","16-34 y.","","","",""
"2 on scale 1-7 ","2011","35-65 y.","","","",""
"2 on scale 1-7 ","2011","66 and older","","","",""
"3 on scale 1-7 ","2011","16-34 y.","","","",""
"3 on scale 1-7 ","2011","35-65 y.","","","",""
