"plh0206i02","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","3216","0.220910716657752","0.214401866145791","0.227419567169713"
"1 Strongly disagree","2005","East Germany","902","0.188037897317783","0.177258884440377","0.19881691019519"
"2 on scale 1-7 ","2005","West Germany","3129","0.189930890915913","0.183776839391155","0.196084942440671"
"2 on scale 1-7 ","2005","East Germany","1031","0.197605822715903","0.186621275223522","0.208590370208285"
"3 on scale 1-7 ","2005","West Germany","2865","0.178332682365546","0.17232695287007","0.184338411861022"
"3 on scale 1-7 ","2005","East Germany","914","0.178807104442827","0.168236413028714","0.18937779585694"
"4 on scale 1-7","2005","West Germany","2934","0.184132096568895","0.178051069132272","0.190213124005518"
"4 on scale 1-7","2005","East Germany","1016","0.204616367324489","0.193487603448335","0.215745131200644"
"5 on scale 1-7","2005","West Germany","1732","0.109741442251347","0.104837496017094","0.114645388485601"
"5 on scale 1-7","2005","East Germany","583","0.106156951905054","0.0976594108536831","0.114654492956426"
"6 on scale 1-7","2005","West Germany","845","0.055456898655721","0.0518661007000027","0.0590476966114393"
"6 on scale 1-7","2005","East Germany","326","0.0614654213474835","0.0548397637510345","0.0680910789439324"
"7 Strongly agree","2005","West Germany","885","0.0614952725848258","0.0577261402360143","0.0652644049336372"
"7 Strongly agree","2005","East Germany","276","0.0633104349464593","0.0565926838647312","0.0700281860281875"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
