"plh0206i02","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","89","0.146990190643456","0.119726680034343","0.17425370125257"
"1 Strongly disagree","2005","inadequately","69","0.276993169403793","0.219531814728403","0.334454524079182"
"1 Strongly disagree","2005","general elemantary","570","0.250099252216178","0.232744213241971","0.267454291190384"
"1 Strongly disagree","2005","middle vocational","2028","0.211925364524941","0.204006476663745","0.219844252386137"
"1 Strongly disagree","2005","vocational + Abi","200","0.200455685466442","0.177123939054426","0.223787431878458"
"1 Strongly disagree","2005","higher vocational","312","0.212434825020799","0.192117810387448","0.23275183965415"
"1 Strongly disagree","2005","higher education","807","0.212855338077178","0.200419742108417","0.225290934045938"
"2 on scale 1-7 ","2005","in school","117","0.159896451580505","0.13167714027067","0.18811576289034"
"2 on scale 1-7 ","2005","inadequately","31","0.124207690384865","0.0818585170444112","0.16655686372532"
"2 on scale 1-7 ","2005","general elemantary","391","0.155949274478725","0.141409975862032","0.170488573095417"
"2 on scale 1-7 ","2005","middle vocational","2006","0.189139624018207","0.181551169271301","0.196728078765113"
"2 on scale 1-7 ","2005","vocational + Abi","263","0.219354913351198","0.195238246325869","0.243471580376527"
"2 on scale 1-7 ","2005","higher vocational","324","0.19976691897856","0.179907166979276","0.219626670977844"
"2 on scale 1-7 ","2005","higher education","984","0.231610943882924","0.218794510730698","0.244427377035149"
"3 on scale 1-7 ","2005","in school","137","0.22097189521161","0.189026690812256","0.252917099610964"
"3 on scale 1-7 ","2005","inadequately","51","0.226910454160819","0.173131508537836","0.280689399783801"
"3 on scale 1-7 ","2005","general elemantary","391","0.163139379536574","0.148332161463091","0.177946597610057"
"3 on scale 1-7 ","2005","middle vocational","1802","0.171296710550726","0.163996034272821","0.17859738682863"
"3 on scale 1-7 ","2005","vocational + Abi","206","0.188568373404777","0.165771400585331","0.211365346224224"
"3 on scale 1-7 ","2005","higher vocational","285","0.186610034987332","0.16725826528858","0.205961804686085"
"3 on scale 1-7 ","2005","higher education","851","0.192657522626937","0.180675808864681","0.204639236389193"
"4 on scale 1-7","2005","in school","138","0.194379446051009","0.163910949335246","0.224847942766772"
"4 on scale 1-7","2005","inadequately","32","0.141412367632677","0.0966713207833325","0.186153414482022"
"4 on scale 1-7","2005","general elemantary","439","0.180640530736565","0.16522308806415","0.19605797340898"
"4 on scale 1-7","2005","middle vocational","1971","0.188995825195881","0.181409583081047","0.196582067310715"
"4 on scale 1-7","2005","vocational + Abi","216","0.19411375853131","0.171063180603006","0.217164336459613"
"4 on scale 1-7","2005","higher vocational","314","0.197977937964791","0.17818522436255","0.217770651567033"
"4 on scale 1-7","2005","higher education","778","0.185651520651455","0.173838758668969","0.197464282633942"
"5 on scale 1-7","2005","in school","79","0.118856072527401","0.093939132778043","0.14377301227676"
"5 on scale 1-7","2005","inadequately","","","",""
"5 on scale 1-7","2005","general elemantary","267","0.10063789404967","0.0885815518595256","0.112694236239815"
"5 on scale 1-7","2005","middle vocational","1156","0.111584548068656","0.1054835746918","0.117685521445513"
"5 on scale 1-7","2005","vocational + Abi","134","0.106045873784764","0.0881017898239418","0.123989957745586"
"5 on scale 1-7","2005","higher vocational","168","0.10824123112455","0.0928091733471485","0.123673288901951"
"5 on scale 1-7","2005","higher education","451","0.108694158815037","0.0992380266759712","0.118150290954102"
"6 on scale 1-7","2005","in school","39","0.0678649189664794","0.048499687959862","0.0872301499730967"
"6 on scale 1-7","2005","inadequately","","","",""
"6 on scale 1-7","2005","general elemantary","161","0.0566674635544743","0.0474020075692741","0.0659329195396744"
"6 on scale 1-7","2005","middle vocational","624","0.0634423467193931","0.0587190424107969","0.0681656510279894"
"6 on scale 1-7","2005","vocational + Abi","63","0.0424638783025153","0.0307120834940513","0.0542156731109794"
"6 on scale 1-7","2005","higher vocational","70","0.040561590983021","0.0307628602012103","0.0503603217648316"
"6 on scale 1-7","2005","higher education","182","0.0442050615335769","0.0379603063672439","0.0504498166999098"
"7 Strongly agree","2005","in school","49","0.0910410250195387","0.0688921690731073","0.11318988096597"
"7 Strongly agree","2005","inadequately","","","",""
"7 Strongly agree","2005","general elemantary","173","0.0928662054278144","0.0812348044745901","0.104497606381039"
"7 Strongly agree","2005","middle vocational","644","0.0636155809221962","0.0588862697859058","0.0683448920584866"
"7 Strongly agree","2005","vocational + Abi","49","0.0489975171589938","0.0364171113409584","0.0615779229770293"
"7 Strongly agree","2005","higher vocational","84","0.0544074609409467","0.0431410644076023","0.0656738574742911"
"7 Strongly agree","2005","higher education","109","0.0243254544128919","0.0196450861968887","0.029005822628895"
"1 Strongly disagree","2006","in school","","","",""
"1 Strongly disagree","2006","inadequately","","","",""
"1 Strongly disagree","2006","general elemantary","","","",""
"1 Strongly disagree","2006","middle vocational","","","",""
"1 Strongly disagree","2006","vocational + Abi","","","",""
"1 Strongly disagree","2006","higher vocational","","","",""
"1 Strongly disagree","2006","higher education","","","",""
"2 on scale 1-7 ","2006","in school","","","",""
"2 on scale 1-7 ","2006","inadequately","","","",""
"2 on scale 1-7 ","2006","general elemantary","","","",""
"2 on scale 1-7 ","2006","middle vocational","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","higher vocational","","","",""
"2 on scale 1-7 ","2006","higher education","","","",""
"3 on scale 1-7 ","2006","in school","","","",""
"3 on scale 1-7 ","2006","inadequately","","","",""
"3 on scale 1-7 ","2006","general elemantary","","","",""
"3 on scale 1-7 ","2006","middle vocational","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","higher vocational","","","",""
"3 on scale 1-7 ","2006","higher education","","","",""
"4 on scale 1-7","2006","in school","","","",""
"4 on scale 1-7","2006","inadequately","","","",""
"4 on scale 1-7","2006","general elemantary","","","",""
"4 on scale 1-7","2006","middle vocational","","","",""
"4 on scale 1-7","2006","vocational + Abi","","","",""
"4 on scale 1-7","2006","higher vocational","","","",""
"4 on scale 1-7","2006","higher education","","","",""
"5 on scale 1-7","2006","in school","","","",""
"5 on scale 1-7","2006","inadequately","","","",""
"5 on scale 1-7","2006","general elemantary","","","",""
"5 on scale 1-7","2006","middle vocational","","","",""
"5 on scale 1-7","2006","vocational + Abi","","","",""
"5 on scale 1-7","2006","higher vocational","","","",""
"5 on scale 1-7","2006","higher education","","","",""
"6 on scale 1-7","2006","in school","","","",""
"6 on scale 1-7","2006","inadequately","","","",""
"6 on scale 1-7","2006","general elemantary","","","",""
"6 on scale 1-7","2006","middle vocational","","","",""
"6 on scale 1-7","2006","vocational + Abi","","","",""
"6 on scale 1-7","2006","higher vocational","","","",""
"6 on scale 1-7","2006","higher education","","","",""
"7 Strongly agree","2006","in school","","","",""
"7 Strongly agree","2006","inadequately","","","",""
"7 Strongly agree","2006","general elemantary","","","",""
"7 Strongly agree","2006","middle vocational","","","",""
"7 Strongly agree","2006","vocational + Abi","","","",""
"7 Strongly agree","2006","higher vocational","","","",""
"7 Strongly agree","2006","higher education","","","",""
"1 Strongly disagree","2007","in school","","","",""
"1 Strongly disagree","2007","inadequately","","","",""
"1 Strongly disagree","2007","general elemantary","","","",""
"1 Strongly disagree","2007","middle vocational","","","",""
"1 Strongly disagree","2007","vocational + Abi","","","",""
"1 Strongly disagree","2007","higher vocational","","","",""
"1 Strongly disagree","2007","higher education","","","",""
"2 on scale 1-7 ","2007","in school","","","",""
"2 on scale 1-7 ","2007","inadequately","","","",""
"2 on scale 1-7 ","2007","general elemantary","","","",""
"2 on scale 1-7 ","2007","middle vocational","","","",""
"2 on scale 1-7 ","2007","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","higher vocational","","","",""
"2 on scale 1-7 ","2007","higher education","","","",""
"3 on scale 1-7 ","2007","in school","","","",""
"3 on scale 1-7 ","2007","inadequately","","","",""
"3 on scale 1-7 ","2007","general elemantary","","","",""
"3 on scale 1-7 ","2007","middle vocational","","","",""
"3 on scale 1-7 ","2007","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","higher vocational","","","",""
"3 on scale 1-7 ","2007","higher education","","","",""
"4 on scale 1-7","2007","in school","","","",""
"4 on scale 1-7","2007","inadequately","","","",""
"4 on scale 1-7","2007","general elemantary","","","",""
"4 on scale 1-7","2007","middle vocational","","","",""
"4 on scale 1-7","2007","vocational + Abi","","","",""
"4 on scale 1-7","2007","higher vocational","","","",""
"4 on scale 1-7","2007","higher education","","","",""
"5 on scale 1-7","2007","in school","","","",""
"5 on scale 1-7","2007","inadequately","","","",""
"5 on scale 1-7","2007","general elemantary","","","",""
"5 on scale 1-7","2007","middle vocational","","","",""
"5 on scale 1-7","2007","vocational + Abi","","","",""
"5 on scale 1-7","2007","higher vocational","","","",""
"5 on scale 1-7","2007","higher education","","","",""
"6 on scale 1-7","2007","in school","","","",""
"6 on scale 1-7","2007","inadequately","","","",""
"6 on scale 1-7","2007","general elemantary","","","",""
"6 on scale 1-7","2007","middle vocational","","","",""
"6 on scale 1-7","2007","vocational + Abi","","","",""
"6 on scale 1-7","2007","higher vocational","","","",""
"6 on scale 1-7","2007","higher education","","","",""
"7 Strongly agree","2007","in school","","","",""
"7 Strongly agree","2007","inadequately","","","",""
"7 Strongly agree","2007","general elemantary","","","",""
"7 Strongly agree","2007","middle vocational","","","",""
"7 Strongly agree","2007","vocational + Abi","","","",""
"7 Strongly agree","2007","higher vocational","","","",""
"7 Strongly agree","2007","higher education","","","",""
"1 Strongly disagree","2008","in school","","","",""
"1 Strongly disagree","2008","inadequately","","","",""
"1 Strongly disagree","2008","general elemantary","","","",""
"1 Strongly disagree","2008","middle vocational","","","",""
"1 Strongly disagree","2008","vocational + Abi","","","",""
"1 Strongly disagree","2008","higher vocational","","","",""
"1 Strongly disagree","2008","higher education","","","",""
"2 on scale 1-7 ","2008","in school","","","",""
"2 on scale 1-7 ","2008","inadequately","","","",""
"2 on scale 1-7 ","2008","general elemantary","","","",""
"2 on scale 1-7 ","2008","middle vocational","","","",""
"2 on scale 1-7 ","2008","vocational + Abi","","","",""
"2 on scale 1-7 ","2008","higher vocational","","","",""
"2 on scale 1-7 ","2008","higher education","","","",""
"3 on scale 1-7 ","2008","in school","","","",""
"3 on scale 1-7 ","2008","inadequately","","","",""
