"plh0206i02","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","1399","0.239007479664633","0.228406314579178","0.249608644750088"
"1 Strongly disagree","2005","lower secondary degree","direct migration background","142","0.232643046591604","0.198693548126446","0.266592545056762"
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","43","0.182853556212666","0.135128167569563","0.230578944855769"
"1 Strongly disagree","2005","secondary school degree","no migration background","966","0.183888857357881","0.173710730312495","0.194066984403267"
"1 Strongly disagree","2005","secondary school degree","direct migration background","70","0.245593882860595","0.191249965263581","0.299937800457609"
"1 Strongly disagree","2005","secondary school degree","indirect migration background","33","0.136015046506227","0.0887414141854322","0.183288678827022"
"1 Strongly disagree","2005","college entrance qualification","no migration background","817","0.188094656792441","0.176948477393919","0.199240836190963"
"1 Strongly disagree","2005","college entrance qualification","direct migration background","67","0.309906391341362","0.25422700718059","0.365585775502134"
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","28","","",""
"1 Strongly disagree","2005","Other degree","no migration background","24","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","301","0.302403893768566","0.273778883010385","0.331028904526747"
"1 Strongly disagree","2005","Other degree","indirect migration background","5","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","86","0.161144106539015","0.131273950443317","0.191014262634713"
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","71","0.355542421417746","0.291853909073721","0.419230933761771"
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","9","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","1110","0.167884377270397","0.158593544623893","0.1771752099169"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","121","0.192386112442884","0.160713903282282","0.224058321603486"
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","38","0.163879173487854","0.11817622451805","0.209582122457658"
"2 on scale 1-7 ","2005","secondary school degree","no migration background","1149","0.205872032082717","0.19524873252277","0.216495331642664"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","44","0.140522808588677","0.0966464923112449","0.184399124866108"
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","36","0.14453453876415","0.0960437256398176","0.193025351888483"
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","1136","0.242298063619469","0.230076992543252","0.254519134695686"
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","46","0.156330798002674","0.112605424872314","0.200056171133034"
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","55","0.247732201759187","0.187449536547505","0.30801486697087"
"2 on scale 1-7 ","2005","Other degree","no migration background","25","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","182","0.174802252252617","0.151132022454455","0.19847248205078"
"2 on scale 1-7 ","2005","Other degree","indirect migration background","3","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","104","0.155775123004358","0.126312953564022","0.185237292444694"
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","32","0.122206403299326","0.0786289938105565","0.165783812788096"
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","16","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","1071","0.168114204480223","0.158818298626785","0.177410110333662"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","91","0.173489616471586","0.143063220799341","0.203916012143832"
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","44","0.177029748687532","0.129903484303456","0.224156013071608"
"3 on scale 1-7 ","2005","secondary school degree","no migration background","983","0.171614860326726","0.161708614474818","0.181521106178634"
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","42","0.199704828226855","0.149231847800911","0.250177808652799"
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","49","0.258286158358813","0.197927279466021","0.318645037251605"
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","978","0.199432780722078","0.188035997869167","0.210829563574989"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","42","0.138679629251279","0.0970680834571631","0.180291175045396"
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","45","0.208886866888523","0.15212066427166","0.265653069505385"
"3 on scale 1-7 ","2005","Other degree","no migration background","19","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","147","0.150215957745891","0.127948929169749","0.172482986322033"
"3 on scale 1-7 ","2005","Other degree","indirect migration background","2","","",""
