"plh0206i02","year","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1311","0.163993776886241","0.155883069427659","0.172104484344822"
"1 Strongly disagree","2005","Part Time","901","0.208296006125517","0.196815048947144","0.219776963303891"
"1 Strongly disagree","2005","Not Working","1906","0.265285631707608","0.255514366455395","0.275056896959822"
"2 on scale 1-7 ","2005","Full Time","1673","0.197677535559092","0.188953981969371","0.206401089148813"
"2 on scale 1-7 ","2005","Part Time","1005","0.198024654505902","0.186757964412972","0.209291344598832"
"2 on scale 1-7 ","2005","Not Working","1482","0.18180410087525","0.173267889534938","0.190340312215562"
"3 on scale 1-7 ","2005","Full Time","1509","0.191428142858037","0.182810221992459","0.200046063723615"
"3 on scale 1-7 ","2005","Part Time","885","0.171026519179872","0.16038121060157","0.181671827758173"
"3 on scale 1-7 ","2005","Not Working","1385","0.170555976166431","0.162231408574705","0.178880543758157"
"4 on scale 1-7","2005","Full Time","1612","0.20048359713847","0.191713721998539","0.209253472278401"
"4 on scale 1-7","2005","Part Time","958","0.197483745374805","0.18622865972673","0.208738831022879"
"4 on scale 1-7","2005","Not Working","1380","0.171046121081802","0.162712063994208","0.179380178169396"
"5 on scale 1-7","2005","Full Time","954","0.115657661137313","0.108652184164561","0.122663138110064"
"5 on scale 1-7","2005","Part Time","561","0.115141025921975","0.106116834790379","0.12416521705357"
"5 on scale 1-7","2005","Not Working","800","0.09960594306717","0.0929777735393442","0.106234112594996"
"6 on scale 1-7","2005","Full Time","493","0.06367197377378","0.0583235172979379","0.0690204302496222"
"6 on scale 1-7","2005","Part Time","241","0.0522966871342339","0.0460026471678102","0.0585907271006576"
"6 on scale 1-7","2005","Not Working","437","0.0524221807655785","0.0474893109165291","0.0573550506146279"
"7 Strongly agree","2005","Full Time","454","0.0670873126470673","0.0616073071319367","0.0725673181621978"
"7 Strongly agree","2005","Part Time","255","0.0577313617576958","0.0511373536477703","0.0643253698676213"
"7 Strongly agree","2005","Not Working","452","0.0592800463361592","0.0540534481038479","0.0645066445684706"
"1 Strongly disagree","2006","Full Time","","","",""
"1 Strongly disagree","2006","Part Time","","","",""
"1 Strongly disagree","2006","Not Working","","","",""
"2 on scale 1-7 ","2006","Full Time","","","",""
"2 on scale 1-7 ","2006","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Working","","","",""
"3 on scale 1-7 ","2006","Full Time","","","",""
"3 on scale 1-7 ","2006","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Working","","","",""
"4 on scale 1-7","2006","Full Time","","","",""
"4 on scale 1-7","2006","Part Time","","","",""
"4 on scale 1-7","2006","Not Working","","","",""
"5 on scale 1-7","2006","Full Time","","","",""
"5 on scale 1-7","2006","Part Time","","","",""
"5 on scale 1-7","2006","Not Working","","","",""
"6 on scale 1-7","2006","Full Time","","","",""
"6 on scale 1-7","2006","Part Time","","","",""
"6 on scale 1-7","2006","Not Working","","","",""
"7 Strongly agree","2006","Full Time","","","",""
"7 Strongly agree","2006","Part Time","","","",""
"7 Strongly agree","2006","Not Working","","","",""
"1 Strongly disagree","2007","Full Time","","","",""
"1 Strongly disagree","2007","Part Time","","","",""
"1 Strongly disagree","2007","Not Working","","","",""
"2 on scale 1-7 ","2007","Full Time","","","",""
"2 on scale 1-7 ","2007","Part Time","","","",""
"2 on scale 1-7 ","2007","Not Working","","","",""
"3 on scale 1-7 ","2007","Full Time","","","",""
"3 on scale 1-7 ","2007","Part Time","","","",""
"3 on scale 1-7 ","2007","Not Working","","","",""
"4 on scale 1-7","2007","Full Time","","","",""
"4 on scale 1-7","2007","Part Time","","","",""
"4 on scale 1-7","2007","Not Working","","","",""
"5 on scale 1-7","2007","Full Time","","","",""
"5 on scale 1-7","2007","Part Time","","","",""
"5 on scale 1-7","2007","Not Working","","","",""
"6 on scale 1-7","2007","Full Time","","","",""
"6 on scale 1-7","2007","Part Time","","","",""
"6 on scale 1-7","2007","Not Working","","","",""
"7 Strongly agree","2007","Full Time","","","",""
"7 Strongly agree","2007","Part Time","","","",""
"7 Strongly agree","2007","Not Working","","","",""
"1 Strongly disagree","2008","Full Time","","","",""
"1 Strongly disagree","2008","Part Time","","","",""
"1 Strongly disagree","2008","Not Working","","","",""
"2 on scale 1-7 ","2008","Full Time","","","",""
"2 on scale 1-7 ","2008","Part Time","","","",""
"2 on scale 1-7 ","2008","Not Working","","","",""
"3 on scale 1-7 ","2008","Full Time","","","",""
"3 on scale 1-7 ","2008","Part Time","","","",""
"3 on scale 1-7 ","2008","Not Working","","","",""
"4 on scale 1-7","2008","Full Time","","","",""
"4 on scale 1-7","2008","Part Time","","","",""
"4 on scale 1-7","2008","Not Working","","","",""
"5 on scale 1-7","2008","Full Time","","","",""
"5 on scale 1-7","2008","Part Time","","","",""
"5 on scale 1-7","2008","Not Working","","","",""
"6 on scale 1-7","2008","Full Time","","","",""
"6 on scale 1-7","2008","Part Time","","","",""
"6 on scale 1-7","2008","Not Working","","","",""
"7 Strongly agree","2008","Full Time","","","",""
"7 Strongly agree","2008","Part Time","","","",""
"7 Strongly agree","2008","Not Working","","","",""
"1 Strongly disagree","2009","Full Time","","","",""
"1 Strongly disagree","2009","Part Time","","","",""
"1 Strongly disagree","2009","Not Working","","","",""
"2 on scale 1-7 ","2009","Full Time","","","",""
"2 on scale 1-7 ","2009","Part Time","","","",""
"2 on scale 1-7 ","2009","Not Working","","","",""
"3 on scale 1-7 ","2009","Full Time","","","",""
"3 on scale 1-7 ","2009","Part Time","","","",""
"3 on scale 1-7 ","2009","Not Working","","","",""
"4 on scale 1-7","2009","Full Time","","","",""
"4 on scale 1-7","2009","Part Time","","","",""
"4 on scale 1-7","2009","Not Working","","","",""
"5 on scale 1-7","2009","Full Time","","","",""
"5 on scale 1-7","2009","Part Time","","","",""
"5 on scale 1-7","2009","Not Working","","","",""
