"plh0206i02","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","2502","0.217608825628227","0.210245556892565","0.224972094363889"
"1 Strongly disagree","2005","Urban Area","East Germany","359","0.222849034827749","0.203428692784216","0.242269376871282"
"1 Strongly disagree","2005","Rural Area","West Germany","714","0.231633627723749","0.217742180473595","0.245525074973903"
"1 Strongly disagree","2005","Rural Area","East Germany","543","0.16858974333846","0.155785032353104","0.181394454323816"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2446","0.19275448902858","0.185715253495657","0.199793724561502"
"2 on scale 1-7 ","2005","Urban Area","East Germany","371","0.203226302917603","0.184448003769535","0.222004602065671"
"2 on scale 1-7 ","2005","Rural Area","West Germany","683","0.180761238986911","0.168089961090623","0.193432516883198"
"2 on scale 1-7 ","2005","Rural Area","East Germany","660","0.194465794201492","0.180929177834519","0.208002410568465"
"3 on scale 1-7 ","2005","Urban Area","West Germany","2208","0.1825570106832","0.175663373511872","0.189450647854527"
"3 on scale 1-7 ","2005","Urban Area","East Germany","333","0.186197502328857","0.16803209103853","0.204362913619185"
"3 on scale 1-7 ","2005","Rural Area","West Germany","657","0.164614150633659","0.152403476121747","0.176824825145572"
"3 on scale 1-7 ","2005","Rural Area","East Germany","581","0.174678265044378","0.16169219942996","0.187664330658796"
"4 on scale 1-7","2005","Urban Area","West Germany","2223","0.179381889783512","0.17253520595424","0.186228573612784"
"4 on scale 1-7","2005","Urban Area","East Germany","357","0.191209997521952","0.172858479874261","0.209561515169644"
"4 on scale 1-7","2005","Rural Area","West Germany","711","0.199558421801705","0.186398225573295","0.212718618030116"
"4 on scale 1-7","2005","Rural Area","East Germany","659","0.212106187045228","0.198124581988287","0.226087792102169"
"5 on scale 1-7","2005","Urban Area","West Germany","1362","0.111305612749924","0.105693127945623","0.116918097554226"
"5 on scale 1-7","2005","Urban Area","East Germany","159","0.0889123309138747","0.0756304407970568","0.102194221030693"
"5 on scale 1-7","2005","Rural Area","West Germany","370","0.104661789107643","0.0945820300321069","0.114741548183179"
"5 on scale 1-7","2005","Rural Area","East Germany","424","0.115791111209832","0.104847477061902","0.126734745357762"
"6 on scale 1-7","2005","Urban Area","West Germany","638","0.0537209926450368","0.049697510815397","0.0577444744746767"
"6 on scale 1-7","2005","Urban Area","East Germany","106","0.0583591321866077","0.0474196727394989","0.0692985916337164"
"6 on scale 1-7","2005","Rural Area","West Germany","207","0.061094263912494","0.0532079560056227","0.0689805718193653"
"6 on scale 1-7","2005","Rural Area","East Germany","220","0.0632008311681973","0.0548787650850669","0.0715228972513276"
"7 Strongly agree","2005","Urban Area","West Germany","684","0.0626711794815207","0.0583460377194453","0.066996321243596"
"7 Strongly agree","2005","Urban Area","East Germany","79","0.0492456993033568","0.0391481239126575","0.0593432746940561"
"7 Strongly agree","2005","Rural Area","West Germany","201","0.0576765078338385","0.0500000299594219","0.0653529857082552"
"7 Strongly agree","2005","Rural Area","East Germany","197","0.0711680679924126","0.0623746508930534","0.0799614850917718"
"1 Strongly disagree","2006","Urban Area","West Germany","","","",""
"1 Strongly disagree","2006","Urban Area","East Germany","","","",""
"1 Strongly disagree","2006","Rural Area","West Germany","","","",""
"1 Strongly disagree","2006","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
