"plh0206i02","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","1246","0.23327716802924","0.22227296130177","0.24428137475671"
"1 Strongly disagree","2005","lower secondary degree","East Germany","338","0.257323655755506","0.234342051450338","0.280305260060674"
"1 Strongly disagree","2005","secondary school degree","West Germany","732","0.197068429014326","0.184395910230406","0.209740947798246"
"1 Strongly disagree","2005","secondary school degree","East Germany","337","0.158119989175687","0.142953088362419","0.173286889988954"
"1 Strongly disagree","2005","college entrance qualification","West Germany","727","0.202328221352556","0.189964777431455","0.214691665273656"
"1 Strongly disagree","2005","college entrance qualification","East Germany","185","0.158053890438367","0.136765722697165","0.179342058179568"
"1 Strongly disagree","2005","Other degree","West Germany","320","0.302402443526508","0.274843599001728","0.329961288051289"
"1 Strongly disagree","2005","Other degree","East Germany","10","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","145","0.220069670021202","0.190016197349823","0.250123142692581"
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","21","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","1014","0.168681846420363","0.158938206399161","0.178425486441565"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","255","0.175247490577472","0.155261373937486","0.195233607217457"
"2 on scale 1-7 ","2005","secondary school degree","West Germany","772","0.202153362359796","0.189359097314851","0.214947627404741"
"2 on scale 1-7 ","2005","secondary school degree","East Germany","457","0.195310014945836","0.178830101954786","0.211789927936886"
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","974","0.235311129088328","0.222256554122368","0.248365704054288"
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","263","0.242717968317421","0.217698773352348","0.267737163282495"
"2 on scale 1-7 ","2005","Other degree","West Germany","198","0.172357802173122","0.149695570877747","0.195020033468498"
"2 on scale 1-7 ","2005","Other degree","East Germany","12","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","116","0.140342778892478","0.115146038894322","0.165539518890634"
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","36","0.19805922054147","0.137614477261783","0.258503963821157"
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","971","0.171166461097177","0.161366002024168","0.180966920170187"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","235","0.155058688443612","0.136030299659983","0.174087077227242"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","694","0.176047027336852","0.163913677779717","0.188180376893986"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","380","0.177220972469778","0.161347296021088","0.193094648918467"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","827","0.192308109953403","0.180179227734505","0.204436992172302"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","238","0.211870231691633","0.188023581684486","0.235716881698779"
"3 on scale 1-7 ","2005","Other degree","West Germany","159","0.146025053593342","0.124836459891431","0.167213647295253"
"3 on scale 1-7 ","2005","Other degree","East Germany","9","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","156","0.223612804121397","0.193387256572564","0.25383835167023"
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","35","0.184986277570879","0.126096207290973","0.243876347850785"
"4 on scale 1-7","2005","lower secondary degree","West Germany","1044","0.178572767082333","0.168607347521606","0.18853818664306"
"4 on scale 1-7","2005","lower secondary degree","East Germany","252","0.192100905778509","0.171390721759241","0.212811089797777"
"4 on scale 1-7","2005","secondary school degree","West Germany","741","0.19829539611228","0.185593204684021","0.210997587540538"
"4 on scale 1-7","2005","secondary school degree","East Germany","480","0.217575342009091","0.200423749050501","0.234726934967681"
"4 on scale 1-7","2005","college entrance qualification","West Germany","775","0.192893167434505","0.180750249720227","0.205036085148782"
"4 on scale 1-7","2005","college entrance qualification","East Germany","215","0.190135056192159","0.167235295702758","0.21303481668156"
"4 on scale 1-7","2005","Other degree","West Germany","179","0.15358358251366","0.131949906696274","0.175217258331045"
"4 on scale 1-7","2005","Other degree","East Germany","10","","",""
"4 on scale 1-7","2005","no degree/no degree yet","West Germany","143","0.170549834106176","0.143265870548592","0.197833797663759"
"4 on scale 1-7","2005","no degree/no degree yet","East Germany","35","0.211312204407064","0.149395945731806","0.273228463082323"
"5 on scale 1-7","2005","lower secondary degree","West Germany","629","0.108975380437457","0.100867404069109","0.117083356805805"
"5 on scale 1-7","2005","lower secondary degree","East Germany","137","0.0912486694217147","0.0761103909141081","0.106386947929321"
"5 on scale 1-7","2005","secondary school degree","West Germany","426","0.107370670306874","0.0975080217556646","0.117233318858083"
"5 on scale 1-7","2005","secondary school degree","East Germany","277","0.117584761472597","0.10419445920827","0.130975063736925"
"5 on scale 1-7","2005","college entrance qualification","West Germany","454","0.108879706892251","0.0992936333543916","0.118465780430111"
"5 on scale 1-7","2005","college entrance qualification","East Germany","138","0.11290581523291","0.0944371051970998","0.13137452526872"
"5 on scale 1-7","2005","Other degree","West Germany","102","0.117747197262127","0.0984080333717094","0.137086361152545"
"5 on scale 1-7","2005","Other degree","East Germany","2","","",""
"5 on scale 1-7","2005","no degree/no degree yet","West Germany","86","0.120360576238043","0.0967568193545057","0.14396433312158"
"5 on scale 1-7","2005","no degree/no degree yet","East Germany","14","","",""
"6 on scale 1-7","2005","lower secondary degree","West Germany","344","0.0611458301776807","0.0549115557172698","0.0673801046380916"
"6 on scale 1-7","2005","lower secondary degree","East Germany","88","0.0598133048919112","0.0473467446187552","0.0722798651650671"
"6 on scale 1-7","2005","secondary school degree","West Germany","224","0.0644880706559011","0.0566631578648476","0.0723129834469546"
"6 on scale 1-7","2005","secondary school degree","East Germany","149","0.0610864547641758","0.0511309422549929","0.0710419672733588"
"6 on scale 1-7","2005","college entrance qualification","West Germany","178","0.0395569787919794","0.0335584261055328","0.045555531478426"
"6 on scale 1-7","2005","college entrance qualification","East Germany","64","0.059946448756936","0.0460932020446684","0.0737996954692036"
"6 on scale 1-7","2005","Other degree","West Germany","47","0.0451923640380872","0.0327283952394614","0.057656332836713"
"6 on scale 1-7","2005","Other degree","East Germany","4","","",""
"6 on scale 1-7","2005","no degree/no degree yet","West Germany","33","0.0458193597270348","0.0306514243600545","0.0609872950940151"
"6 on scale 1-7","2005","no degree/no degree yet","East Germany","12","","",""
"7 Strongly agree","2005","lower secondary degree","West Germany","426","0.0781805467557492","0.0711953971620371","0.0851656963494613"
"7 Strongly agree","2005","lower secondary degree","East Germany","85","0.069207285131275","0.055864604677393","0.082549965585157"
"7 Strongly agree","2005","secondary school degree","West Germany","196","0.0545770442139711","0.0473404665661258","0.0618136218618165"
"7 Strongly agree","2005","secondary school degree","East Germany","143","0.0731024651628355","0.0622816436257334","0.0839232866999377"
"7 Strongly agree","2005","college entrance qualification","West Germany","121","0.0287226864869777","0.0235824479977334","0.033862924976222"
"7 Strongly agree","2005","college entrance qualification","East Germany","25","","",""
"7 Strongly agree","2005","Other degree","West Germany","62","0.0626915568931529","0.048146625619089","0.0772364881672169"
"7 Strongly agree","2005","Other degree","East Germany","2","","",""
"7 Strongly agree","2005","no degree/no degree yet","West Germany","51","0.0792449768936708","0.0596500078861096","0.0988399459012319"
"7 Strongly agree","2005","no degree/no degree yet","East Germany","14","","",""
"1 Strongly disagree","2006","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2006","lower secondary degree","East Germany","","","",""
