"plh0206i02","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Not Employed","247","0.155108084775743","0.137441658630087","0.172774510921398","1"
"1 Strongly disagree","2005","16-34 y.","Employed","476","0.135700686924578","0.124662754153579","0.146738619695576","1"
"1 Strongly disagree","2005","35-65 y.","Not Employed","612","0.232130167164644","0.216166823888788","0.2480935104405","1"
"1 Strongly disagree","2005","35-65 y.","Employed","1677","0.197513301756883","0.18923648836487","0.205790115148897","1"
"1 Strongly disagree","2005","66 and older","Not Employed","1047","0.322495830241678","0.307102171637252","0.337889488846103","1"
"1 Strongly disagree","2005","66 and older","Employed","59","0.315025592218648","0.254463068767973","0.375588115669323","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","497","0.178155530489435","0.163687522808589","0.192623538170281","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","282","0.148623485717888","0.131264055692633","0.165982915743142","2"
"2 on scale 1-7 ","2005","66 and older","Employed","46","0.181369314467246","0.131132766723434","0.231605862211057","2"
"2 on scale 1-7 ","2005","16-34 y.","Employed","730","0.196046283792595","0.183250718763953","0.208841848821237","2"
"2 on scale 1-7 ","2005","35-65 y.","Employed","1902","0.199133642580297","0.190831342774503","0.207435942386092","2"
"2 on scale 1-7 ","2005","66 and older","Not Employed","703","0.195108307947042","0.182057709826568","0.208158906067516","2"
"3 on scale 1-7 ","2005","66 and older","Not Employed","596","0.161356194009592","0.149241696495221","0.173470691523963","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","319","0.204360191496246","0.184681903607598","0.224038479384894","3"
"3 on scale 1-7 ","2005","35-65 y.","Employed","1631","0.179253007370111","0.171278865768559","0.187227148971662","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","470","0.167243374749501","0.153132700461568","0.181354049037434","3"
"3 on scale 1-7 ","2005","16-34 y.","Employed","723","0.196046915015559","0.183251334410795","0.208842495620323","3"
"3 on scale 1-7 ","2005","66 and older","Employed","40","0.143001246570967","0.09736038036254","0.188642112779395","3"
"4 on scale 1-7","2005","66 and older","Employed","38","0.168431218255105","0.11963858522611","0.217223851284101","4"
"4 on scale 1-7","2005","16-34 y.","Employed","803","0.217302002549822","0.204009902142617","0.230594102957026","4"
"4 on scale 1-7","2005","35-65 y.","Not Employed","492","0.178691597596125","0.164206565675636","0.193176629516615","4"
"4 on scale 1-7","2005","66 and older","Not Employed","560","0.15493589812297","0.143019509278451","0.16685228696749","4"
"4 on scale 1-7","2005","16-34 y.","Not Employed","328","0.205218758594409","0.185509819858284","0.224927697330535","4"
"4 on scale 1-7","2005","35-65 y.","Employed","1729","0.191955758321584","0.183768015173468","0.2001435014697","4"
"5 on scale 1-7","2005","66 and older","Employed","16","","","","5"
"5 on scale 1-7","2005","35-65 y.","Employed","982","0.109204651584577","0.102720463450185","0.115688839718969","5"
"5 on scale 1-7","2005","66 and older","Not Employed","289","0.0723480112238805","0.0638164276141128","0.0808795948336482","5"
"5 on scale 1-7","2005","16-34 y.","Not Employed","214","0.13991770396101","0.122988472363083","0.156846935558937","5"
"5 on scale 1-7","2005","16-34 y.","Employed","517","0.131807456969855","0.120904541279709","0.142710372660001","5"
"5 on scale 1-7","2005","35-65 y.","Not Employed","297","0.121949186034335","0.109576513015679","0.13432185905299","5"
"6 on scale 1-7","2005","66 and older","Employed","11","","","","6"
"6 on scale 1-7","2005","35-65 y.","Not Employed","155","0.054822674445978","0.0462156900790933","0.0634296588128627","6"
"6 on scale 1-7","2005","66 and older","Not Employed","173","0.0467340562545272","0.0397830514296652","0.0536850610793892","6"
"6 on scale 1-7","2005","16-34 y.","Not Employed","109","0.0650440227572386","0.0530094636276917","0.0770785818867854","6"
"6 on scale 1-7","2005","35-65 y.","Employed","488","0.0593373348801195","0.0544256890873708","0.0642489806728682","6"
"6 on scale 1-7","2005","16-34 y.","Employed","235","0.0603558418604042","0.0526803537619258","0.0680313299588826","6"
"7 Strongly agree","2005","66 and older","Employed","16","","","","7"
"7 Strongly agree","2005","66 and older","Not Employed","174","0.0470217022003106","0.040050390661824","0.0539930137387971","7"
"7 Strongly agree","2005","35-65 y.","Not Employed","164","0.0670074695199813","0.0575534836264307","0.0764614554135318","7"
"7 Strongly agree","2005","35-65 y.","Employed","479","0.0636023035064278","0.0585287451636759","0.0686758618491796","7"
"7 Strongly agree","2005","16-34 y.","Not Employed","114","0.0817277526974662","0.0683586759834039","0.0950968294115286","7"
"7 Strongly agree","2005","16-34 y.","Employed","214","0.0627408128871876","0.0549250826473188","0.0705565431270565","7"
"1 Strongly disagree","2006","16-34 y.","Employed","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Employed","","","","","1"
"1 Strongly disagree","2006","66 and older","Not Employed","","","","","1"
"1 Strongly disagree","2006","66 and older","Employed","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Employed","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Employed","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Employed","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","","","4"
"4 on scale 1-7","2006","66 and older","Employed","","","","","4"
"4 on scale 1-7","2006","66 and older","Not Employed","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Employed","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","","","4"
"5 on scale 1-7","2006","66 and older","Employed","","","","","5"
"5 on scale 1-7","2006","66 and older","Not Employed","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Employed","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Employed","","","","","5"
"6 on scale 1-7","2006","66 and older","Employed","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","","","6"
"6 on scale 1-7","2006","66 and older","Not Employed","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Employed","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Employed","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","","","6"
"7 Strongly agree","2006","66 and older","Employed","","","","","7"
"7 Strongly agree","2006","35-65 y.","Not Employed","","","","","7"
"7 Strongly agree","2006","35-65 y.","Employed","","","","","7"
"7 Strongly agree","2006","66 and older","Not Employed","","","","","7"
"7 Strongly agree","2006","16-34 y.","Not Employed","","","","","7"
"7 Strongly agree","2006","16-34 y.","Employed","","","","","7"
"1 Strongly disagree","2007","16-34 y.","Not Employed","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Employed","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Not Employed","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Employed","","","","","1"
"1 Strongly disagree","2007","66 and older","Not Employed","","","","","1"
"1 Strongly disagree","2007","66 and older","Employed","","","","","1"
"2 on scale 1-7 ","2007","66 and older","Employed","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Not Employed","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Not Employed","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Employed","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Employed","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Employed","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Employed","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Employed","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Not Employed","","","","","3"
"4 on scale 1-7","2007","16-34 y.","Not Employed","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Employed","","","","","4"
"4 on scale 1-7","2007","66 and older","Employed","","","","","4"
"4 on scale 1-7","2007","66 and older","Not Employed","","","","","4"
