"plh0206i02","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Urban Area","1308","0.266851026261496","0.254823235365702","0.27887881715729"
"1 Strongly disagree","2005","Not Employed","Rural Area","598","0.261827400796967","0.245079606128357","0.278575195465577"
"1 Strongly disagree","2005","Employed","Urban Area","1553","0.185274338526208","0.177078267587568","0.193470409464848"
"1 Strongly disagree","2005","Employed","Rural Area","659","0.170597585936391","0.159194325627121","0.182000846245661"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","985","0.185728156480471","0.17515319247256","0.196303120488383"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","497","0.173135174338261","0.158721289976785","0.187549058699737"
"2 on scale 1-7 ","2005","Employed","Urban Area","1832","0.199187959712919","0.190762585215072","0.207613334210765"
"2 on scale 1-7 ","2005","Employed","Rural Area","846","0.194748361543462","0.182743347705723","0.2067533753812"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","915","0.169998817891585","0.159784305931843","0.180213329851328"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","470","0.171786836439586","0.157417486353931","0.186156186525241"
"3 on scale 1-7 ","2005","Employed","Urban Area","1626","0.191610443776512","0.183307878274272","0.199913009278752"
"3 on scale 1-7 ","2005","Employed","Rural Area","768","0.166241852465046","0.154955589097469","0.177528115832623"
"4 on scale 1-7","2005","Not Employed","Urban Area","900","0.171408657740818","0.161160592354773","0.181656723126863"
"4 on scale 1-7","2005","Not Employed","Rural Area","480","0.170245214066164","0.155927177759741","0.184563250372588"
"4 on scale 1-7","2005","Employed","Urban Area","1680","0.186673453609816","0.178453561255724","0.194893345963908"
"4 on scale 1-7","2005","Employed","Rural Area","890","0.227476963338833","0.214768753402164","0.240185173275502"
"5 on scale 1-7","2005","Not Employed","Urban Area","507","0.0967032220860731","0.0886662766846225","0.104740167487524"
"5 on scale 1-7","2005","Not Employed","Rural Area","293","0.106018562426851","0.0942904984457784","0.117746626407924"
"5 on scale 1-7","2005","Employed","Urban Area","1014","0.117514237899093","0.110720770853233","0.124307704944952"
"5 on scale 1-7","2005","Employed","Rural Area","501","0.110911357870366","0.101391718587934","0.120430997152798"
"6 on scale 1-7","2005","Not Employed","Urban Area","282","0.050098338349221","0.0441662679073807","0.0560304087910613"
"6 on scale 1-7","2005","Not Employed","Rural Area","155","0.0575559559251707","0.0486834960670227","0.0664284157833187"
"6 on scale 1-7","2005","Employed","Urban Area","462","0.0569145607331666","0.0520271415494491","0.061801979916884"
"6 on scale 1-7","2005","Employed","Rural Area","272","0.0648454757964701","0.0573802752295988","0.0723106763633415"
"7 Strongly agree","2005","Not Employed","Urban Area","298","0.0592117811903357","0.0527936984297059","0.0656298639509655"
"7 Strongly agree","2005","Not Employed","Rural Area","154","0.0594308560069992","0.0504240154064637","0.0684376966075347"
"7 Strongly agree","2005","Employed","Urban Area","465","0.0628250057422857","0.057706195977254","0.0679438155073175"
"7 Strongly agree","2005","Employed","Rural Area","244","0.0651784030494319","0.0576953956183152","0.0726614104805487"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2006","Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
