"plh0206i02","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","lower secondary degree","354","0.179872588435331","0.163052403268876","0.196692773601787"
"1 Strongly disagree","2005","Full Time","secondary school degree","422","0.140910550188754","0.128190299885247","0.15363080049226"
"1 Strongly disagree","2005","Full Time","college entrance qualification","411","0.166852839774523","0.152423978206261","0.181281701342784"
"1 Strongly disagree","2005","Full Time","Other degree","98","0.232897102174011","0.190566196715491","0.275228007632532"
"1 Strongly disagree","2005","Full Time","no degree/no degree yet","8","","",""
"1 Strongly disagree","2005","Part Time","lower secondary degree","256","0.201079220632244","0.179358227706243","0.222800213558245"
"1 Strongly disagree","2005","Part Time","secondary school degree","296","0.192254234458823","0.17302304221292","0.211485426704726"
"1 Strongly disagree","2005","Part Time","college entrance qualification","235","0.204636416408293","0.183312299535347","0.22596053328124"
"1 Strongly disagree","2005","Part Time","Other degree","73","0.323475754011902","0.266503846724841","0.380447661298964"
"1 Strongly disagree","2005","Part Time","no degree/no degree yet","20","","",""
"1 Strongly disagree","2005","Not Working","lower secondary degree","974","0.279440995985309","0.265084824287097","0.29379716768352"
"1 Strongly disagree","2005","Not Working","secondary school degree","351","0.256165704055182","0.234228459548369","0.278102948561994"
"1 Strongly disagree","2005","Not Working","college entrance qualification","266","0.234641729946142","0.211092705721038","0.258190754171247"
"1 Strongly disagree","2005","Not Working","Other degree","159","0.332799536731798","0.290378776600688","0.375220296862908"
"1 Strongly disagree","2005","Not Working","no degree/no degree yet","138","0.231164781532328","0.200023302827416","0.262306260237239"
"2 on scale 1-7 ","2005","Full Time","lower secondary degree","344","0.162000574788505","0.145864876879123","0.178136272697886"
"2 on scale 1-7 ","2005","Full Time","secondary school degree","594","0.197470113729115","0.182915991948308","0.212024235509921"
"2 on scale 1-7 ","2005","Full Time","college entrance qualification","621","0.239216854079773","0.222707475175223","0.255726232984323"
"2 on scale 1-7 ","2005","Full Time","Other degree","73","0.191543197384855","0.152132830286488","0.230953564483222"
"2 on scale 1-7 ","2005","Full Time","no degree/no degree yet","13","","",""
"2 on scale 1-7 ","2005","Part Time","lower secondary degree","235","0.160319488656311","0.140435916243034","0.180203061069588"
"2 on scale 1-7 ","2005","Part Time","secondary school degree","332","0.211374025263523","0.191449303985576","0.231298746541469"
"2 on scale 1-7 ","2005","Part Time","college entrance qualification","336","0.244988083373808","0.222255639623629","0.267720527123987"
"2 on scale 1-7 ","2005","Part Time","Other degree","55","0.155705872109099","0.111549072509656","0.199862671708542"
"2 on scale 1-7 ","2005","Part Time","no degree/no degree yet","27","","",""
"2 on scale 1-7 ","2005","Not Working","lower secondary degree","690","0.176922154864891","0.164713428079575","0.189130881650207"
"2 on scale 1-7 ","2005","Not Working","secondary school degree","303","0.194287271071895","0.174403636608833","0.214170905534956"
"2 on scale 1-7 ","2005","Not Working","college entrance qualification","280","0.223053706983916","0.199920378593403","0.246187035374429"
"2 on scale 1-7 ","2005","Not Working","Other degree","82","0.178758242829791","0.144265520648329","0.213250965011253"
"2 on scale 1-7 ","2005","Not Working","no degree/no degree yet","112","0.126683696539757","0.102113540816107","0.151253852263406"
"3 on scale 1-7 ","2005","Full Time","lower secondary degree","351","0.176447736865466","0.159753704733518","0.193141768997413"
"3 on scale 1-7 ","2005","Full Time","secondary school degree","514","0.183044539096865","0.168906724319227","0.197182353874504"
"3 on scale 1-7 ","2005","Full Time","college entrance qualification","539","0.210176996563969","0.194409531177185","0.225944461950754"
"3 on scale 1-7 ","2005","Full Time","Other degree","69","0.188133371667348","0.1489930880289","0.227273655305797"
"3 on scale 1-7 ","2005","Full Time","no degree/no degree yet","14","","",""
"3 on scale 1-7 ","2005","Part Time","lower secondary degree","223","0.17507612028613","0.154480986671899","0.195671253900361"
"3 on scale 1-7 ","2005","Part Time","secondary school degree","282","0.158197522451307","0.140388673681132","0.176006371221482"
"3 on scale 1-7 ","2005","Part Time","college entrance qualification","288","0.181256053087537","0.160894211589131","0.201617894585942"
"3 on scale 1-7 ","2005","Part Time","Other degree","38","0.153179768608152","0.109317152973079","0.197042384243225"
"3 on scale 1-7 ","2005","Part Time","no degree/no degree yet","32","0.2229933476823","0.153544208024041","0.29244248734056"
"3 on scale 1-7 ","2005","Not Working","lower secondary degree","632","0.162565936365907","0.150761401073565","0.174370471658249"
"3 on scale 1-7 ","2005","Not Working","secondary school degree","278","0.181549352936798","0.162177235868815","0.200921470004781"
"3 on scale 1-7 ","2005","Not Working","college entrance qualification","238","0.184558098753857","0.163000471096308","0.206115726411407"
"3 on scale 1-7 ","2005","Not Working","Other degree","61","0.114891486514879","0.0861836077510906","0.143599365278667"
"3 on scale 1-7 ","2005","Not Working","no degree/no degree yet","145","0.202003087654427","0.172345121118752","0.231661054190103"
"4 on scale 1-7","2005","Full Time","lower secondary degree","412","0.196658512311465","0.17925190670928","0.214065117913651"
"4 on scale 1-7","2005","Full Time","secondary school degree","615","0.218210247698202","0.203109888888921","0.233310606507484"
"4 on scale 1-7","2005","Full Time","college entrance qualification","492","0.19399427789879","0.178691582670463","0.209296973127117"
"4 on scale 1-7","2005","Full Time","Other degree","62","0.157471924034252","0.120992962885588","0.193950885182915"
"4 on scale 1-7","2005","Full Time","no degree/no degree yet","9","","",""
"4 on scale 1-7","2005","Part Time","lower secondary degree","255","0.201902113573538","0.180147932855554","0.223656294291522"
"4 on scale 1-7","2005","Part Time","secondary school degree","343","0.211290380485534","0.191368545485776","0.231212215485291"
"4 on scale 1-7","2005","Part Time","college entrance qualification","261","0.190924355897569","0.170150267617747","0.21169844417739"
"4 on scale 1-7","2005","Part Time","Other degree","52","0.16387143654135","0.118791180986503","0.208951692096196"
"4 on scale 1-7","2005","Part Time","no degree/no degree yet","31","0.157888156722702","0.0970510974996185","0.218725215945786"
"4 on scale 1-7","2005","Not Working","lower secondary degree","629","0.164662923280382","0.152797380800181","0.176528465760583"
"4 on scale 1-7","2005","Not Working","secondary school degree","263","0.173015922536947","0.154006229926783","0.192025615147111"
"4 on scale 1-7","2005","Not Working","college entrance qualification","237","0.191247722746687","0.169393075781229","0.213102369712145"
"4 on scale 1-7","2005","Not Working","Other degree","75","0.15379034021952","0.121314347277066","0.186266333161973"
"4 on scale 1-7","2005","Not Working","no degree/no degree yet","138","0.173751498971836","0.145762885547728","0.201740112395944"
"5 on scale 1-7","2005","Full Time","lower secondary degree","245","0.121978236953043","0.10764641406169","0.136310059844397"
