"plh0206i02","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","Male","1227","0.17531174002273","0.16668104943081","0.183942430614649"
"1 Strongly disagree","2005","West Germany","Female","1989","0.263576140997358","0.254011112692619","0.273141169302098"
"1 Strongly disagree","2005","East Germany","Male","354","0.149296181205967","0.135100238526657","0.163492123885277"
"1 Strongly disagree","2005","East Germany","Female","548","0.225406091270199","0.209427520983875","0.241384661556523"
"2 on scale 1-7 ","2005","West Germany","Male","1402","0.179710411017934","0.170995451785581","0.188425370250286"
"2 on scale 1-7 ","2005","West Germany","Female","1727","0.199493849209735","0.190817912438318","0.208169785981153"
"2 on scale 1-7 ","2005","East Germany","Male","455","0.180658867235469","0.165333435544791","0.195984298926147"
"2 on scale 1-7 ","2005","East Germany","Female","576","0.213951952491571","0.198269978532866","0.229633926450276"
"3 on scale 1-7 ","2005","West Germany","Male","1438","0.186327455154893","0.17748936558433","0.195165544725457"
"3 on scale 1-7 ","2005","West Germany","Female","1427","0.170852243138007","0.162680859620238","0.179023626655776"
"3 on scale 1-7 ","2005","East Germany","Male","450","0.184717792969744","0.169259588629339","0.200175997310148"
"3 on scale 1-7 ","2005","East Germany","Female","464","0.173105969402018","0.158638285709773","0.187573653094264"
"4 on scale 1-7","2005","West Germany","Male","1517","0.198402546208325","0.189350496575315","0.207454595841336"
"4 on scale 1-7","2005","West Germany","Female","1417","0.170779718197411","0.1626097119072","0.178949724487621"
"4 on scale 1-7","2005","East Germany","Male","526","0.223912894465906","0.207307642029779","0.240518146902033"
"4 on scale 1-7","2005","East Germany","Female","490","0.186003965985649","0.171124398712492","0.200883533258807"
"5 on scale 1-7","2005","West Germany","Male","894","0.119495433858347","0.112132742374233","0.126858125342462"
"5 on scale 1-7","2005","West Germany","Female","838","0.100614961316291","0.094084055837231","0.107145866795351"
"5 on scale 1-7","2005","East Germany","Male","297","0.115015729403185","0.102307147529511","0.127724311276859"
"5 on scale 1-7","2005","East Germany","Female","286","0.097612247411944","0.0862630067124958","0.108961488111392"
"6 on scale 1-7","2005","West Germany","Male","475","0.0684723415583951","0.0627397551671287","0.0742049279496615"
"6 on scale 1-7","2005","West Germany","Female","370","0.0432787877552232","0.0388610540664797","0.0476965214439667"
"6 on scale 1-7","2005","East Germany","Male","176","0.0661351922737533","0.0562357891193288","0.0760345954281779"
"6 on scale 1-7","2005","East Germany","Female","150","0.0569612092681175","0.0480983789719963","0.0658240395642388"
"7 Strongly agree","2005","West Germany","Male","503","0.0722800721793752","0.0664022983223526","0.0781578460363977"
"7 Strongly agree","2005","West Germany","Female","382","0.0514042993859743","0.0466101718324585","0.0561984269394902"
"7 Strongly agree","2005","East Germany","Male","163","0.0802633424459757","0.0694405067563102","0.0910861781356411"
"7 Strongly agree","2005","East Germany","Female","113","0.0469585641705005","0.0388688840209882","0.0550482443200129"
"1 Strongly disagree","2006","West Germany","Male","","","",""
"1 Strongly disagree","2006","West Germany","Female","","","",""
"1 Strongly disagree","2006","East Germany","Male","","","",""
"1 Strongly disagree","2006","East Germany","Female","","","",""
"2 on scale 1-7 ","2006","West Germany","Male","","","",""
"2 on scale 1-7 ","2006","West Germany","Female","","","",""
"2 on scale 1-7 ","2006","East Germany","Male","","","",""
"2 on scale 1-7 ","2006","East Germany","Female","","","",""
"3 on scale 1-7 ","2006","West Germany","Male","","","",""
"3 on scale 1-7 ","2006","West Germany","Female","","","",""
"3 on scale 1-7 ","2006","East Germany","Male","","","",""
"3 on scale 1-7 ","2006","East Germany","Female","","","",""
"4 on scale 1-7","2006","West Germany","Male","","","",""
"4 on scale 1-7","2006","West Germany","Female","","","",""
"4 on scale 1-7","2006","East Germany","Male","","","",""
"4 on scale 1-7","2006","East Germany","Female","","","",""
"5 on scale 1-7","2006","West Germany","Male","","","",""
"5 on scale 1-7","2006","West Germany","Female","","","",""
"5 on scale 1-7","2006","East Germany","Male","","","",""
"5 on scale 1-7","2006","East Germany","Female","","","",""
"6 on scale 1-7","2006","West Germany","Male","","","",""
"6 on scale 1-7","2006","West Germany","Female","","","",""
"6 on scale 1-7","2006","East Germany","Male","","","",""
"6 on scale 1-7","2006","East Germany","Female","","","",""
"7 Strongly agree","2006","West Germany","Male","","","",""
"7 Strongly agree","2006","West Germany","Female","","","",""
"7 Strongly agree","2006","East Germany","Male","","","",""
"7 Strongly agree","2006","East Germany","Female","","","",""
"1 Strongly disagree","2007","West Germany","Male","","","",""
"1 Strongly disagree","2007","West Germany","Female","","","",""
"1 Strongly disagree","2007","East Germany","Male","","","",""
"1 Strongly disagree","2007","East Germany","Female","","","",""
"2 on scale 1-7 ","2007","West Germany","Male","","","",""
"2 on scale 1-7 ","2007","West Germany","Female","","","",""
"2 on scale 1-7 ","2007","East Germany","Male","","","",""
"2 on scale 1-7 ","2007","East Germany","Female","","","",""
"3 on scale 1-7 ","2007","West Germany","Male","","","",""
"3 on scale 1-7 ","2007","West Germany","Female","","","",""
"3 on scale 1-7 ","2007","East Germany","Male","","","",""
"3 on scale 1-7 ","2007","East Germany","Female","","","",""
"4 on scale 1-7","2007","West Germany","Male","","","",""
"4 on scale 1-7","2007","West Germany","Female","","","",""
"4 on scale 1-7","2007","East Germany","Male","","","",""
"4 on scale 1-7","2007","East Germany","Female","","","",""
"5 on scale 1-7","2007","West Germany","Male","","","",""
"5 on scale 1-7","2007","West Germany","Female","","","",""
"5 on scale 1-7","2007","East Germany","Male","","","",""
"5 on scale 1-7","2007","East Germany","Female","","","",""
"6 on scale 1-7","2007","West Germany","Male","","","",""
"6 on scale 1-7","2007","West Germany","Female","","","",""
"6 on scale 1-7","2007","East Germany","Male","","","",""
"6 on scale 1-7","2007","East Germany","Female","","","",""
"7 Strongly agree","2007","West Germany","Male","","","",""
"7 Strongly agree","2007","West Germany","Female","","","",""
"7 Strongly agree","2007","East Germany","Male","","","",""
"7 Strongly agree","2007","East Germany","Female","","","",""
"1 Strongly disagree","2008","West Germany","Male","","","",""
"1 Strongly disagree","2008","West Germany","Female","","","",""
"1 Strongly disagree","2008","East Germany","Male","","","",""
"1 Strongly disagree","2008","East Germany","Female","","","",""
"2 on scale 1-7 ","2008","West Germany","Male","","","",""
"2 on scale 1-7 ","2008","West Germany","Female","","","",""
"2 on scale 1-7 ","2008","East Germany","Male","","","",""
"2 on scale 1-7 ","2008","East Germany","Female","","","",""
"3 on scale 1-7 ","2008","West Germany","Male","","","",""
"3 on scale 1-7 ","2008","West Germany","Female","","","",""
"3 on scale 1-7 ","2008","East Germany","Male","","","",""
"3 on scale 1-7 ","2008","East Germany","Female","","","",""
"4 on scale 1-7","2008","West Germany","Male","","","",""
"4 on scale 1-7","2008","West Germany","Female","","","",""
"4 on scale 1-7","2008","East Germany","Male","","","",""
"4 on scale 1-7","2008","East Germany","Female","","","",""
"5 on scale 1-7","2008","West Germany","Male","","","",""
"5 on scale 1-7","2008","West Germany","Female","","","",""
"5 on scale 1-7","2008","East Germany","Male","","","",""
"5 on scale 1-7","2008","East Germany","Female","","","",""
"6 on scale 1-7","2008","West Germany","Male","","","",""
"6 on scale 1-7","2008","West Germany","Female","","","",""
"6 on scale 1-7","2008","East Germany","Male","","","",""
"6 on scale 1-7","2008","East Germany","Female","","","",""
"7 Strongly agree","2008","West Germany","Male","","","",""
"7 Strongly agree","2008","West Germany","Female","","","",""
"7 Strongly agree","2008","East Germany","Male","","","",""
"7 Strongly agree","2008","East Germany","Female","","","",""
"1 Strongly disagree","2009","West Germany","Male","","","",""
"1 Strongly disagree","2009","West Germany","Female","","","",""
"1 Strongly disagree","2009","East Germany","Male","","","",""
"1 Strongly disagree","2009","East Germany","Female","","","",""
"2 on scale 1-7 ","2009","West Germany","Male","","","",""
"2 on scale 1-7 ","2009","West Germany","Female","","","",""
"2 on scale 1-7 ","2009","East Germany","Male","","","",""
"2 on scale 1-7 ","2009","East Germany","Female","","","",""
"3 on scale 1-7 ","2009","West Germany","Male","","","",""
"3 on scale 1-7 ","2009","West Germany","Female","","","",""
"3 on scale 1-7 ","2009","East Germany","Male","","","",""
"3 on scale 1-7 ","2009","East Germany","Female","","","",""
"4 on scale 1-7","2009","West Germany","Male","","","",""
"4 on scale 1-7","2009","West Germany","Female","","","",""
"4 on scale 1-7","2009","East Germany","Male","","","",""
"4 on scale 1-7","2009","East Germany","Female","","","",""
"5 on scale 1-7","2009","West Germany","Male","","","",""
"5 on scale 1-7","2009","West Germany","Female","","","",""
"5 on scale 1-7","2009","East Germany","Male","","","",""
"5 on scale 1-7","2009","East Germany","Female","","","",""
"6 on scale 1-7","2009","West Germany","Male","","","",""
"6 on scale 1-7","2009","West Germany","Female","","","",""
"6 on scale 1-7","2009","East Germany","Male","","","",""
"6 on scale 1-7","2009","East Germany","Female","","","",""
"7 Strongly agree","2009","West Germany","Male","","","",""
"7 Strongly agree","2009","West Germany","Female","","","",""
"7 Strongly agree","2009","East Germany","Male","","","",""
"7 Strongly agree","2009","East Germany","Female","","","",""
"1 Strongly disagree","2010","West Germany","Male","848","0.137009824783102","0.12827417105063","0.145745478515574"
"1 Strongly disagree","2010","West Germany","Female","1458","0.224658888988387","0.214576177005114","0.234741600971661"
"1 Strongly disagree","2010","East Germany","Male","250","0.150318699409386","0.134600854326792","0.16603654449198"
"1 Strongly disagree","2010","East Germany","Female","431","0.212940767290839","0.19562809658127","0.230253438000408"
"2 on scale 1-7 ","2010","West Germany","Male","1227","0.197464173670009","0.187350871107371","0.207577476232648"
"2 on scale 1-7 ","2010","West Germany","Female","1534","0.216458644866775","0.206509458150474","0.226407831583076"
"2 on scale 1-7 ","2010","East Germany","Male","404","0.189224087377711","0.17199758543448","0.206450589320943"
"2 on scale 1-7 ","2010","East Germany","Female","471","0.224269608389709","0.206630705544224","0.241908511235193"
"3 on scale 1-7 ","2010","West Germany","Male","1240","0.207563381003733","0.197260130331718","0.217866631675748"
"3 on scale 1-7 ","2010","West Germany","Female","1350","0.203021092010049","0.193303399659735","0.212738784360363"
"3 on scale 1-7 ","2010","East Germany","Male","403","0.199329364074543","0.181759392445754","0.216899335703332"
"3 on scale 1-7 ","2010","East Germany","Female","420","0.181304934258981","0.165012092077035","0.197597776440926"
"4 on scale 1-7","2010","West Germany","Male","1162","0.192549688906456","0.182532498163587","0.202566879649324"
"4 on scale 1-7","2010","West Germany","Female","1069","0.162847609684812","0.153927666113503","0.17176755325612"
"4 on scale 1-7","2010","East Germany","Male","417","0.210416178503009","0.19248961045893","0.228342746547088"
"4 on scale 1-7","2010","East Germany","Female","399","0.170475691396356","0.154572776261421","0.186378606531292"
"5 on scale 1-7","2010","West Germany","Male","751","0.14245843655958","0.13357894076319","0.15133793235597"
"5 on scale 1-7","2010","West Germany","Female","628","0.100918343105947","0.0936413196217963","0.108195366590097"
"5 on scale 1-7","2010","East Germany","Male","248","0.107830059396943","0.0941888717051188","0.121471247088768"
"5 on scale 1-7","2010","East Germany","Female","234","0.108975610014664","0.0957978861452932","0.122153333884034"
"6 on scale 1-7","2010","West Germany","Male","341","0.0539265699826304","0.0481883069532546","0.0596648330120063"
"6 on scale 1-7","2010","West Germany","Female","282","0.0459008051689741","0.0408451660153073","0.0509564443226409"
"6 on scale 1-7","2010","East Germany","Male","128","0.0687267883141968","0.0576002504844446","0.079853326143949"
"6 on scale 1-7","2010","East Germany","Female","93","0.0407643815279612","0.0324019219854694","0.0491268410704531"
"7 Strongly agree","2010","West Germany","Male","383","0.06902792509449","0.0625877545762738","0.0754680956127062"
"7 Strongly agree","2010","West Germany","Female","261","0.0461946161750562","0.0411236032407126","0.0512656291093998"
"7 Strongly agree","2010","East Germany","Male","136","0.0741548229242103","0.0626309793545927","0.0856786664938279"
"7 Strongly agree","2010","East Germany","Female","100","0.0612690071214907","0.0511270457495235","0.0714109684934578"
"1 Strongly disagree","2011","West Germany","Male","","","",""
"1 Strongly disagree","2011","West Germany","Female","","","",""
"1 Strongly disagree","2011","East Germany","Male","","","",""
"1 Strongly disagree","2011","East Germany","Female","","","",""
"2 on scale 1-7 ","2011","West Germany","Male","","","",""
"2 on scale 1-7 ","2011","West Germany","Female","","","",""
"2 on scale 1-7 ","2011","East Germany","Male","","","",""
"2 on scale 1-7 ","2011","East Germany","Female","","","",""
"3 on scale 1-7 ","2011","West Germany","Male","","","",""
"3 on scale 1-7 ","2011","West Germany","Female","","","",""
"3 on scale 1-7 ","2011","East Germany","Male","","","",""
"3 on scale 1-7 ","2011","East Germany","Female","","","",""
"4 on scale 1-7","2011","West Germany","Male","","","",""
"4 on scale 1-7","2011","West Germany","Female","","","",""
"4 on scale 1-7","2011","East Germany","Male","","","",""
"4 on scale 1-7","2011","East Germany","Female","","","",""
"5 on scale 1-7","2011","West Germany","Male","","","",""
"5 on scale 1-7","2011","West Germany","Female","","","",""
"5 on scale 1-7","2011","East Germany","Male","","","",""
"5 on scale 1-7","2011","East Germany","Female","","","",""
"6 on scale 1-7","2011","West Germany","Male","","","",""
"6 on scale 1-7","2011","West Germany","Female","","","",""
"6 on scale 1-7","2011","East Germany","Male","","","",""
"6 on scale 1-7","2011","East Germany","Female","","","",""
"7 Strongly agree","2011","West Germany","Male","","","",""
"7 Strongly agree","2011","West Germany","Female","","","",""
"7 Strongly agree","2011","East Germany","Male","","","",""
"7 Strongly agree","2011","East Germany","Female","","","",""
"1 Strongly disagree","2012","West Germany","Male","","","",""
"1 Strongly disagree","2012","West Germany","Female","","","",""
"1 Strongly disagree","2012","East Germany","Male","","","",""
"1 Strongly disagree","2012","East Germany","Female","","","",""
"2 on scale 1-7 ","2012","West Germany","Male","","","",""
"2 on scale 1-7 ","2012","West Germany","Female","","","",""
"2 on scale 1-7 ","2012","East Germany","Male","","","",""
"2 on scale 1-7 ","2012","East Germany","Female","","","",""
"3 on scale 1-7 ","2012","West Germany","Male","","","",""
"3 on scale 1-7 ","2012","West Germany","Female","","","",""
"3 on scale 1-7 ","2012","East Germany","Male","","","",""
"3 on scale 1-7 ","2012","East Germany","Female","","","",""
"4 on scale 1-7","2012","West Germany","Male","","","",""
"4 on scale 1-7","2012","West Germany","Female","","","",""
"4 on scale 1-7","2012","East Germany","Male","","","",""
"4 on scale 1-7","2012","East Germany","Female","","","",""
"5 on scale 1-7","2012","West Germany","Male","","","",""
"5 on scale 1-7","2012","West Germany","Female","","","",""
"5 on scale 1-7","2012","East Germany","Male","","","",""
"5 on scale 1-7","2012","East Germany","Female","","","",""
"6 on scale 1-7","2012","West Germany","Male","","","",""
"6 on scale 1-7","2012","West Germany","Female","","","",""
"6 on scale 1-7","2012","East Germany","Male","","","",""
"6 on scale 1-7","2012","East Germany","Female","","","",""
