"plh0206i02","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","1581","0.170404948044012","0.162989972187565","0.177819923900458"
"1 Strongly disagree","2005","Female","2537","0.256552787992169","0.248307371692861","0.264798204291476"
"2 on scale 1-7 ","2005","Male","1857","0.179889299251438","0.172314441729875","0.187464156773002"
"2 on scale 1-7 ","2005","Female","2303","0.202154164400826","0.194571881451873","0.209736447349778"
"3 on scale 1-7 ","2005","Male","1888","0.186023856929148","0.178349787490742","0.193697926367554"
"3 on scale 1-7 ","2005","Female","1891","0.171266932540886","0.164154089203507","0.178379775878265"
"4 on scale 1-7","2005","Male","2043","0.203214050473379","0.195278386608882","0.211149714337875"
"4 on scale 1-7","2005","Female","1907","0.173581005259377","0.166430275022387","0.180731735496366"
"5 on scale 1-7","2005","Male","1191","0.118650517243546","0.112273105472556","0.125027929014537"
"5 on scale 1-7","2005","Female","1124","0.100062456934595","0.0943969220800534","0.105727991789136"
"6 on scale 1-7","2005","Male","651","0.068031532062673","0.0630657083363376","0.0729973557890084"
"6 on scale 1-7","2005","Female","520","0.0457963762031755","0.0418496660082814","0.0497430863980697"
"7 Strongly agree","2005","Male","666","0.0737857959958036","0.0686302143850539","0.0789413776065532"
"7 Strongly agree","2005","Female","495","0.0505862766689733","0.0464487266258947","0.0547238267120518"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
"3 on scale 1-7 ","2008","Male","","","",""
