"plh0206i02","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","1090","0.174176095764505","0.165024162395212","0.183328029133798"
"1 Strongly disagree","2005","Urban Area","Female","1771","0.259540035034795","0.249435137526818","0.269644932542771"
"1 Strongly disagree","2005","Rural Area","Male","491","0.162027357881286","0.149417207541173","0.1746375082214"
"1 Strongly disagree","2005","Rural Area","Female","766","0.249955875282506","0.235706606512142","0.26420514405287"
"2 on scale 1-7 ","2005","Urban Area","Male","1267","0.179546612484654","0.170284918805426","0.188808306163882"
"2 on scale 1-7 ","2005","Urban Area","Female","1550","0.207176959683692","0.197835004026902","0.216518915340482"
"2 on scale 1-7 ","2005","Rural Area","Male","590","0.180650576586375","0.167484225807805","0.193816927364944"
"2 on scale 1-7 ","2005","Rural Area","Female","753","0.191062031220422","0.178124175546429","0.203999886894416"
"3 on scale 1-7 ","2005","Urban Area","Male","1272","0.19140523711799","0.181911936812263","0.200898537423716"
"3 on scale 1-7 ","2005","Urban Area","Female","1269","0.174900898505286","0.166144449562226","0.183657347448346"
"3 on scale 1-7 ","2005","Rural Area","Male","616","0.1740691415286","0.161093049732725","0.187045233324475"
"3 on scale 1-7 ","2005","Rural Area","Female","622","0.163241832535782","0.151079042557908","0.175404622513655"
"4 on scale 1-7","2005","Urban Area","Male","1331","0.195672529112091","0.186099349018422","0.20524570920576"
"4 on scale 1-7","2005","Urban Area","Female","1249","0.166250881709683","0.157669077247761","0.174832686171605"
"4 on scale 1-7","2005","Rural Area","Male","712","0.219967511183755","0.205791737028824","0.234143285338686"
"4 on scale 1-7","2005","Rural Area","Female","658","0.189768546670701","0.176864255262038","0.202672838079365"
"5 on scale 1-7","2005","Urban Area","Male","788","0.120821123198506","0.112956373490722","0.12868587290629"
"5 on scale 1-7","2005","Urban Area","Female","733","0.0981199576850123","0.0912629915156861","0.104976923854338"
"5 on scale 1-7","2005","Rural Area","Male","403","0.113828524459598","0.102959373876239","0.124697675042957"
"5 on scale 1-7","2005","Rural Area","Female","391","0.104352191866197","0.0942912898751685","0.114413093857225"
"6 on scale 1-7","2005","Urban Area","Male","412","0.066858055742455","0.060830717331269","0.0728853941536409"
"6 on scale 1-7","2005","Urban Area","Female","332","0.0422095098280654","0.0375748340614997","0.0468441855946311"
