"plh0206i02","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","721","0.257255608201953","0.241492387297034","0.273018829106873"
"1 Strongly disagree","2005","(Married) couple without C. ","1539","0.237958326740641","0.22799055873068","0.247926094750603"
"1 Strongly disagree","2005","Single parent ","225","0.202333933154235","0.178538919847387","0.226128946461083"
"1 Strongly disagree","2005","Couple + C. LE 16 ","623","0.16819605764272","0.156152012403501","0.180240102881939"
"1 Strongly disagree","2005","Couple + C. GT 16 ","586","0.173430288511972","0.161123680419391","0.185736896604553"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","305","0.179084310563989","0.160852514711468","0.19731610641651"
"2 on scale 1-7 ","2005","1-pers.-HH","627","0.203310978186481","0.188797627915081","0.217824328457881"
"2 on scale 1-7 ","2005","(Married) couple without C. ","1409","0.19706765689847","0.187756465370631","0.206378848426309"
"2 on scale 1-7 ","2005","Single parent ","192","0.160861140231903","0.139099906205769","0.182622374258037"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","768","0.197923029996118","0.18509351692226","0.210752543069976"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","734","0.172110196266157","0.159840728595801","0.184379663936512"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","329","0.176832877551528","0.158691222005484","0.194974533097572"
"3 on scale 1-7 ","2005","1-pers.-HH","521","0.17562662850496","0.161905178576338","0.189348078433581"
"3 on scale 1-7 ","2005","(Married) couple without C. ","1267","0.164030003889581","0.155362079780274","0.172697927998887"
"3 on scale 1-7 ","2005","Single parent ","191","0.174399535661229","0.151924589614163","0.196874481708295"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","685","0.193584073253148","0.180861693787182","0.206306452719114"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","676","0.184070041459147","0.171473417971054","0.196666664947241"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","338","0.197254025948546","0.178332619814657","0.216175432082435"
"4 on scale 1-7","2005","1-pers.-HH","493","0.169300153528417","0.155776513986202","0.182823793070632"
"4 on scale 1-7","2005","(Married) couple without C. ","1262","0.174644991586064","0.165757963130096","0.183532020042033"
"4 on scale 1-7","2005","Single parent ","205","0.192239495123251","0.168899344876411","0.21557964537009"
"4 on scale 1-7","2005","Couple + C. LE 16 ","778","0.217714501972445","0.204425869084899","0.23100313485999"
"4 on scale 1-7","2005","Couple + C. GT 16 ","819","0.229897643022054","0.21622105895201","0.243574227092098"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","296","0.171082023714973","0.153175578841986","0.18898846858796"
"5 on scale 1-7","2005","1-pers.-HH","270","0.084064360564827","0.0740578817227478","0.0940708394069061"
"5 on scale 1-7","2005","(Married) couple without C. ","757","0.110481336289102","0.103143295878364","0.11781937669984"
"5 on scale 1-7","2005","Single parent ","124","0.115707414787054","0.0967613238118453","0.134653505762263"
"5 on scale 1-7","2005","Couple + C. LE 16 ","455","0.118094958889705","0.107703403016244","0.128486514763166"
"5 on scale 1-7","2005","Couple + C. GT 16 ","421","0.118805819885298","0.108288845365995","0.129322794404601"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","218","0.124825540609218","0.109109235664214","0.140541845554222"
"6 on scale 1-7","2005","1-pers.-HH","159","0.0532980518440346","0.045197676400591","0.0613984272874782"
"6 on scale 1-7","2005","(Married) couple without C. ","406","0.0586488905455593","0.0531488761351735","0.0641489049559451"
"6 on scale 1-7","2005","Single parent ","71","0.060719594208183","0.0465745896087197","0.0748645988076462"
"6 on scale 1-7","2005","Couple + C. LE 16 ","198","0.0502171860000419","0.0431849680134354","0.0572494039866484"
"6 on scale 1-7","2005","Couple + C. GT 16 ","217","0.0662518983885839","0.0581674539017135","0.0743363428754544"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","87","0.0541260058204445","0.0433670274575329","0.0648849841833561"
"7 Strongly agree","2005","1-pers.-HH","163","0.0571442191693275","0.0487737147310545","0.0655147236076005"
"7 Strongly agree","2005","(Married) couple without C. ","371","0.0571687940505826","0.0517343565656506","0.0626032315355145"
"7 Strongly agree","2005","Single parent ","87","0.0937388868341447","0.076475436488009","0.11100233718028"
"7 Strongly agree","2005","Couple + C. LE 16 ","198","0.0542701922458228","0.0469753113822772","0.0615650731093684"
"7 Strongly agree","2005","Couple + C. GT 16 ","183","0.0554341124667885","0.0479963752250942","0.0628718497084827"
"7 Strongly agree","2005","Couple + C. LE and GT 16","126","0.0967952157913007","0.0827356644356936","0.110854767146908"
"1 Strongly disagree","2006","1-pers.-HH","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","Single parent ","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","Single parent ","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","Single parent ","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","1-pers.-HH","","","",""
"4 on scale 1-7","2006","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","Single parent ","","","",""
"4 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2006","1-pers.-HH","","","",""
"5 on scale 1-7","2006","(Married) couple without C. ","","","",""
"5 on scale 1-7","2006","Single parent ","","","",""
"5 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2006","1-pers.-HH","","","",""
"6 on scale 1-7","2006","(Married) couple without C. ","","","",""
"6 on scale 1-7","2006","Single parent ","","","",""
"6 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"7 Strongly agree","2006","1-pers.-HH","","","",""
"7 Strongly agree","2006","(Married) couple without C. ","","","",""
"7 Strongly agree","2006","Single parent ","","","",""
"7 Strongly agree","2006","Couple + C. LE 16 ","","","",""
"7 Strongly agree","2006","Couple + C. GT 16 ","","","",""
"7 Strongly agree","2006","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2007","1-pers.-HH","","","",""
"1 Strongly disagree","2007","(Married) couple without C. ","","","",""
"1 Strongly disagree","2007","Single parent ","","","",""
"1 Strongly disagree","2007","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2007","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2007","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2007","1-pers.-HH","","","",""
"2 on scale 1-7 ","2007","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2007","Single parent ","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2007","1-pers.-HH","","","",""
"3 on scale 1-7 ","2007","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2007","Single parent ","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2007","1-pers.-HH","","","",""
"4 on scale 1-7","2007","(Married) couple without C. ","","","",""
"4 on scale 1-7","2007","Single parent ","","","",""
"4 on scale 1-7","2007","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2007","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2007","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2007","1-pers.-HH","","","",""
"5 on scale 1-7","2007","(Married) couple without C. ","","","",""
"5 on scale 1-7","2007","Single parent ","","","",""
"5 on scale 1-7","2007","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2007","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2007","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2007","1-pers.-HH","","","",""
"6 on scale 1-7","2007","(Married) couple without C. ","","","",""
"6 on scale 1-7","2007","Single parent ","","","",""
"6 on scale 1-7","2007","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2007","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2007","Couple + C. LE and GT 16","","","",""
"7 Strongly agree","2007","1-pers.-HH","","","",""
