"plh0206i02","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Urban Area","910","0.166968045385111","0.156999642439507","0.176936448330716","1"
"1 Strongly disagree","2005","Full Time","Rural Area","401","0.157344156043133","0.143425310191521","0.171263001894746","1"
"1 Strongly disagree","2005","Part Time","Urban Area","643","0.215665364419949","0.201536297141553","0.229794431698346","1"
"1 Strongly disagree","2005","Part Time","Rural Area","258","0.192154166631627","0.17254625505252","0.211762078210734","1"
"1 Strongly disagree","2005","Not Working","Urban Area","1308","0.266851026261496","0.254823235365702","0.27887881715729","1"
"1 Strongly disagree","2005","Not Working","Rural Area","598","0.261827400796967","0.245079606128357","0.278575195465577","1"
"2 on scale 1-7 ","2005","Part Time","Urban Area","687","0.198597148995723","0.184891975398534","0.212302322592913","2"
"2 on scale 1-7 ","2005","Full Time","Urban Area","1145","0.199543839577511","0.188861509070403","0.210226170084618","2"
"2 on scale 1-7 ","2005","Not Working","Rural Area","497","0.173135174338261","0.158721289976785","0.187549058699737","2"
"2 on scale 1-7 ","2005","Full Time","Rural Area","528","0.193505009068909","0.178404216533859","0.20860580160396","2"
"2 on scale 1-7 ","2005","Part Time","Rural Area","318","0.196770662801791","0.176985385227473","0.21655594037611","2"
"2 on scale 1-7 ","2005","Not Working","Urban Area","985","0.185728156480471","0.17515319247256","0.196303120488383","2"
"3 on scale 1-7 ","2005","Not Working","Urban Area","915","0.169998817891585","0.159784305931843","0.180213329851328","3"
"3 on scale 1-7 ","2005","Full Time","Urban Area","1029","0.201453871465681","0.190733350611083","0.21217439232028","3"
"3 on scale 1-7 ","2005","Part Time","Rural Area","288","0.161733863338464","0.143409300036696","0.180058426640232","3"
"3 on scale 1-7 ","2005","Part Time","Urban Area","597","0.175268966915032","0.162207821151246","0.188330112678818","3"
"3 on scale 1-7 ","2005","Full Time","Rural Area","480","0.169013457048046","0.15468793570936","0.183338978386732","3"
"3 on scale 1-7 ","2005","Not Working","Rural Area","470","0.171786836439586","0.157417486353931","0.186156186525241","3"
"4 on scale 1-7","2005","Not Working","Rural Area","480","0.170245214066164","0.155927177759741","0.184563250372588","4"
"4 on scale 1-7","2005","Full Time","Rural Area","560","0.225530885022546","0.209555259875948","0.241506510169144","4"
"4 on scale 1-7","2005","Part Time","Urban Area","628","0.182345641710073","0.169080705484276","0.19561057793587","4"
"4 on scale 1-7","2005","Not Working","Urban Area","900","0.171408657740818","0.161160592354773","0.181656723126863","4"
"4 on scale 1-7","2005","Full Time","Urban Area","1052","0.189280347946757","0.178809877727757","0.199750818165757","4"
"4 on scale 1-7","2005","Part Time","Rural Area","330","0.230642241655628","0.209678162726801","0.251606320584455","4"
"5 on scale 1-7","2005","Not Working","Rural Area","293","0.106018562426851","0.0942904984457784","0.117746626407924","5"
"5 on scale 1-7","2005","Part Time","Rural Area","186","0.108881756224085","0.0933797674426408","0.12438374500553","5"
