"plh0206i02","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","3332","0.207303406480734","0.201291901453174","0.213314911508294","1"
"1 Strongly disagree","2005","direct migration background","663","0.28218932887473","0.26402365809318","0.300354999656281","1"
"1 Strongly disagree","2005","indirect migration background","123","0.146106130092887","0.122047600015006","0.170164660170767","1"
"2 on scale 1-7 ","2005","no migration background","3566","0.195281073418612","0.189402408799994","0.20115973803723","2"
"2 on scale 1-7 ","2005","indirect migration background","160","0.18239621211467","0.156092788607526","0.208699635621813","2"
"2 on scale 1-7 ","2005","direct migration background","434","0.169138348682524","0.154007559127956","0.184269138237091","2"
"3 on scale 1-7 ","2005","no migration background","3231","0.178690694800086","0.173009615652896","0.184371773947275","3"
"3 on scale 1-7 ","2005","direct migration background","376","0.166024691425158","0.151005756766308","0.181043626084008","3"
"3 on scale 1-7 ","2005","indirect migration background","172","0.215135724838589","0.187146783589821","0.243124666087357","3"
"4 on scale 1-7","2005","no migration background","3380","0.190064234880642","0.184245856126782","0.195882613634503","4"
"4 on scale 1-7","2005","indirect migration background","152","0.180920823502644","0.154700373370191","0.207141273635098","4"
"4 on scale 1-7","2005","direct migration background","418","0.176583564132955","0.161192767645219","0.19197436062069","4"
"5 on scale 1-7","2005","no migration background","1981","0.108398752910398","0.103788508224239","0.113008997596556","5"
"5 on scale 1-7","2005","direct migration background","226","0.107650038540163","0.0951402234581181","0.120159853622209","5"
"5 on scale 1-7","2005","indirect migration background","108","0.12865172944589","0.105846385647102","0.151457073244677","5"
"6 on scale 1-7","2005","indirect migration background","47","0.0554679902121992","0.0398774028192251","0.0710585776051733","6"
"6 on scale 1-7","2005","direct migration background","100","0.0387217304885575","0.0309345878112186","0.0465088731658965","6"
"6 on scale 1-7","2005","no migration background","1024","0.0594459562792729","0.0559394103176993","0.0629525022408464","6"
"7 Strongly agree","2005","indirect migration background","66","0.0913213897931216","0.0717002455112618","0.110942534074981","7"
"7 Strongly agree","2005","no migration background","954","0.0608158812302548","0.0572717452895359","0.0643600171709738","7"
"7 Strongly agree","2005","direct migration background","141","0.0596922978559119","0.0501298223424905","0.0692547733693332","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
"1 Strongly disagree","2006","direct migration background","","","","","1"
"1 Strongly disagree","2006","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","no migration background","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","no migration background","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","","","","","3"
"4 on scale 1-7","2006","indirect migration background","","","","","4"
"4 on scale 1-7","2006","no migration background","","","","","4"
"4 on scale 1-7","2006","direct migration background","","","","","4"
"5 on scale 1-7","2006","indirect migration background","","","","","5"
"5 on scale 1-7","2006","no migration background","","","","","5"
"5 on scale 1-7","2006","direct migration background","","","","","5"
"6 on scale 1-7","2006","indirect migration background","","","","","6"
"6 on scale 1-7","2006","direct migration background","","","","","6"
"6 on scale 1-7","2006","no migration background","","","","","6"
"7 Strongly agree","2006","indirect migration background","","","","","7"
"7 Strongly agree","2006","no migration background","","","","","7"
"7 Strongly agree","2006","direct migration background","","","","","7"
"1 Strongly disagree","2007","direct migration background","","","","","1"
"1 Strongly disagree","2007","indirect migration background","","","","","1"
"1 Strongly disagree","2007","no migration background","","","","","1"
"2 on scale 1-7 ","2007","no migration background","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","","","","","2"
