"plh0206i02","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1584","0.236812283926052","0.226898474990472","0.246726092861632"
"1 Strongly disagree","2005","secondary school degree","1069","0.185314851846024","0.175489838658929","0.19513986503312"
"1 Strongly disagree","2005","college entrance qualification","912","0.194976480645926","0.184191708041148","0.205761253250705"
"1 Strongly disagree","2005","Other degree","330","0.295855259972803","0.269076737491511","0.322633782454096"
"1 Strongly disagree","2005","no degree/no degree yet","166","0.211622898206108","0.184892821851833","0.238352974560383"
"2 on scale 1-7 ","2005","lower secondary degree","1269","0.169647073163529","0.160894670455573","0.178399475871485"
"2 on scale 1-7 ","2005","secondary school degree","1229","0.200088226702175","0.189972084138329","0.210204369266021"
"2 on scale 1-7 ","2005","college entrance qualification","1237","0.236541032744546","0.224972941935771","0.248109123553321"
"2 on scale 1-7 ","2005","Other degree","210","0.177466724718348","0.155051081840446","0.199882367596249"
"2 on scale 1-7 ","2005","no degree/no degree yet","152","0.148217923628671","0.124965593484443","0.171470253772898"
"3 on scale 1-7 ","2005","lower secondary degree","1206","0.168798429481996","0.160063485501268","0.177533373462725"
"3 on scale 1-7 ","2005","secondary school degree","1074","0.176401291968975","0.166763182866689","0.186039401071261"
"3 on scale 1-7 ","2005","college entrance qualification","1065","0.195556394991741","0.184759486820273","0.206353303163209"
"3 on scale 1-7 ","2005","Other degree","168","0.14978534642434","0.128848322431383","0.170722370417296"
"3 on scale 1-7 ","2005","no degree/no degree yet","191","0.218342391071825","0.191307216366996","0.245377565776653"
"4 on scale 1-7","2005","lower secondary degree","1296","0.180561562232109","0.171591539091554","0.189531585372664"
"4 on scale 1-7","2005","secondary school degree","1221","0.204113558093547","0.193921905555279","0.214305210631816"
"4 on scale 1-7","2005","college entrance qualification","990","0.192435183806631","0.181704027299788","0.203166340313474"
"4 on scale 1-7","2005","Other degree","189","0.1575693279989","0.136193698146472","0.178944957851328"
"4 on scale 1-7","2005","no degree/no degree yet","178","0.176111673276061","0.151184093431208","0.201039253120915"
"5 on scale 1-7","2005","lower secondary degree","766","0.106369345883749","0.099179658304155","0.113559033463344"
"5 on scale 1-7","2005","secondary school degree","703","0.110453004521486","0.102526962973117","0.118379046069856"
"5 on scale 1-7","2005","college entrance qualification","592","0.109548241096296","0.101046194181337","0.118050288011255"
"5 on scale 1-7","2005","Other degree","104","0.113581255844798","0.0949651520212412","0.132197359668354"
"5 on scale 1-7","2005","no degree/no degree yet","100","0.113447617685124","0.0926936201743218","0.134201615195927"
"6 on scale 1-7","2005","lower secondary degree","432","0.0609499333226284","0.0553709670348679","0.066528899610389"
"6 on scale 1-7","2005","secondary school degree","373","0.0634615557288346","0.0572970069841013","0.069626104473568"
"6 on scale 1-7","2005","college entrance qualification","242","0.0429426447802129","0.0374240440827729","0.048461245477653"
"6 on scale 1-7","2005","Other degree","51","0.0451931938126126","0.0330058163021514","0.0573805713230737"
