"plh0206i02","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Male","293","0.117996666722498","0.105458186660055","0.130535146784941","1"
"1 Strongly disagree","2005","16-34 y.","Female","430","0.164645149120545","0.150829381575794","0.178460916665297","1"
"1 Strongly disagree","2005","35-65 y.","Male","867","0.161541666209565","0.151912005654035","0.171171326765096","1"
"1 Strongly disagree","2005","35-65 y.","Female","1422","0.250477979361139","0.239481434569209","0.261474524153069","1"
"1 Strongly disagree","2005","66 and older","Male","421","0.27002970704129","0.249066205820989","0.290993208261591","1"
"1 Strongly disagree","2005","66 and older","Female","685","0.359508705771459","0.338711128039153","0.380306283503766","1"
"2 on scale 1-7 ","2005","35-65 y.","Male","1114","0.188712312533418","0.17847430328678","0.198950321780057","2"
"2 on scale 1-7 ","2005","16-34 y.","Male","423","0.156555138065749","0.142431814069232","0.170678462062267","2"
"2 on scale 1-7 ","2005","66 and older","Female","429","0.1993420253281","0.182026950015348","0.216657100640852","2"
"2 on scale 1-7 ","2005","16-34 y.","Female","589","0.210797715545062","0.195603014317389","0.225992416772735","2"
"2 on scale 1-7 ","2005","35-65 y.","Female","1285","0.199402025171399","0.189261713593527","0.209542336749272","2"
"2 on scale 1-7 ","2005","66 and older","Male","320","0.187377344343735","0.168952303675391","0.20580238501208","2"
"3 on scale 1-7 ","2005","66 and older","Male","317","0.175880443706962","0.157903769877915","0.193857117536009","3"
"3 on scale 1-7 ","2005","16-34 y.","Male","503","0.201333438374491","0.185748122199496","0.216918754549485","3"
"3 on scale 1-7 ","2005","35-65 y.","Female","1033","0.17060758149842","0.161060767363046","0.180154395633793","3"
"3 on scale 1-7 ","2005","35-65 y.","Male","1068","0.182046618736119","0.171949823678301","0.192143413793936","3"
"3 on scale 1-7 ","2005","16-34 y.","Female","539","0.195151213956621","0.180387085219923","0.209915342693319","3"
"3 on scale 1-7 ","2005","66 and older","Female","319","0.149138105319807","0.133698887911219","0.164577322728394","3"
"4 on scale 1-7","2005","66 and older","Female","305","0.151891636999453","0.136335776528962","0.167447497469944","4"
"4 on scale 1-7","2005","16-34 y.","Female","565","0.202451069362235","0.187481691394313","0.217420447330158","4"
"4 on scale 1-7","2005","35-65 y.","Male","1184","0.207057429763119","0.196455272713592","0.217659586812646","4"
"4 on scale 1-7","2005","66 and older","Male","293","0.160980311226846","0.143627177651029","0.178333444802662","4"
"4 on scale 1-7","2005","16-34 y.","Male","566","0.225255651437035","0.209019168244796","0.241492134629274","4"
"4 on scale 1-7","2005","35-65 y.","Female","1037","0.170336922612097","0.160796127850279","0.179877717373916","4"
"5 on scale 1-7","2005","66 and older","Female","140","0.0603404122452543","0.0500201473180116","0.0706606771724969","5"
"5 on scale 1-7","2005","35-65 y.","Female","624","0.10601341766965","0.0982002851282616","0.113826550211039","5"
"5 on scale 1-7","2005","66 and older","Male","165","0.0889744579377828","0.0755312348927535","0.102417680982812","5"
"5 on scale 1-7","2005","16-34 y.","Male","371","0.139862723634634","0.126382106131547","0.153343341137721","5"
"5 on scale 1-7","2005","16-34 y.","Female","360","0.127940290300475","0.115496811133719","0.140383769467231","5"
"5 on scale 1-7","2005","35-65 y.","Male","655","0.11855039684282","0.110092191859353","0.127008601826287","5"
"6 on scale 1-7","2005","66 and older","Female","89","0.0408866353537815","0.0323038728995274","0.0494693978080355","6"
"6 on scale 1-7","2005","35-65 y.","Male","359","0.0686671015270199","0.0620501982433211","0.0752840048107186","6"
"6 on scale 1-7","2005","66 and older","Male","95","0.0547598523108763","0.0440172953273745","0.0655024092943781","6"
"6 on scale 1-7","2005","16-34 y.","Male","197","0.0761274600887707","0.0658200012191676","0.0864349189583738","6"
"6 on scale 1-7","2005","35-65 y.","Female","284","0.0477704995691177","0.0423575998523216","0.0531833992859137","6"
"6 on scale 1-7","2005","16-34 y.","Female","147","0.046638920185405","0.0387835256792996","0.0544943146915105","6"
"7 Strongly agree","2005","66 and older","Female","78","0.0388924789821454","0.030512937879294","0.0472720200849968","7"
"7 Strongly agree","2005","66 and older","Male","112","0.061997883432508","0.0506112381135745","0.0733845287514416","7"
"7 Strongly agree","2005","35-65 y.","Male","364","0.0734244743879383","0.0665996922525262","0.0802492565233503","7"
"7 Strongly agree","2005","35-65 y.","Female","279","0.0553915741181772","0.0495862424765282","0.0611969057598262","7"
"7 Strongly agree","2005","16-34 y.","Male","190","0.0828689216768226","0.0721540626876988","0.0935837806659464","7"
"7 Strongly agree","2005","16-34 y.","Female","138","0.0523756415296565","0.0440762197967886","0.0606750632625244","7"
"1 Strongly disagree","2006","16-34 y.","Female","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Male","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Female","","","","","1"
"1 Strongly disagree","2006","66 and older","Male","","","","","1"
