"plh0206i02","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","no migration background","1079","0.159438381404433","0.150782969672606","0.168093793136261"
"1 Strongly disagree","2005","Full Time","direct migration background","188","0.219367448893228","0.190798780976959","0.247936116809497"
"1 Strongly disagree","2005","Full Time","indirect migration background","44","0.0970146409415687","0.0649836655439486","0.129045616339189"
"1 Strongly disagree","2005","Part Time","no migration background","718","0.193592882968995","0.181395587014695","0.205790178923294"
"1 Strongly disagree","2005","Part Time","direct migration background","153","0.298864455928986","0.260814967597742","0.33691394426023"
"1 Strongly disagree","2005","Part Time","indirect migration background","30","0.181042710435583","0.130045410658579","0.232040010212587"
"1 Strongly disagree","2005","Not Working","no migration background","1535","0.259187094656302","0.248587440821159","0.269786748491444"
"1 Strongly disagree","2005","Not Working","direct migration background","322","0.322773147493977","0.29373732014576","0.351808974842194"
"1 Strongly disagree","2005","Not Working","indirect migration background","49","0.174925399818088","0.130506481600604","0.219344318035572"
"2 on scale 1-7 ","2005","Full Time","no migration background","1448","0.197542076202714","0.18812865573898","0.206955496666449"
"2 on scale 1-7 ","2005","Full Time","direct migration background","158","0.196810129883962","0.169361959221503","0.224258300546421"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","67","0.20303817588144","0.15950515753232","0.24657119423056"
"2 on scale 1-7 ","2005","Part Time","no migration background","834","0.204929785220544","0.192468955067679","0.21739061537341"
"2 on scale 1-7 ","2005","Part Time","direct migration background","113","0.151177772200916","0.121401999694763","0.180953544707069"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","58","0.223409441441587","0.168243269573048","0.278575613310127"
"2 on scale 1-7 ","2005","Not Working","no migration background","1284","0.187981115366755","0.178530264684989","0.197431966048522"
"2 on scale 1-7 ","2005","Not Working","direct migration background","163","0.157659047958931","0.135027105550707","0.180290990367156"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","35","0.117785084463719","0.0800949854846718","0.155475183442766"
"3 on scale 1-7 ","2005","Full Time","no migration background","1299","0.189444730124224","0.180179865095401","0.198709595153047"
"3 on scale 1-7 ","2005","Full Time","direct migration background","140","0.192224328548388","0.165020493621246","0.219428163475529"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","70","0.23044699763459","0.184873121799934","0.276020873469245"
"3 on scale 1-7 ","2005","Part Time","no migration background","761","0.172919169411168","0.161244697624667","0.184593641197669"
"3 on scale 1-7 ","2005","Part Time","direct migration background","92","0.173906701844769","0.142401417468977","0.205411986220562"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","32","0.132106131384971","0.0872604289296351","0.176951833840306"
"3 on scale 1-7 ","2005","Not Working","no migration background","1171","0.171802548672161","0.162677977316728","0.180927120027594"
"3 on scale 1-7 ","2005","Not Working","direct migration background","144","0.140158787390416","0.118599335468268","0.161718239312565"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","70","0.274123379077024","0.221967967872877","0.326278790281172"
"4 on scale 1-7","2005","Full Time","no migration background","1405","0.202962579874857","0.193453163607993","0.212471996141721"
"4 on scale 1-7","2005","Full Time","direct migration background","149","0.187999197234426","0.161025728663361","0.21497266580549"
"4 on scale 1-7","2005","Full Time","indirect migration background","58","0.185316664573971","0.143266972191883","0.227366356956059"
"4 on scale 1-7","2005","Part Time","no migration background","821","0.200862577087855","0.188494506889164","0.213230647286545"
"4 on scale 1-7","2005","Part Time","direct migration background","96","0.174224188728126","0.142696219400898","0.205752158055355"
"4 on scale 1-7","2005","Part Time","indirect migration background","41","0.210886666974466","0.156858493485548","0.264914840463384"
"4 on scale 1-7","2005","Not Working","no migration background","1154","0.172255994441354","0.163121891116618","0.181390097766091"
"4 on scale 1-7","2005","Not Working","direct migration background","173","0.168804711115194","0.145541897565983","0.192067524664405"
"4 on scale 1-7","2005","Not Working","indirect migration background","53","0.147153221350925","0.105732722539654","0.188573720162197"
"5 on scale 1-7","2005","Full Time","no migration background","823","0.11436388595754","0.106839368981548","0.121888402933533"
"5 on scale 1-7","2005","Full Time","direct migration background","85","0.109883887232515","0.0882929791402855","0.131474795324744"
"5 on scale 1-7","2005","Full Time","indirect migration background","46","0.159514165734061","0.119888552466477","0.199139779001645"
"5 on scale 1-7","2005","Part Time","no migration background","479","0.115959379648937","0.10607542500229","0.125843334295585"
"5 on scale 1-7","2005","Part Time","direct migration background","52","0.110550429466795","0.0844857986953874","0.136615060238203"
"5 on scale 1-7","2005","Part Time","indirect migration background","30","0.115343749864559","0.0730369338455403","0.157650565883578"
"5 on scale 1-7","2005","Not Working","no migration background","679","0.0987801808663165","0.0915627771103279","0.105997584622305"
"5 on scale 1-7","2005","Not Working","direct migration background","89","0.104101809570297","0.0851357595814842","0.123067859559109"
"5 on scale 1-7","2005","Not Working","indirect migration background","32","0.102377019450953","0.0669329847401667","0.13782105416174"
"6 on scale 1-7","2005","Full Time","no migration background","433","0.0679726680399367","0.0620216947870373","0.073923641292836"
"6 on scale 1-7","2005","Full Time","direct migration background","40","0.0354682226359133","0.0226991736433269","0.0482372716284998"
"6 on scale 1-7","2005","Full Time","indirect migration background","20","","",""
"6 on scale 1-7","2005","Part Time","no migration background","213","0.0557990813915846","0.0487133052793684","0.0628848575038008"
"6 on scale 1-7","2005","Part Time","direct migration background","17","","",""
"6 on scale 1-7","2005","Part Time","indirect migration background","11","","",""
"6 on scale 1-7","2005","Not Working","no migration background","378","0.0534838204041806","0.0480412261633904","0.0589264146449708"
"6 on scale 1-7","2005","Not Working","direct migration background","43","0.0462813037185594","0.0332336818443936","0.0593289255927252"
"6 on scale 1-7","2005","Not Working","indirect migration background","16","","",""
"7 Strongly agree","2005","Full Time","no migration background","385","0.0682756783962942","0.0623124252796557","0.0742389315129326"
"7 Strongly agree","2005","Full Time","direct migration background","46","0.0582467855715688","0.0420777131094272","0.0744158580337103"
"7 Strongly agree","2005","Full Time","indirect migration background","23","","",""
"7 Strongly agree","2005","Part Time","no migration background","205","0.0559371242709162","0.0488431073570318","0.0630311411848005"
"7 Strongly agree","2005","Part Time","direct migration background","33","0.0607479372378917","0.0408930446570733","0.0806028298187101"
"7 Strongly agree","2005","Part Time","indirect migration background","17","","",""
"7 Strongly agree","2005","Not Working","no migration background","364","0.0565092455929306","0.0509237809770409","0.0620947102088203"
"7 Strongly agree","2005","Not Working","direct migration background","62","0.0602211927526256","0.0454469264824213","0.07499545902283"
"7 Strongly agree","2005","Not Working","indirect migration background","26","","",""
"1 Strongly disagree","2006","Full Time","no migration background","","","",""
"1 Strongly disagree","2006","Full Time","direct migration background","","","",""
"1 Strongly disagree","2006","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2006","Part Time","no migration background","","","",""
"1 Strongly disagree","2006","Part Time","direct migration background","","","",""
"1 Strongly disagree","2006","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2006","Not Working","no migration background","","","",""
"1 Strongly disagree","2006","Not Working","direct migration background","","","",""
"1 Strongly disagree","2006","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2006","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2006","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2006","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","direct migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","no migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","direct migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","no migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","direct migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","indirect migration background","","","",""
"4 on scale 1-7","2006","Full Time","no migration background","","","",""
"4 on scale 1-7","2006","Full Time","direct migration background","","","",""
"4 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"4 on scale 1-7","2006","Part Time","no migration background","","","",""
"4 on scale 1-7","2006","Part Time","direct migration background","","","",""
"4 on scale 1-7","2006","Part Time","indirect migration background","","","",""
"4 on scale 1-7","2006","Not Working","no migration background","","","",""
"4 on scale 1-7","2006","Not Working","direct migration background","","","",""
"4 on scale 1-7","2006","Not Working","indirect migration background","","","",""
"5 on scale 1-7","2006","Full Time","no migration background","","","",""
"5 on scale 1-7","2006","Full Time","direct migration background","","","",""
"5 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"5 on scale 1-7","2006","Part Time","no migration background","","","",""
"5 on scale 1-7","2006","Part Time","direct migration background","","","",""
"5 on scale 1-7","2006","Part Time","indirect migration background","","","",""
"5 on scale 1-7","2006","Not Working","no migration background","","","",""
"5 on scale 1-7","2006","Not Working","direct migration background","","","",""
"5 on scale 1-7","2006","Not Working","indirect migration background","","","",""
"6 on scale 1-7","2006","Full Time","no migration background","","","",""
"6 on scale 1-7","2006","Full Time","direct migration background","","","",""
"6 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"6 on scale 1-7","2006","Part Time","no migration background","","","",""
