"plh0206i02","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","528","0.147290512597397","0.13563257171122","0.158948453483573","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","195","0.12719544247121","0.11163353993831","0.14275734500411","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","1591","0.20970887961959","0.2006569838864","0.21876077535278","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","698","0.197467167653082","0.184818359273919","0.210115976032246","1"
"1 Strongly disagree","2005","66 and older","Urban Area","742","0.319644372380589","0.301389767121972","0.337898977639207","1"
"1 Strongly disagree","2005","66 and older","Rural Area","364","0.327558941536162","0.30165520651837","0.353462676553955","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","1620","0.194667311211163","0.185863478924885","0.20347114349744","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","706","0.19140606071891","0.178464787744403","0.204347333693417","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","258","0.194356433815676","0.172515988951068","0.216196878680283","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","306","0.165544350954467","0.148185250142885","0.182903451766049","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","779","0.192662491904377","0.180131169258602","0.205193814550153","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","491","0.194328025866501","0.178839225872868","0.209816825860134","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","434","0.161240684209445","0.146845178748701","0.17563618967019","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","696","0.204492590583019","0.191224915804944","0.217760265361094","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","690","0.164629567721615","0.152846341133727","0.176412794309504","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","1411","0.181609052598227","0.173036962315876","0.190181142880578","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","346","0.184864459212052","0.166733948406376","0.202994970017729","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","202","0.158262026208425","0.138117021712561","0.178407030704289","3"
"4 on scale 1-7","2005","66 and older","Rural Area","196","0.147478286232828","0.127907543249671","0.167049029215986","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","425","0.257722859167636","0.237294761455155","0.278150956880117","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1472","0.182973284219485","0.174376232248644","0.191570336190326","4"
"4 on scale 1-7","2005","66 and older","Urban Area","402","0.159337933790853","0.145011396318277","0.17366447126343","4"
"4 on scale 1-7","2005","16-34 y.","Urban Area","706","0.193867435068573","0.180863057225171","0.206871812911974","4"
"4 on scale 1-7","2005","35-65 y.","Rural Area","749","0.201551083201804","0.188804702172541","0.214297464231068","4"
"5 on scale 1-7","2005","66 and older","Rural Area","111","0.072196327146502","0.0579114620435164","0.0864811922494875","5"
"5 on scale 1-7","2005","35-65 y.","Rural Area","435","0.114167665909441","0.104063090115107","0.124272241703775","5"
"5 on scale 1-7","2005","66 and older","Urban Area","194","0.0723735544525797","0.0622309979454322","0.0825161109597272","5"
"5 on scale 1-7","2005","16-34 y.","Urban Area","483","0.136298957169341","0.125012389156191","0.147585525182492","5"
"5 on scale 1-7","2005","16-34 y.","Rural Area","248","0.12901512548947","0.113358648855798","0.144671602123143","5"
"5 on scale 1-7","2005","35-65 y.","Urban Area","844","0.111453807567273","0.104456595417053","0.118451019717493","5"
"6 on scale 1-7","2005","66 and older","Rural Area","67","0.0531428578117427","0.0407618718801106","0.0655238437433747","6"
"6 on scale 1-7","2005","35-65 y.","Urban Area","412","0.055066228239956","0.0499942085328305","0.0601382479470816","6"
"6 on scale 1-7","2005","66 and older","Urban Area","117","0.0438281434149621","0.0358147689191145","0.0518415179108096","6"
"6 on scale 1-7","2005","16-34 y.","Urban Area","215","0.06130291542917","0.0534118214882942","0.0691940093700458","6"
"6 on scale 1-7","2005","35-65 y.","Rural Area","231","0.0653008316517787","0.0574508969388107","0.0731507663647467","6"
"6 on scale 1-7","2005","16-34 y.","Rural Area","129","0.0623136089994069","0.0510237459973334","0.0736034720014804","6"
"7 Strongly agree","2005","66 and older","Rural Area","63","0.0470051272486642","0.0353233627661595","0.0586868917311689","7"
"7 Strongly agree","2005","66 and older","Urban Area","127","0.0492472858850695","0.0407770430514646","0.0577175287186745","7"
"7 Strongly agree","2005","35-65 y.","Urban Area","420","0.0645214365443067","0.0590587470455217","0.0699841260430917","7"
"7 Strongly agree","2005","35-65 y.","Rural Area","223","0.0642211919579011","0.0564319257919602","0.0720104581238421","7"
"7 Strongly agree","2005","16-34 y.","Urban Area","216","0.0653415284335901","0.0572121932147936","0.0734708636523866","7"
"7 Strongly agree","2005","16-34 y.","Rural Area","112","0.0733441537057575","0.0611679922292334","0.0855203151822817","7"
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Rural Area","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Urban Area","","","","","4"
"5 on scale 1-7","2006","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2006","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Rural Area","","","","","5"
"6 on scale 1-7","2006","66 and older","Rural Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Urban Area","","","","","6"
"6 on scale 1-7","2006","66 and older","Urban Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Rural Area","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Rural Area","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Urban Area","","","","","6"
"7 Strongly agree","2006","66 and older","Rural Area","","","","","7"
"7 Strongly agree","2006","35-65 y.","Urban Area","","","","","7"
"7 Strongly agree","2006","35-65 y.","Rural Area","","","","","7"
"7 Strongly agree","2006","66 and older","Urban Area","","","","","7"
"7 Strongly agree","2006","16-34 y.","Urban Area","","","","","7"
"7 Strongly agree","2006","16-34 y.","Rural Area","","","","","7"
"1 Strongly disagree","2007","16-34 y.","Urban Area","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2007","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2007","66 and older","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Urban Area","","","","","3"
"4 on scale 1-7","2007","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2007","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2007","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Urban Area","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Rural Area","","","","","4"
"5 on scale 1-7","2007","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2007","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Urban Area","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Rural Area","","","","","5"
"6 on scale 1-7","2007","66 and older","Rural Area","","","","","6"
"6 on scale 1-7","2007","66 and older","Urban Area","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Rural Area","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Urban Area","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Urban Area","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Rural Area","","","","","6"
"7 Strongly agree","2007","66 and older","Rural Area","","","","","7"
"7 Strongly agree","2007","16-34 y.","Urban Area","","","","","7"
"7 Strongly agree","2007","16-34 y.","Rural Area","","","","","7"
"7 Strongly agree","2007","35-65 y.","Urban Area","","","","","7"
