"plh0206i02","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","West Germany","1004","0.165400986222742","0.156054982373587","0.174746990071898","1"
"1 Strongly disagree","2005","Full Time","East Germany","307","0.157264197639109","0.141043547377859","0.17348484790036","1"
"1 Strongly disagree","2005","Part Time","West Germany","758","0.223246256577032","0.210002707631504","0.236489805522561","1"
"1 Strongly disagree","2005","Part Time","East Germany","143","0.13149076012503","0.110628917517872","0.152352602732188","1"
"1 Strongly disagree","2005","Not Working","West Germany","1454","0.273246111386507","0.261714862570245","0.284777360202768","1"
"1 Strongly disagree","2005","Not Working","East Germany","452","0.235613470418835","0.217484271610047","0.253742669227622","1"
"2 on scale 1-7 ","2005","Part Time","West Germany","811","0.197110933112324","0.184459091691605","0.209762774533044","2"
"2 on scale 1-7 ","2005","Full Time","West Germany","1271","0.199376840753687","0.189326763412828","0.209426918094546","2"
"2 on scale 1-7 ","2005","Not Working","East Germany","435","0.201479017806018","0.184344175197126","0.218613860414911","2"
"2 on scale 1-7 ","2005","Full Time","East Germany","402","0.189551090775459","0.172087498980461","0.207014682570458","2"
"2 on scale 1-7 ","2005","Part Time","East Germany","194","0.202718796362402","0.177900578240137","0.227537014484667","2"
"2 on scale 1-7 ","2005","Not Working","West Germany","1047","0.176525692777939","0.16665983943976","0.186391546116118","2"
"3 on scale 1-7 ","2005","Not Working","West Germany","1028","0.171178964595936","0.161432182741533","0.18092574645034","3"
"3 on scale 1-7 ","2005","Full Time","West Germany","1151","0.191939908590387","0.182033358368742","0.201846458812031","3"
"3 on scale 1-7 ","2005","Part Time","East Germany","199","0.185535856478554","0.161538260552316","0.209533452404793","3"
"3 on scale 1-7 ","2005","Part Time","West Germany","686","0.168202256023427","0.156306408521624","0.180098103525231","3"
"3 on scale 1-7 ","2005","Full Time","East Germany","358","0.188980768496255","0.171537334428846","0.206424202563664","3"
"3 on scale 1-7 ","2005","Not Working","East Germany","357","0.168233828016199","0.152253733957257","0.184213922075142","3"
"4 on scale 1-7","2005","Not Working","East Germany","384","0.186992996766578","0.170336569408965","0.203649424124191","4"
"4 on scale 1-7","2005","Full Time","East Germany","411","0.211735018305634","0.193532139877337","0.229937896733931","4"
"4 on scale 1-7","2005","Part Time","West Germany","737","0.190559081271001","0.178068633334217","0.203049529207785","4"
"4 on scale 1-7","2005","Not Working","West Germany","996","0.166767875941681","0.1571219290304","0.176413822852963","4"
"4 on scale 1-7","2005","Full Time","West Germany","1201","0.198130834159702","0.188104417101402","0.208157251218002","4"
"4 on scale 1-7","2005","Part Time","East Germany","221","0.233058435691079","0.206958984456194","0.259157886925964","4"
"5 on scale 1-7","2005","Not Working","East Germany","229","0.0940492186251009","0.0815796353830923","0.10651880186711","5"
"5 on scale 1-7","2005","Part Time","East Germany","126","0.120206451003751","0.100130686196991","0.14028221581051","5"
"5 on scale 1-7","2005","Not Working","West Germany","571","0.101096707139657","0.0932960595738018","0.108897354705511","5"
"5 on scale 1-7","2005","Full Time","West Germany","726","0.115965876519457","0.107911765781437","0.124019987257478","5"
"5 on scale 1-7","2005","Full Time","East Germany","228","0.114183708552202","0.100013328112328","0.128354088992075","5"
"5 on scale 1-7","2005","Part Time","West Germany","435","0.114155033720147","0.104041637901946","0.124268429538348","5"
"6 on scale 1-7","2005","Not Working","East Germany","140","0.0622266480176925","0.0519071353528797","0.0725461606825054","6"
"6 on scale 1-7","2005","Part Time","West Germany","176","0.0496383956648484","0.0427308475283873","0.0565459438013095","6"
"6 on scale 1-7","2005","Not Working","West Germany","297","0.0497918276354745","0.0441633093605398","0.0554203459104092","6"
"6 on scale 1-7","2005","Full Time","West Germany","372","0.0648803835397271","0.0586844284298887","0.0710763386495655","6"
"6 on scale 1-7","2005","Part Time","East Germany","65","0.0659533633825214","0.0506311826981658","0.0812755440668769","6"
