"plh0206i02","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","61","0.137053657851947","0.105243770428821","0.168863545275072"
"1 Strongly disagree","2005","in school","Rural Area","28","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","52","0.261062004559226","0.196357086568664","0.325766922549788"
"1 Strongly disagree","2005","inadequately","Rural Area","17","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","413","0.251107587626936","0.230068463933307","0.272146711320565"
"1 Strongly disagree","2005","general elemantary","Rural Area","157","0.247915786783391","0.217216617581261","0.278614955985521"
"1 Strongly disagree","2005","middle vocational","Urban Area","1365","0.217682960521475","0.207672325432835","0.227693595610115"
"1 Strongly disagree","2005","middle vocational","Rural Area","663","0.200759625106254","0.187857889716135","0.213661360496373"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","160","0.197738964760572","0.171242239277334","0.224235690243809"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","40","0.210991193212484","0.161680250395074","0.260302136029893"
"1 Strongly disagree","2005","higher vocational","Urban Area","204","0.20751438892428","0.182392583185326","0.232636194663235"
"1 Strongly disagree","2005","higher vocational","Rural Area","108","0.222927099588784","0.18833132889431","0.257522870283259"
"1 Strongly disagree","2005","higher education","Urban Area","574","0.221390383799446","0.206446103651159","0.236334663947732"
"1 Strongly disagree","2005","higher education","Rural Area","233","0.188817987440164","0.166647162443419","0.21098881243691"
"2 on scale 1-7 ","2005","in school","Urban Area","82","0.162568369613597","0.128439836208347","0.196696903018848"
"2 on scale 1-7 ","2005","in school","Rural Area","35","0.152844046629061","0.102848939872683","0.202839153385438"
"2 on scale 1-7 ","2005","inadequately","Urban Area","25","","",""
"2 on scale 1-7 ","2005","inadequately","Rural Area","6","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","259","0.158444646797855","0.140728545998238","0.176160747597471"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","132","0.150545755825485","0.125121658148772","0.175969853502198"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","1317","0.193918160932839","0.184327316903309","0.203509004962369"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","689","0.179872579574053","0.167501876505947","0.192243282642158"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","200","0.22457178518839","0.196810688179449","0.25233288219733"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","63","0.199123759838772","0.150860743211471","0.247386776466073"
"2 on scale 1-7 ","2005","higher vocational","Urban Area","226","0.212417556144132","0.187079443087859","0.237755669200404"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","98","0.172790863198656","0.141365613029705","0.204216113367607"
"2 on scale 1-7 ","2005","higher education","Urban Area","674","0.216765528531232","0.201934312929342","0.231596744133122"
"2 on scale 1-7 ","2005","higher education","Rural Area","310","0.273420263454548","0.248170459796713","0.298670067112383"
"3 on scale 1-7 ","2005","in school","Urban Area","94","0.232364468356645","0.193299514597326","0.271429422115965"
"3 on scale 1-7 ","2005","in school","Rural Area","43","0.190901721552592","0.136297387633842","0.245506055471342"
"3 on scale 1-7 ","2005","inadequately","Urban Area","39","0.220271792702773","0.159218017437467","0.281325567968079"
"3 on scale 1-7 ","2005","inadequately","Rural Area","12","","",""
"3 on scale 1-7 ","2005","general elemantary","Urban Area","269","0.162314808261593","0.144424925089632","0.180204691433554"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","122","0.164924919205796","0.138540520752745","0.191309317658847"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","1159","0.177816064428305","0.168540763504919","0.187091365351692"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","643","0.158653689640768","0.146886202822424","0.170421176459112"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","156","0.19647954193084","0.17004660825727","0.222912475604411"
