"plh0206i02","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","346","0.285730175331278","0.260503969063689","0.310956381598866"
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","721","0.259503016883095","0.243790514767125","0.275215518999064"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","77","0.222358178097963","0.178351621339799","0.266364734856128"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","138","0.143510384437871","0.12098999142351","0.166030777452232"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","193","0.193631120361555","0.168738829279837","0.218523411443274"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","58","0.133464369119862","0.0997129786768236","0.167215759562901"
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","166","0.225771198158082","0.196240639773572","0.255301756542592"
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","326","0.188405371170931","0.170310600070414","0.206500142271448"
"1 Strongly disagree","2005","secondary school degree","Single parent ","65","0.187498773123871","0.146431621516098","0.228565924731644"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","231","0.161219819091323","0.141683068905659","0.180756569276987"
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","166","0.155502115683294","0.1341933400992","0.176810891267387"
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","95","0.202080302364342","0.166777313043988","0.237383291684696"
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","155","0.223066812751471","0.193888912718864","0.252244712784077"
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","334","0.19701000216856","0.17830544685984","0.21571455747728"
"1 Strongly disagree","2005","college entrance qualification","Single parent ","39","0.215114514559465","0.156378135116301","0.273850894002628"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","194","0.177113792176585","0.155001109676998","0.199226474676172"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","112","0.147724404204721","0.124529937304909","0.170918871104533"
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","63","0.234716801947559","0.1889201930633","0.280513410831817"
"1 Strongly disagree","2005","Other degree","1-pers.-HH","35","0.367275343425752","0.270844549886383","0.46370613696512"
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","116","0.335253277641951","0.285511115343288","0.384995439940614"
"1 Strongly disagree","2005","Other degree","Single parent ","19","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","50","0.265997797454828","0.206518221674278","0.325477373235378"
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","53","0.252474623381793","0.194805721604721","0.310143525158865"
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","38","0.246973704762805","0.169163328305866","0.324784081219744"
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","11","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","27","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","19","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE 16 ","9","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. GT 16 ","48","0.17247855334616","0.129939878547337","0.215017228144984"
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE and GT 16","41","0.166662445054114","0.123319514452273","0.210005375655955"
"2 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","219","0.167737626276716","0.1468740807472","0.188601171806232"
"2 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","548","0.173657771970986","0.160079653844505","0.187235890097467"
"2 on scale 1-7 ","2005","lower secondary degree","Single parent ","48","0.13972864310788","0.103037479635662","0.176419806580098"
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","183","0.194044166743016","0.168641508358214","0.219446825127817"
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","165","0.150798680838939","0.128255535363028","0.17334182631485"
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","64","0.147950106777623","0.112712537545226","0.18318767601002"
"2 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","173","0.21029983730677","0.181515693846665","0.239083980766874"
"2 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","368","0.229344190870934","0.209890098573667","0.248798283168202"
"2 on scale 1-7 ","2005","secondary school degree","Single parent ","74","0.189280839191218","0.148064264323072","0.230497414059364"
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","266","0.185375665568745","0.16473022858358","0.206021102553909"
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","218","0.17138625977814","0.149227006197072","0.193545513359209"
