"plh0206i02","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","(0) in school","81","0.152440862404698","0.122373341435841","0.182508383373554"
"1 Strongly disagree","2005","Not Employed","(1a) inadequately completed","57","0.403348167560158","0.325868408037067","0.480827927083249"
"1 Strongly disagree","2005","Not Employed","(1b) general elementary school","324","0.301953205897504","0.275476180634328","0.328430231160679"
"1 Strongly disagree","2005","Not Employed","(1c) basic vocational qualification","732","0.279698231159093","0.263075834670864","0.296320627647323"
"1 Strongly disagree","2005","Not Employed","(2b) intermediate general qualification","44","0.235834352443199","0.178142602579967","0.293526102306431"
"1 Strongly disagree","2005","Not Employed","(2a) intermediate vocational","266","0.264295093506407","0.238618966651926","0.289971220360888"
"1 Strongly disagree","2005","Not Employed","(2c_gen) general maturity certificate","47","0.157033971837226","0.117045355693206","0.197022587981245"
"1 Strongly disagree","2005","Not Employed","(2c_voc) vocational maturity certificate","96","0.26399519413731","0.21949972896235","0.308490659312269"
"1 Strongly disagree","2005","Not Employed","(3a) lower tertiary education","102","0.231162299254519","0.192720567699756","0.269604030809283"
"1 Strongly disagree","2005","Not Employed","(3b) higher tertiary education","140","0.267707212671268","0.230397502712104","0.305016922630432"
"1 Strongly disagree","2005","Employed","(0) in school","8","","",""
"1 Strongly disagree","2005","Employed","(1a) inadequately completed","20","","",""
"1 Strongly disagree","2005","Employed","(1b) general elementary school","156","0.218528365474708","0.187827261722585","0.249229469226831"
"1 Strongly disagree","2005","Employed","(1c) basic vocational qualification","544","0.193328256781162","0.178952852308988","0.207703661253337"
"1 Strongly disagree","2005","Employed","(2b) intermediate general qualification","55","0.143219917879071","0.107478539353496","0.178961296404645"
"1 Strongly disagree","2005","Employed","(2a) intermediate vocational","589","0.159912387257365","0.148033139103579","0.17179163541115"
"1 Strongly disagree","2005","Employed","(2c_gen) general maturity certificate","53","0.129188742306899","0.0991518714791131","0.159225613134684"
"1 Strongly disagree","2005","Employed","(2c_voc) vocational maturity certificate","185","0.17917904417567","0.156858263027306","0.201499825324034"
"1 Strongly disagree","2005","Employed","(3a) lower tertiary education","223","0.213069091563171","0.189764887454677","0.236373295671666"
"1 Strongly disagree","2005","Employed","(3b) higher tertiary education","342","0.188790043209112","0.171522095390669","0.206057991027554"
"2 on scale 1-7 ","2005","Not Employed","(0) in school","98","0.14441273702936","0.115009386340111","0.173816087718609"
"2 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","14","","",""
"2 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","206","0.177958402125789","0.15590054877268","0.200016255478898"
"2 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","512","0.174556216333516","0.160498882873467","0.188613549793564"
"2 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","40","0.169347358768867","0.118377273224017","0.220317444313717"
"2 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","225","0.195362342892403","0.172276074493708","0.218448611291099"
"2 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","73","0.241032696207078","0.194023368104826","0.28804202430933"
"2 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","83","0.215948508524834","0.174412494922439","0.257484522127228"
"2 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","95","0.203915763008652","0.167176366774671","0.240655159242633"
"2 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","121","0.220463642822336","0.185530622567103","0.25539666307757"
"2 on scale 1-7 ","2005","Employed","(0) in school","19","","",""
"2 on scale 1-7 ","2005","Employed","(1a) inadequately completed","21","","",""
"2 on scale 1-7 ","2005","Employed","(1b) general elementary school","89","0.115618861944416","0.0918626302636249","0.139375093625207"
"2 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","540","0.175636846932964","0.161785529404902","0.189488164461027"
"2 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","60","0.152776983445453","0.116068812442302","0.189485154448604"
"2 on scale 1-7 ","2005","Employed","(2a) intermediate vocational","737","0.20116445995015","0.188172043645645","0.214156876254654"
"2 on scale 1-7 ","2005","Employed","(2c_gen) general maturity certificate","125","0.244577996153743","0.206084811686914","0.283071180620572"
"2 on scale 1-7 ","2005","Employed","(2c_voc) vocational maturity certificate","276","0.231848014248249","0.207285838596348","0.25641018990015"
"2 on scale 1-7 ","2005","Employed","(3a) lower tertiary education","289","0.241155203787538","0.216809039653639","0.265501367921438"
"2 on scale 1-7 ","2005","Employed","(3b) higher tertiary education","479","0.237499343005917","0.218721925365804","0.256276760646029"
"3 on scale 1-7 ","2005","Not Employed","(0) in school","116","0.225247292379822","0.190303240639585","0.260191344120059"
"3 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","28","","",""
"3 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","184","0.153743147395889","0.132941099982084","0.174545194809695"
"3 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","467","0.160772721228408","0.147169633028946","0.17437580942787"
"3 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","43","0.219354086280385","0.163117838798226","0.275590333762544"
"3 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","200","0.171022805720648","0.149098217716342","0.192947393724953"
"3 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","60","0.175654526664362","0.133831175075073","0.217477878253651"
"3 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","60","0.169422553179618","0.131556233749597","0.207288872609638"
"3 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","91","0.197482480879779","0.16118147565533","0.233783486104228"
"3 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","105","0.172402217542378","0.140572664407818","0.204231770676937"
"3 on scale 1-7 ","2005","Employed","(0) in school","24","","",""
"3 on scale 1-7 ","2005","Employed","(1a) inadequately completed","22","","",""
"3 on scale 1-7 ","2005","Employed","(1b) general elementary school","113","0.16351532314893","0.136039437857682","0.190991208440178"
"3 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","511","0.177607464238615","0.163695316845816","0.191519611631414"
"3 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","57","0.167804400052701","0.129675938016677","0.205932862088725"
