"plh0206i02","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","177","0.173834734378701","0.151020972535566","0.196648496221837"
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","393","0.165766579680321","0.150741063246514","0.180792096114128"
"1 Strongly disagree","2005","Full Time","Single parent ","70","0.194610188818685","0.153133896999944","0.236086480637425"
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","268","0.143198384028498","0.127163122203033","0.159233645853963"
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","261","0.169443179153574","0.150957237768883","0.187929120538265"
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","103","0.156126018851706","0.128178900817231","0.18407313688618"
"1 Strongly disagree","2005","Part Time","1-pers.-HH","91","0.221790616038977","0.184151017746697","0.259430214331256"
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","243","0.242685013233119","0.218151551109211","0.267218475357026"
"1 Strongly disagree","2005","Part Time","Single parent ","70","0.203772219036827","0.161988688473433","0.245555749600221"
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","215","0.187143545427904","0.165103644746061","0.209183446109747"
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","155","0.17272638056225","0.149071676918863","0.196381084205637"
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","111","0.218608274016605","0.182667788746029","0.254548759287181"
"1 Strongly disagree","2005","Not Working","1-pers.-HH","453","0.328248618612946","0.303876456067483","0.35262078115841"
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","903","0.27886557331013","0.263977028041196","0.293754118579063"
"1 Strongly disagree","2005","Not Working","Single parent ","85","0.208179662534636","0.167781212357468","0.248578112711805"
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","140","0.205208818086152","0.174606130997044","0.235811505175261"
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","170","0.179633658905855","0.156664451744597","0.202602866067114"
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","91","0.166748708843595","0.135396552672978","0.198100865014212"
