"plh0206i02","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Schleswig-Holstein","Full Time","59","0.219598068871886","0.166556838658468","0.272639299085304","1"
"1 Strongly disagree","2005","Schleswig-Holstein","Part Time","43","0.264147099981556","0.194288351336004","0.334005848627109","1"
"1 Strongly disagree","2005","Schleswig-Holstein","Not Working","61","0.262307025245014","0.206065518809472","0.318548531680556","1"
"1 Strongly disagree","2005","Hamburg","Full Time","22","","","","1"
"1 Strongly disagree","2005","Hamburg","Part Time","16","","","","1"
"1 Strongly disagree","2005","Hamburg","Not Working","30","0.222997863974178","0.14590742164223","0.300088306306126","1"
"1 Strongly disagree","2005","Lower Saxony","Full Time","118","0.204444123490572","0.173101005821659","0.235787241159485","1"
"1 Strongly disagree","2005","Lower Saxony","Part Time","103","0.253184016783424","0.213618754813806","0.292749278753043","1"
"1 Strongly disagree","2005","Lower Saxony","Not Working","188","0.301249553779749","0.26679086161582","0.335708245943678","1"
"1 Strongly disagree","2005","Bremen","Full Time","12","","","","1"
"1 Strongly disagree","2005","Bremen","Part Time","8","","","","1"
"1 Strongly disagree","2005","Bremen","Not Working","19","","","","1"
"1 Strongly disagree","2005","North Rhine-Westphalia","Full Time","259","0.16728588691587","0.149178089460176","0.185393684371565","1"
"1 Strongly disagree","2005","North Rhine-Westphalia","Part Time","183","0.227266021832411","0.201485166049352","0.253046877615471","1"
"1 Strongly disagree","2005","North Rhine-Westphalia","Not Working","406","0.258668598981335","0.237797066372757","0.279540131589913","1"
"1 Strongly disagree","2005","Hesse","Full Time","92","0.157360144366337","0.127440231193325","0.18728005753935","1"
"1 Strongly disagree","2005","Hesse","Part Time","69","0.223591425938216","0.179626000737791","0.267556851138641","1"
"1 Strongly disagree","2005","Hesse","Not Working","113","0.266299264536499","0.22550451408758","0.307094014985419","1"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Full Time","78","0.134828766966989","0.103202247439646","0.166455286494332","1"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Part Time","69","0.236936802052842","0.188901407903138","0.284972196202547","1"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Not Working","134","0.303671090503243","0.26266168597243","0.344680495034057","1"
"1 Strongly disagree","2005","Baden-Württemberg","Full Time","152","0.161382080364522","0.138991340892572","0.183772819836472","1"
"1 Strongly disagree","2005","Baden-Württemberg","Part Time","119","0.209672917087394","0.176486621828282","0.242859212346506","1"
"1 Strongly disagree","2005","Baden-Württemberg","Not Working","226","0.236707231096368","0.20905969056352","0.264354771629216","1"
"1 Strongly disagree","2005","Bavaria","Full Time","193","0.142152064222466","0.122402463137965","0.161901665306966","1"
"1 Strongly disagree","2005","Bavaria","Part Time","126","0.169564587523823","0.142380606416419","0.196748568631228","1"
"1 Strongly disagree","2005","Bavaria","Not Working","251","0.328181664169522","0.298478989575558","0.357884338763485","1"
"1 Strongly disagree","2005","Berlin","Full Time","34","0.109021600995579","0.0735762132470793","0.144466988744079","1"
"1 Strongly disagree","2005","Berlin","Part Time","34","0.222860382961888","0.161024662158748","0.284696103765027","1"
"1 Strongly disagree","2005","Berlin","Not Working","60","0.205317094955923","0.158503222755113","0.252130967156734","1"
"1 Strongly disagree","2005","Brandenburg","Full Time","63","0.200754152195383","0.156658992219333","0.244849312171434","1"
"1 Strongly disagree","2005","Brandenburg","Part Time","27","","","","1"
"1 Strongly disagree","2005","Brandenburg","Not Working","66","0.174314980540844","0.13641907538912","0.212210885692568","1"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","Full Time","27","","","","1"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","Part Time","12","","","","1"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","Not Working","34","0.183857707398927","0.131340840336832","0.236374574461022","1"
"1 Strongly disagree","2005","Saxony","Full Time","115","0.177411703261906","0.14765199757383","0.207171408949982","1"
"1 Strongly disagree","2005","Saxony","Part Time","36","0.105405588241873","0.0694377791886022","0.141373397295144","1"
"1 Strongly disagree","2005","Saxony","Not Working","157","0.280397209882012","0.24489594749884","0.315898472265184","1"
"1 Strongly disagree","2005","Saxony-Anhalt","Full Time","51","0.15079729914381","0.111831996758333","0.189762601529287","1"
"1 Strongly disagree","2005","Saxony-Anhalt","Part Time","33","0.15974284913297","0.106661815913379","0.212823882352561","1"
"1 Strongly disagree","2005","Saxony-Anhalt","Not Working","95","0.237619233747732","0.195214008969348","0.280024458526116","1"
"1 Strongly disagree","2005","Thuringia","Full Time","36","0.137014698600265","0.0999705708395958","0.174058826360935","1"
"1 Strongly disagree","2005","Thuringia","Part Time","23","","","","1"
"1 Strongly disagree","2005","Thuringia","Not Working","66","0.230692836239451","0.188111321040472","0.27327435143843","1"
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Part Time","62","0.206633329138166","0.160892713503668","0.252373944772664","2"
"2 on scale 1-7 ","2005","Saxony-Anhalt","Full Time","67","0.199604717061556","0.156082275950352","0.243127158172761","2"
"2 on scale 1-7 ","2005","Saxony-Anhalt","Part Time","39","0.239858794085907","0.177993439443831","0.301724148727983","2"
"2 on scale 1-7 ","2005","Saxony-Anhalt","Not Working","72","0.187165248005587","0.148304930277688","0.226025565733486","2"
"2 on scale 1-7 ","2005","Saxony","Not Working","122","0.19833435474163","0.166820165162626","0.229848544320634","2"
"2 on scale 1-7 ","2005","Thuringia","Part Time","37","0.173454592591671","0.118744753219253","0.228164431964089","2"
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Not Working","97","0.196773027055611","0.161318111858185","0.232227942253038","2"
"2 on scale 1-7 ","2005","Baden-Württemberg","Full Time","239","0.209358830016819","0.184596354072525","0.234121305961114","2"
"2 on scale 1-7 ","2005","Baden-Württemberg","Part Time","148","0.257639704782427","0.221986552336468","0.293292857228387","2"
"2 on scale 1-7 ","2005","Thuringia","Full Time","61","0.176445565481408","0.135379260975457","0.21751186998736","2"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","Part Time","225","0.205760861274804","0.180891072499684","0.230630650049923","2"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","Not Working","298","0.174499977954244","0.15641022982556","0.192589726082929","2"
