"plh0206i02","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","in school","89","0.146990190643456","0.119726680034343","0.17425370125257"
"1 Strongly disagree","2005","(0) in school","inadequately","","","",""
"1 Strongly disagree","2005","(0) in school","general elemantary","","","",""
"1 Strongly disagree","2005","(0) in school","middle vocational","","","",""
"1 Strongly disagree","2005","(0) in school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(0) in school","higher vocational","","","",""
"1 Strongly disagree","2005","(0) in school","higher education","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","in school","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","inadequately","60","0.277748889992832","0.215204947622597","0.340292832363067"
"1 Strongly disagree","2005","(1a) inadequately completed","general elemantary","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","middle vocational","15","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher vocational","2","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher education","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","in school","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","inadequately","9","","",""
"1 Strongly disagree","2005","(1b) general elementary school","general elemantary","471","0.269979057453042","0.24955497879748","0.290403136108604"
"1 Strongly disagree","2005","(1b) general elementary school","middle vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher education","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","in school","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","inadequately","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","general elemantary","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","middle vocational","1172","0.235872977343751","0.224363815037549","0.247382139649953"
"1 Strongly disagree","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","higher vocational","104","0.23468878896067","0.196495880646795","0.272881697274545"
"1 Strongly disagree","2005","(1c) basic vocational qualification","higher education","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","in school","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","inadequately","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","general elemantary","99","0.174278873928321","0.143326122852377","0.205231625004266"
"1 Strongly disagree","2005","(2b) intermediate general qualification","middle vocational","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","higher vocational","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","higher education","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","in school","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","inadequately","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","general elemantary","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","middle vocational","731","0.185137237990308","0.173240983014661","0.197033492965956"
"1 Strongly disagree","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","higher vocational","124","0.19624125419393","0.166714636567235","0.225767871820625"
"1 Strongly disagree","2005","(2a) intermediate vocational","higher education","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","in school","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","middle vocational","100","0.139810027430899","0.115733975102778","0.163886079759021"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","higher education","","","",""
