"plh0206i02","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Male","781","0.148874406190102","0.139324341007033","0.158424471373172","1"
"1 Strongly disagree","2005","Full Time","Female","530","0.195971303559496","0.180911967688873","0.211030639430119","1"
"1 Strongly disagree","2005","Part Time","Male","179","0.145702426911182","0.127135166026143","0.164269687796222","1"
"1 Strongly disagree","2005","Part Time","Female","722","0.238533483826252","0.224247879350575","0.252819088301928","1"
"1 Strongly disagree","2005","Not Working","Male","621","0.215989630157595","0.201626024957411","0.230353235357779","1"
"1 Strongly disagree","2005","Not Working","Female","1285","0.297418284371914","0.284334293624042","0.310502275119786","1"
"2 on scale 1-7 ","2005","Part Time","Male","262","0.179926090096298","0.159710639343334","0.200141540849262","2"
"2 on scale 1-7 ","2005","Full Time","Male","1069","0.192979641118161","0.182392042166371","0.20356724006995","2"
"2 on scale 1-7 ","2005","Not Working","Female","956","0.196609062814555","0.185233491817397","0.207984633811712","2"
"2 on scale 1-7 ","2005","Full Time","Female","604","0.20761360021497","0.192226024236018","0.223001176193922","2"
"2 on scale 1-7 ","2005","Part Time","Female","743","0.206767642918128","0.193192636618523","0.220342649217733","2"
"2 on scale 1-7 ","2005","Not Working","Male","526","0.159091210211276","0.146324363484898","0.171858056937654","2"
"3 on scale 1-7 ","2005","Not Working","Male","587","0.179853558412343","0.166447801948434","0.193259314876253","3"
"3 on scale 1-7 ","2005","Full Time","Male","1044","0.198705114630228","0.187999781213532","0.209410448046924","3"
"3 on scale 1-7 ","2005","Part Time","Female","628","0.178390095520968","0.165557433900959","0.191222757140977","3"
"3 on scale 1-7 ","2005","Part Time","Male","257","0.155783429013127","0.136698197773201","0.174868660253054","3"
"3 on scale 1-7 ","2005","Full Time","Female","465","0.176037319812392","0.161588580722505","0.190486058902279","3"
"3 on scale 1-7 ","2005","Not Working","Female","798","0.164495525591701","0.153884449977565","0.175106601205837","3"
"4 on scale 1-7","2005","Not Working","Female","761","0.156847700476189","0.146438914780675","0.167256486171704","4"
"4 on scale 1-7","2005","Full Time","Female","509","0.202096021378636","0.186861528529009","0.217330514228263","4"
"4 on scale 1-7","2005","Part Time","Male","321","0.237719546575751","0.21531688084138","0.260122212310123","4"
"4 on scale 1-7","2005","Not Working","Male","619","0.192828492163775","0.179057836463922","0.206599147863627","4"
"4 on scale 1-7","2005","Full Time","Male","1103","0.19972122298566","0.188995359925928","0.210447086045392","4"
"4 on scale 1-7","2005","Part Time","Female","637","0.178046781442469","0.165223795844966","0.190869767039972","4"
"5 on scale 1-7","2005","Not Working","Female","444","0.0912384986768546","0.0829967000332736","0.0994802973204355","5"
"5 on scale 1-7","2005","Part Time","Female","381","0.106279589095261","0.0959490184441396","0.116610159746383","5"
"5 on scale 1-7","2005","Not Working","Male","356","0.112442777795504","0.101415963268091","0.123469592322917","5"
"5 on scale 1-7","2005","Full Time","Male","655","0.118246782407076","0.109583795017579","0.126909769796572","5"
"5 on scale 1-7","2005","Full Time","Female","299","0.110181659779314","0.0983026802015374","0.12206063935709","5"
"5 on scale 1-7","2005","Part Time","Male","180","0.133484786385575","0.115586401537943","0.151383171233206","5"
"6 on scale 1-7","2005","Not Working","Female","222","0.0437476914035583","0.0378934342817496","0.049601948525367","6"
"6 on scale 1-7","2005","Part Time","Male","81","0.0607485331173519","0.0481775657426829","0.0733195004920209","6"
"6 on scale 1-7","2005","Not Working","Male","215","0.0657300655985895","0.0570803002699501","0.0743798309272289","6"
"6 on scale 1-7","2005","Full Time","Male","355","0.07159929604143","0.0646822351893705","0.0785163568934895","6"
"6 on scale 1-7","2005","Part Time","Female","160","0.0482138002366902","0.0410333128365465","0.055394287636834","6"
"6 on scale 1-7","2005","Full Time","Female","138","0.0469056569504211","0.0388841796002058","0.0549271343006363","6"
"7 Strongly agree","2005","Not Working","Female","223","0.0496432366652282","0.0434262296977128","0.0558602436327437","7"
"7 Strongly agree","2005","Not Working","Male","229","0.0740642656609184","0.064923535495333","0.0832049958265037","7"
