"plh0206i02","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","2201","0.210478766629872","0.20291121935397","0.218046313905774"
"1 Strongly disagree","2005","no migration background","Rural Area","1131","0.201172536775166","0.191290054691389","0.211055018858943"
"1 Strongly disagree","2005","direct migration background","Urban Area","553","0.278277052753307","0.258416669713931","0.298137435792683"
"1 Strongly disagree","2005","direct migration background","Rural Area","110","0.301189453932782","0.256342322409231","0.346036585456333"
"1 Strongly disagree","2005","indirect migration background","Urban Area","107","0.146352779054456","0.120606260613772","0.17209929749514"
"1 Strongly disagree","2005","indirect migration background","Rural Area","16","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","2313","0.199142835798898","0.191729238930719","0.206556432667077"
"2 on scale 1-7 ","2005","no migration background","Rural Area","1253","0.18782492328905","0.17819646762433","0.197453378953769"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","359","0.167633698889213","0.151079751356683","0.184187646421742"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","75","0.176445740429475","0.139181972832324","0.213709508026625"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","145","0.19079143725316","0.162170194804865","0.219412679701455"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","15","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","2089","0.18477081501169","0.177565953504945","0.191975676518435"
"3 on scale 1-7 ","2005","no migration background","Rural Area","1142","0.166951420179011","0.157757824104009","0.176145016254013"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","305","0.166549673357485","0.150038595739927","0.183060750975042"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","71","0.163475095727452","0.127325761588916","0.199624429865988"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","147","0.206013382589618","0.176553357277749","0.235473407901487"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","25","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","2102","0.181557582063369","0.174401581757271","0.188713582369468"
"4 on scale 1-7","2005","no migration background","Rural Area","1278","0.20648857026426","0.196509736270893","0.216467404257627"
"4 on scale 1-7","2005","direct migration background","Urban Area","344","0.176825595854071","0.159917988256735","0.193733203451407"
"4 on scale 1-7","2005","direct migration background","Rural Area","74","0.175408127423865","0.138230690489963","0.212585564357768"
"4 on scale 1-7","2005","indirect migration background","Urban Area","134","0.17564682431575","0.147929224723174","0.203364423908325"
"4 on scale 1-7","2005","indirect migration background","Rural Area","18","","",""
"5 on scale 1-7","2005","no migration background","Urban Area","1237","0.108316807151488","0.102547518002196","0.114086096300779"
"5 on scale 1-7","2005","no migration background","Rural Area","744","0.108556970796624","0.100888110071619","0.116225831521628"
"5 on scale 1-7","2005","direct migration background","Urban Area","193","0.108381400938113","0.0946051639368714","0.122157637939355"
"5 on scale 1-7","2005","direct migration background","Rural Area","33","0.10409814787792","0.0742452302259161","0.133951065529924"
"5 on scale 1-7","2005","indirect migration background","Urban Area","91","0.125235784406965","0.101126266158145","0.149345302655785"
"5 on scale 1-7","2005","indirect migration background","Rural Area","17","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","624","0.0573782208495242","0.0530609294348916","0.0616955122641569"
"6 on scale 1-7","2005","no migration background","Rural Area","400","0.0634382645246289","0.0574293081964201","0.0694472208528377"
"6 on scale 1-7","2005","direct migration background","Urban Area","80","0.0367791842263116","0.0284380013768316","0.0451203670757916"
"6 on scale 1-7","2005","direct migration background","Rural Area","20","","",""
"6 on scale 1-7","2005","indirect migration background","Urban Area","40","0.0583028741395048","0.0412350007464583","0.0753707475325514"
"6 on scale 1-7","2005","indirect migration background","Rural Area","7","","",""
"7 Strongly agree","2005","no migration background","Urban Area","581","0.0583549724951589","0.054003345787798","0.0627065992025198"
"7 Strongly agree","2005","no migration background","Rural Area","373","0.0655673141712605","0.059465304332312","0.071669324010209"
"7 Strongly agree","2005","direct migration background","Urban Area","122","0.0655533939815003","0.0545851146489451","0.0765216733140555"
"7 Strongly agree","2005","direct migration background","Rural Area","19","","",""
"7 Strongly agree","2005","indirect migration background","Urban Area","60","0.097656918240547","0.0760339076030843","0.11927992887801"
"7 Strongly agree","2005","indirect migration background","Rural Area","6","","",""
"1 Strongly disagree","2006","no migration background","Urban Area","","","",""
"1 Strongly disagree","2006","no migration background","Rural Area","","","",""
