"plh0206i02","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","lower secondary degree","974","0.279440995985309","0.265084824287097","0.29379716768352"
"1 Strongly disagree","2005","Not Employed","secondary school degree","351","0.256165704055182","0.234228459548369","0.278102948561994"
"1 Strongly disagree","2005","Not Employed","college entrance qualification","266","0.234641729946142","0.211092705721038","0.258190754171247"
"1 Strongly disagree","2005","Not Employed","Other degree","159","0.332799536731798","0.290378776600688","0.375220296862908"
"1 Strongly disagree","2005","Not Employed","no degree/no degree yet","138","0.231164781532328","0.200023302827416","0.262306260237239"
"1 Strongly disagree","2005","Employed","lower secondary degree","610","0.188158471776505","0.174845775596993","0.201471167956018"
"1 Strongly disagree","2005","Employed","secondary school degree","718","0.15864278687725","0.147952965885957","0.169332607868542"
"1 Strongly disagree","2005","Employed","college entrance qualification","646","0.1808288965134","0.168811200671929","0.192846592354871"
"1 Strongly disagree","2005","Employed","Other degree","171","0.270698134675144","0.236328345297394","0.305067924052894"
"1 Strongly disagree","2005","Employed","no degree/no degree yet","28","","",""
"2 on scale 1-7 ","2005","Not Employed","lower secondary degree","690","0.176922154864891","0.164713428079575","0.189130881650207"
"2 on scale 1-7 ","2005","Not Employed","secondary school degree","303","0.194287271071895","0.174403636608833","0.214170905534956"
"2 on scale 1-7 ","2005","Not Employed","college entrance qualification","280","0.223053706983916","0.199920378593403","0.246187035374429"
"2 on scale 1-7 ","2005","Not Employed","Other degree","82","0.178758242829791","0.144265520648329","0.213250965011253"
"2 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","112","0.126683696539757","0.102113540816107","0.151253852263406"
"2 on scale 1-7 ","2005","Employed","lower secondary degree","579","0.161343738594597","0.1488141573786","0.173873319810594"
"2 on scale 1-7 ","2005","Employed","secondary school degree","926","0.202272017872323","0.190518567636472","0.214025468108174"
"2 on scale 1-7 ","2005","Employed","college entrance qualification","957","0.241351618314729","0.227990421677203","0.254712814952256"
"2 on scale 1-7 ","2005","Employed","Other degree","128","0.176587268255693","0.147090865136503","0.206083671374884"
"2 on scale 1-7 ","2005","Employed","no degree/no degree yet","40","0.212441619707024","0.154734338049085","0.270148901364962"
"3 on scale 1-7 ","2005","Not Employed","lower secondary degree","632","0.162565936365907","0.150761401073565","0.174370471658249"
"3 on scale 1-7 ","2005","Not Employed","secondary school degree","278","0.181549352936798","0.162177235868815","0.200921470004781"
"3 on scale 1-7 ","2005","Not Employed","college entrance qualification","238","0.184558098753857","0.163000471096308","0.206115726411407"
"3 on scale 1-7 ","2005","Not Employed","Other degree","61","0.114891486514879","0.0861836077510906","0.143599365278667"
"3 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","145","0.202003087654427","0.172345121118752","0.231661054190103"
"3 on scale 1-7 ","2005","Employed","lower secondary degree","574","0.17591181702399","0.162942925693243","0.188880708354737"
"3 on scale 1-7 ","2005","Employed","secondary school degree","796","0.174463285405671","0.163359008686035","0.185567562125308"
"3 on scale 1-7 ","2005","Employed","college entrance qualification","827","0.199479207127932","0.187001490881042","0.211956923374821"
"3 on scale 1-7 ","2005","Employed","Other degree","107","0.173546244806186","0.144250977434592","0.20284151217778"
"3 on scale 1-7 ","2005","Employed","no degree/no degree yet","46","0.267072742640893","0.204654051697144","0.329491433584643"
"4 on scale 1-7","2005","Not Employed","lower secondary degree","629","0.164662923280382","0.152797380800181","0.176528465760583"
"4 on scale 1-7","2005","Not Employed","secondary school degree","263","0.173015922536947","0.154006229926783","0.192025615147111"
"4 on scale 1-7","2005","Not Employed","college entrance qualification","237","0.191247722746687","0.169393075781229","0.213102369712145"
"4 on scale 1-7","2005","Not Employed","Other degree","75","0.15379034021952","0.121314347277066","0.186266333161973"
"4 on scale 1-7","2005","Not Employed","no degree/no degree yet","138","0.173751498971836","0.145762885547728","0.201740112395944"
"4 on scale 1-7","2005","Employed","lower secondary degree","667","0.198707299122201","0.185115685997338","0.212298912247065"
"4 on scale 1-7","2005","Employed","secondary school degree","958","0.215820377843469","0.20378321719312","0.227857538493817"
"4 on scale 1-7","2005","Employed","college entrance qualification","753","0.192858720921512","0.180539183516297","0.205178258326727"
"4 on scale 1-7","2005","Employed","Other degree","114","0.160142621548111","0.131774092677836","0.188511150418387"
"4 on scale 1-7","2005","Employed","no degree/no degree yet","40","0.183150659007039","0.128581826670228","0.23771949134385"
"5 on scale 1-7","2005","Not Employed","lower secondary degree","368","0.0959570865366278","0.0865340286590286","0.105380144414227"
"5 on scale 1-7","2005","Not Employed","secondary school degree","169","0.104083907178325","0.0887374212262047","0.119430393130445"
"5 on scale 1-7","2005","Not Employed","college entrance qualification","125","0.0885979256037724","0.0728071055682058","0.104388745639339"
"5 on scale 1-7","2005","Not Employed","Other degree","43","0.106452880037765","0.0786879644366322","0.134217795638898"
"5 on scale 1-7","2005","Not Employed","no degree/no degree yet","77","0.119930026189678","0.0959315134662309","0.143928538913125"
"5 on scale 1-7","2005","Employed","lower secondary degree","398","0.118253263690673","0.107254420790339","0.129252106591008"
"5 on scale 1-7","2005","Employed","secondary school degree","534","0.112850674737615","0.103592603896993","0.122108745578237"
"5 on scale 1-7","2005","Employed","college entrance qualification","467","0.117020685017929","0.106983624030888","0.127057746004969"
"5 on scale 1-7","2005","Employed","Other degree","61","0.118435307922097","0.0934405884040584","0.143430027440136"
"5 on scale 1-7","2005","Employed","no degree/no degree yet","23","","",""
