"plh0206i02","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","no migration background","1535","0.259187094656302","0.248587440821159","0.269786748491444","1"
"1 Strongly disagree","2005","Not Employed","direct migration background","322","0.322773147493977","0.29373732014576","0.351808974842194","1"
"1 Strongly disagree","2005","Not Employed","indirect migration background","49","0.174925399818088","0.130506481600604","0.219344318035572","1"
"1 Strongly disagree","2005","Employed","no migration background","1797","0.171969251852205","0.164886146229368","0.179052357475042","1"
"1 Strongly disagree","2005","Employed","direct migration background","341","0.25337752365493","0.230278474087693","0.276476573222168","1"
"1 Strongly disagree","2005","Employed","indirect migration background","74","0.13300689977627","0.104549230108677","0.161464569443863","1"
"2 on scale 1-7 ","2005","Not Employed","indirect migration background","35","0.117785084463719","0.0800949854846718","0.155475183442766","2"
"2 on scale 1-7 ","2005","Not Employed","no migration background","1284","0.187981115366755","0.178530264684989","0.197431966048522","2"
"2 on scale 1-7 ","2005","Employed","indirect migration background","125","0.211763925113171","0.177525910692522","0.246001939533821","2"
"2 on scale 1-7 ","2005","Not Employed","direct migration background","163","0.157659047958931","0.135027105550707","0.180290990367156","2"
"2 on scale 1-7 ","2005","Employed","no migration background","2282","0.200252536621329","0.192740796861208","0.207764276381451","2"
"2 on scale 1-7 ","2005","Employed","direct migration background","271","0.177287886793036","0.15700531533229","0.197570458253781","2"
"3 on scale 1-7 ","2005","Employed","direct migration background","232","0.184387758633664","0.163792490640711","0.204983026626617","3"
"3 on scale 1-7 ","2005","Not Employed","no migration background","1171","0.171802548672161","0.162677977316728","0.180927120027594","3"
"3 on scale 1-7 ","2005","Employed","no migration background","2060","0.183381703264334","0.17611792398216","0.190645482546508","3"
"3 on scale 1-7 ","2005","Not Employed","indirect migration background","70","0.274123379077024","0.221967967872877","0.326278790281172","3"
"3 on scale 1-7 ","2005","Not Employed","direct migration background","144","0.140158787390416","0.118599335468268","0.161718239312565","3"
"3 on scale 1-7 ","2005","Employed","indirect migration background","102","0.188324050702706","0.155559919217272","0.22108818218814","3"
"4 on scale 1-7","2005","Employed","indirect migration background","99","0.196269220670337","0.162985196634432","0.229553244706242","4"
"4 on scale 1-7","2005","Not Employed","direct migration background","173","0.168804711115194","0.145541897565983","0.192067524664405","4"
"4 on scale 1-7","2005","Not Employed","indirect migration background","53","0.147153221350925","0.105732722539654","0.188573720162197","4"
"4 on scale 1-7","2005","Employed","direct migration background","245","0.182106031106403","0.161609979554635","0.20260208265817","4"
"4 on scale 1-7","2005","Not Employed","no migration background","1154","0.172255994441354","0.163121891116618","0.181390097766091","4"
"4 on scale 1-7","2005","Employed","no migration background","2226","0.202192114441065","0.194653242708207","0.209730986173923","4"
"5 on scale 1-7","2005","Employed","indirect migration background","76","0.140594380353002","0.111464580312199","0.169724180393804","5"
"5 on scale 1-7","2005","Employed","no migration background","1302","0.114949253151652","0.108962211929368","0.120936294373937","5"
"5 on scale 1-7","2005","Employed","direct migration background","137","0.110169044524154","0.0935409270653806","0.126797161982926","5"
"5 on scale 1-7","2005","Not Employed","no migration background","679","0.0987801808663165","0.0915627771103279","0.105997584622305","5"
"5 on scale 1-7","2005","Not Employed","direct migration background","89","0.104101809570297","0.0851357595814842","0.123067859559109","5"
"5 on scale 1-7","2005","Not Employed","indirect migration background","32","0.102377019450953","0.0669329847401667","0.13782105416174","5"
"6 on scale 1-7","2005","Employed","indirect migration background","31","0.0577233517429639","0.0381790835990912","0.0772676198868366","6"
"6 on scale 1-7","2005","Not Employed","indirect migration background","16","","","","6"
"6 on scale 1-7","2005","Employed","direct migration background","57","0.0333549375435404","0.02381878649268","0.0428910885944007","6"
"6 on scale 1-7","2005","Not Employed","no migration background","378","0.0534838204041806","0.0480412261633904","0.0589264146449708","6"
