"plh0206i02","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","2451","0.21227898031812","0.20512612490904","0.219431835727199"
"1 Strongly disagree","2005","no migration background","East Germany","881","0.189300704121884","0.178346502719457","0.200254905524311"
"1 Strongly disagree","2005","direct migration background","West Germany","645","0.287757500872826","0.269084531242864","0.306430470502789"
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","120","0.145396137512014","0.120862024706314","0.169930250317714"
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","2564","0.1952824821596","0.18834833421192","0.20221663010728"
"2 on scale 1-7 ","2005","no migration background","East Germany","1002","0.195275976289008","0.184191310555647","0.206360642022368"
"2 on scale 1-7 ","2005","direct migration background","West Germany","413","0.164917575125591","0.149610780180265","0.180224370070916"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","152","0.180935087029296","0.154141426217676","0.207728747840915"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","2345","0.178846897160472","0.172143537731017","0.185550256589927"
"3 on scale 1-7 ","2005","no migration background","East Germany","886","0.178125520873683","0.167426586340549","0.188824455406816"
"3 on scale 1-7 ","2005","direct migration background","West Germany","360","0.165351252315752","0.150028325070759","0.180674179560744"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","160","0.213400388391804","0.184884561873303","0.241916214910304"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2389","0.186161451861235","0.179352915839404","0.192969987883067"
"4 on scale 1-7","2005","no migration background","East Germany","991","0.204185348015702","0.192913556129668","0.215457139901736"
"4 on scale 1-7","2005","direct migration background","West Germany","397","0.174518021670623","0.158862769735228","0.190173273606017"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","148","0.181158610976739","0.154352063591201","0.207965158362277"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","1408","0.108432401603527","0.102993685252993","0.11387111795406"
"5 on scale 1-7","2005","no migration background","East Germany","573","0.108277004660456","0.0995882445158521","0.116965764805059"
"5 on scale 1-7","2005","direct migration background","West Germany","219","0.110178590975928","0.0972638364875845","0.123093345464271"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","105","0.131240538067857","0.107739054842561","0.154742021293154"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","710","0.0590004107704649","0.0548788475385524","0.0631219740023774"
"6 on scale 1-7","2005","no migration background","East Germany","314","0.0610580363015055","0.054362806315377","0.0677532662876339"
"6 on scale 1-7","2005","direct migration background","West Germany","92","0.0374015361833959","0.0295752914511975","0.0452277809155944"
"6 on scale 1-7","2005","direct migration background","East Germany","","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","43","0.0545719343196172","0.0387627152887868","0.0703811533504475"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
