"plh0206i02","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Male","1275","0.163318203598095","0.15539566251631","0.17124074467988"
"1 Strongly disagree","2005","no migration background","Female","2057","0.248964905375943","0.240082976363981","0.257846834387905"
"1 Strongly disagree","2005","direct migration background","Male","261","0.235650306836659","0.210705752453791","0.260594861219528"
"1 Strongly disagree","2005","direct migration background","Female","402","0.323738361760649","0.297758099647602","0.349718623873696"
"1 Strongly disagree","2005","indirect migration background","Male","45","0.108253303834542","0.0778810934996868","0.138625514169398"
"1 Strongly disagree","2005","indirect migration background","Female","78","0.183095536468931","0.14637002908324","0.219821043854622"
"2 on scale 1-7 ","2005","no migration background","Male","1593","0.184157747920764","0.175850347637082","0.192465148204447"
"2 on scale 1-7 ","2005","no migration background","Female","1973","0.205816762299623","0.197512351105265","0.214121173493981"
"2 on scale 1-7 ","2005","direct migration background","Male","194","0.160721574923266","0.139134896760381","0.182308253086151"
"2 on scale 1-7 ","2005","direct migration background","Female","240","0.176652662357415","0.155476819465455","0.197828505249375"
"2 on scale 1-7 ","2005","indirect migration background","Male","70","0.151332441149078","0.116300041718031","0.186364840580126"
"2 on scale 1-7 ","2005","indirect migration background","Female","90","0.212751420995944","0.17388849738813","0.251614344603758"
"3 on scale 1-7 ","2005","no migration background","Male","1611","0.186224939782222","0.177881634171811","0.194568245392633"
"3 on scale 1-7 ","2005","no migration background","Female","1620","0.171554478108372","0.163810909994948","0.179298046221796"
"3 on scale 1-7 ","2005","direct migration background","Male","191","0.180346974484531","0.157749227018069","0.202944721950994"
"3 on scale 1-7 ","2005","direct migration background","Female","185","0.153238066700888","0.133237004297845","0.173239129103932"
"3 on scale 1-7 ","2005","indirect migration background","Male","86","0.200328367372246","0.161202666038637","0.239454068705854"
"3 on scale 1-7 ","2005","indirect migration background","Female","86","0.229605327687787","0.189666905150801","0.269543750224773"
"4 on scale 1-7","2005","no migration background","Male","1742","0.202766240728177","0.194149208687737","0.211383272768617"
"4 on scale 1-7","2005","no migration background","Female","1638","0.178033266102439","0.170175740291649","0.185890791913229"
"4 on scale 1-7","2005","direct migration background","Male","216","0.202079170871362","0.178477846480844","0.22568049526188"
"4 on scale 1-7","2005","direct migration background","Female","202","0.15382163755113","0.133789433146945","0.173853841955314"
"4 on scale 1-7","2005","indirect migration background","Male","85","0.216522527564808","0.176260108450125","0.256784946679492"
"4 on scale 1-7","2005","indirect migration background","Female","67","0.146131191408931","0.112587540578828","0.179674842239034"
"5 on scale 1-7","2005","no migration background","Male","1012","0.118246802455054","0.111326337605859","0.12516726730425"
"5 on scale 1-7","2005","no migration background","Female","969","0.0990709681478862","0.0929343851780697","0.105207551117703"
"5 on scale 1-7","2005","direct migration background","Male","121","0.108510108798451","0.0902295693088048","0.126790648288098"
