"plh0206i02","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","524","0.264863685070059","0.245900487466514","0.283826882673605"
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","197","0.236748981478793","0.208567090493539","0.264930872464046"
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","1068","0.241993248518869","0.229817312829408","0.254169184208331"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","471","0.229282457781311","0.211943652936179","0.246621262626443"
"1 Strongly disagree","2005","Single parent ","Urban Area","158","0.204398343477326","0.174652090592049","0.234144596362603"
"1 Strongly disagree","2005","Single parent ","Rural Area","67","0.197558580303559","0.157992055468608","0.23712510513851"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","433","0.158091948809451","0.143917982192144","0.172265915426759"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","190","0.191689062208049","0.169037039384157","0.214341085031941"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","384","0.180277078359958","0.16451517051402","0.196038986205897"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","202","0.160738796013586","0.141153535808135","0.180324056219037"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","210","0.184762484202774","0.161930924717422","0.207594043688127"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","95","0.168280977059606","0.138067808513061","0.19849414560615"
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","451","0.202506933975529","0.185236636009666","0.219777231941392"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","176","0.205478179542191","0.178690928739323","0.232265430345059"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","948","0.197812554321038","0.186487793465015","0.209137315177061"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","461","0.195465982124695","0.179109348678868","0.211822615570521"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","121","0.1622174440449","0.135024252970387","0.189410635119413"
"2 on scale 1-7 ","2005","Single parent ","Rural Area","71","0.157723765259819","0.121503708047743","0.193943822471895"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","554","0.20967995349714","0.193864408850873","0.225495498143407"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","214","0.17058707567877","0.148941080479761","0.19223307087778"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","470","0.169643206751535","0.15425437693066","0.185032036572409"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","264","0.176683109940092","0.156345428218897","0.197020791661288"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","211","0.175887734290289","0.153490336266161","0.198285132314416"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","118","0.178631113834907","0.147696968577141","0.209565259092673"
"3 on scale 1-7 ","2005","1-pers.-HH","Urban Area","374","0.185750515430162","0.169037293370021","0.202463737490303"
"3 on scale 1-7 ","2005","1-pers.-HH","Rural Area","147","0.148338948088254","0.124774711987028","0.17190318418948"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","870","0.165778258880483","0.155205977266356","0.17635054049461"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","397","0.160270914607998","0.145139376433276","0.17540245278272"
"3 on scale 1-7 ","2005","Single parent ","Urban Area","119","0.173355113007718","0.145431374644413","0.201278851371022"
"3 on scale 1-7 ","2005","Single parent ","Rural Area","72","0.176815473345696","0.138903008242438","0.214727938448953"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","483","0.206633532023787","0.190903068582575","0.222363995464999"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","202","0.163242852712818","0.14197439982687","0.184511305598766"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","416","0.181429426034948","0.165628340776812","0.197230511293085"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","260","0.188964795291441","0.168089591677377","0.209839998905506"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","222","0.203588670401506","0.179900467220996","0.227276873582016"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","116","0.185201686409373","0.153829992222031","0.216573380596715"
"4 on scale 1-7","2005","1-pers.-HH","Urban Area","348","0.165995034283614","0.150005040682146","0.181985027885083"
"4 on scale 1-7","2005","1-pers.-HH","Rural Area","145","0.178208692151736","0.152837692001209","0.203579692302263"
"4 on scale 1-7","2005","(Married) couple without C. ","Urban Area","846","0.170213524123407","0.159529265506313","0.1808977827405"
"4 on scale 1-7","2005","(Married) couple without C. ","Rural Area","416","0.184173511125404","0.168185346656354","0.200161675594453"
"4 on scale 1-7","2005","Single parent ","Urban Area","129","0.189010955056744","0.160130986063482","0.217890924050005"
"4 on scale 1-7","2005","Single parent ","Rural Area","76","0.199707689715027","0.15997984486589","0.239435534564163"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","507","0.206602276137694","0.19087269261903","0.222331859656357"
