"plh0212","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","10","","",""
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","24","","",""
"1 Strongly disagree","2005","lower secondary degree","Single parent ","2","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","4","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","8","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","3","","",""
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","6","","",""
"1 Strongly disagree","2005","secondary school degree","Single parent ","3","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","4","","",""
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","","","",""
"1 Strongly disagree","2005","college entrance qualification","Single parent ","","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","4","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","Other degree","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","2","","",""
"1 Strongly disagree","2005","Other degree","Single parent ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"2 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","9","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","14","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Single parent ","1","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","3","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","3","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","1","","",""
"2 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","10","","",""
"2 on scale 1-7 ","2005","secondary school degree","Single parent ","1","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","4","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","3","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","7","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Single parent ","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","5","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","Other degree","1-pers.-HH","","","",""
"2 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","1","","",""
"2 on scale 1-7 ","2005","Other degree","Single parent ","","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","1","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","1","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","3","","",""
"3 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","18","","",""
"3 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","26","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Single parent ","6","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","15","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","10","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","6","","",""
"3 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","12","","",""
"3 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","12","","",""
"3 on scale 1-7 ","2005","secondary school degree","Single parent ","3","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","17","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","8","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","6","","",""
"3 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","16","","",""
"3 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","18","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Single parent ","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","10","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","17","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"3 on scale 1-7 ","2005","Other degree","1-pers.-HH","5","","",""
"3 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","10","","",""
"3 on scale 1-7 ","2005","Other degree","Single parent ","","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","5","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","2","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","2","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","8","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","13","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","13","","",""
"4 on scale 1-7","2005","lower secondary degree","1-pers.-HH","61","0.0573440459358044","0.0443508403975473","0.0703372514740615"
"4 on scale 1-7","2005","lower secondary degree","(Married) couple without C. ","118","0.0362420225274894","0.029531904412123","0.0429521406428557"
"4 on scale 1-7","2005","lower secondary degree","Single parent ","18","","",""
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE 16 ","31","0.0322739505281945","0.0209218682326327","0.0436260328237564"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. GT 16 ","30","0.0370303542706491","0.0251651039966427","0.0488956045446555"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE and GT 16","25","","",""
"4 on scale 1-7","2005","secondary school degree","1-pers.-HH","25","","",""
"4 on scale 1-7","2005","secondary school degree","(Married) couple without C. ","27","","",""
"4 on scale 1-7","2005","secondary school degree","Single parent ","11","","",""
"4 on scale 1-7","2005","secondary school degree","Couple + C. LE 16 ","26","","",""
"4 on scale 1-7","2005","secondary school degree","Couple + C. GT 16 ","47","0.0434835568537487","0.0314913306381598","0.0554757830693376"
"4 on scale 1-7","2005","secondary school degree","Couple + C. LE and GT 16","14","","",""
