"plh0212","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","","","",""
"1 Strongly disagree","2005","no migration background","inadequately","","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","","","",""
"1 Strongly disagree","2005","no migration background","middle vocational","43","0.0059344255299655","0.00434999490211268","0.00751885615781832"
"1 Strongly disagree","2005","no migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","no migration background","higher vocational","","","",""
"1 Strongly disagree","2005","no migration background","higher education","","","",""
"1 Strongly disagree","2005","direct migration background","in school","","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","","","",""
"1 Strongly disagree","2005","direct migration background","general elemantary","","","",""
"1 Strongly disagree","2005","direct migration background","middle vocational","","","",""
"1 Strongly disagree","2005","direct migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","direct migration background","higher vocational","","","",""
"1 Strongly disagree","2005","direct migration background","higher education","","","",""
"1 Strongly disagree","2005","indirect migration background","in school","","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","","","",""
"1 Strongly disagree","2005","indirect migration background","middle vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","","","",""
"2 on scale 1-7 ","2005","no migration background","in school","","","",""
"2 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","no migration background","middle vocational","36","0.00393121739711421","0.00264034128272098","0.00522209351150744"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","no migration background","higher education","","","",""
"2 on scale 1-7 ","2005","direct migration background","in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"2 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"3 on scale 1-7 ","2005","no migration background","in school","","","",""
"3 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","30","0.0177480451445328","0.0113753304375187","0.024120759851547"
"3 on scale 1-7 ","2005","no migration background","middle vocational","104","0.0126914034178945","0.0103822241293038","0.0150005827064852"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","no migration background","higher education","39","0.00946071398916896","0.00636689975381351","0.0125545282245244"
"3 on scale 1-7 ","2005","direct migration background","in school","","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"3 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"4 on scale 1-7","2005","no migration background","in school","80","0.174086378250133","0.140982221299383","0.207190535200882"
"4 on scale 1-7","2005","no migration background","inadequately","","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","115","0.070270441580179","0.057933644431896","0.082607238728462"
"4 on scale 1-7","2005","no migration background","middle vocational","280","0.0317713896592421","0.0281532657910918","0.0353895135273924"
"4 on scale 1-7","2005","no migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","no migration background","higher vocational","32","0.0282753406577694","0.0195330188964812","0.0370176624190575"
"4 on scale 1-7","2005","no migration background","higher education","104","0.0303715780393559","0.0248871319528049","0.035856024125907"
"4 on scale 1-7","2005","direct migration background","in school","","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","50","0.0797730297123531","0.057451939770018","0.102094119654688"
"4 on scale 1-7","2005","direct migration background","middle vocational","53","0.0717827587383699","0.054640268867217","0.0889252486095227"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"4 on scale 1-7","2005","direct migration background","higher education","","","",""
"4 on scale 1-7","2005","indirect migration background","in school","","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","","","",""
"4 on scale 1-7","2005","indirect migration background","middle vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","higher education","","","",""
"5 on scale 1-7","2005","no migration background","in school","143","0.275122147349819","0.236134411542405","0.314109883157232"
"5 on scale 1-7","2005","no migration background","inadequately","","","",""
"5 on scale 1-7","2005","no migration background","general elemantary","274","0.155696496665315","0.138196962855914","0.173196030474715"
"5 on scale 1-7","2005","no migration background","middle vocational","1041","0.112457610311986","0.105940345806586","0.118974874817387"
"5 on scale 1-7","2005","no migration background","vocational + Abi","131","0.137813213614843","0.114907987886455","0.16071843934323"
"5 on scale 1-7","2005","no migration background","higher vocational","152","0.108260282874934","0.0918730779174955","0.124647487832372"
"5 on scale 1-7","2005","no migration background","higher education","512","0.138290101268485","0.127257637431436","0.149322565105534"
"5 on scale 1-7","2005","direct migration background","in school","","","",""
"5 on scale 1-7","2005","direct migration background","inadequately","","","",""
"5 on scale 1-7","2005","direct migration background","general elemantary","84","0.169763511217555","0.138834719186701","0.20069230324841"
"5 on scale 1-7","2005","direct migration background","middle vocational","87","0.0928292332853768","0.0735572718191994","0.112101194751554"
"5 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"5 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"5 on scale 1-7","2005","direct migration background","higher education","46","0.137810997254156","0.101063064061307","0.174558930447005"
"5 on scale 1-7","2005","indirect migration background","in school","","","",""
"5 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"5 on scale 1-7","2005","indirect migration background","general elemantary","43","0.22373666231281","0.162855217047386","0.284618107578234"
"5 on scale 1-7","2005","indirect migration background","middle vocational","39","0.135231748262948","0.0987749151114741","0.171688581414421"
"5 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"5 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"5 on scale 1-7","2005","indirect migration background","higher education","","","",""
"6 on scale 1-7","2005","no migration background","in school","158","0.266297927178087","0.22770776632709","0.304888088029084"
"6 on scale 1-7","2005","no migration background","inadequately","","","",""
"6 on scale 1-7","2005","no migration background","general elemantary","478","0.26200276864863","0.24077921664486","0.2832263206524"
"6 on scale 1-7","2005","no migration background","middle vocational","2866","0.306837048005593","0.297323381159655","0.316350714851532"
"6 on scale 1-7","2005","no migration background","vocational + Abi","329","0.381170923478192","0.348898342248709","0.413443504707675"
"6 on scale 1-7","2005","no migration background","higher vocational","493","0.361883337415045","0.336538728874221","0.387227945955868"
"6 on scale 1-7","2005","no migration background","higher education","1405","0.37383188706847","0.358369374355443","0.389294399781496"
"6 on scale 1-7","2005","direct migration background","in school","","","",""
"6 on scale 1-7","2005","direct migration background","inadequately","52","0.359599133353368","0.28175839678148","0.437439869925257"
"6 on scale 1-7","2005","direct migration background","general elemantary","165","0.281799688477245","0.244737340924354","0.318862036030135"
"6 on scale 1-7","2005","direct migration background","middle vocational","253","0.267654118507706","0.238251629213405","0.297056607802006"
"6 on scale 1-7","2005","direct migration background","vocational + Abi","71","0.317645417469661","0.25555886160064","0.379731973338681"
"6 on scale 1-7","2005","direct migration background","higher vocational","37","0.345781699534865","0.264643853943817","0.426919545125913"
