"plh0212","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","56","0.0095286570294365","0.00726237839136676","0.0117949356675062"
"1 Strongly disagree","2005","secondary school degree","17","","",""
"1 Strongly disagree","2005","college entrance qualification","8","","",""
"1 Strongly disagree","2005","Other degree","6","","",""
"1 Strongly disagree","2005","no degree/no degree yet","9","","",""
"2 on scale 1-7 ","2005","lower secondary degree","34","0.00513968292029909","0.00347156895716578","0.0068077968834324"
"2 on scale 1-7 ","2005","secondary school degree","21","","",""
"2 on scale 1-7 ","2005","college entrance qualification","16","","",""
"2 on scale 1-7 ","2005","Other degree","5","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","9","","",""
"3 on scale 1-7 ","2005","lower secondary degree","84","0.0117396184961815","0.00922692691530532","0.0142523100770577"
"3 on scale 1-7 ","2005","secondary school degree","60","0.0125485829862537","0.00973501313715239","0.0153621528353549"
"3 on scale 1-7 ","2005","college entrance qualification","66","0.0146521937958749","0.0113844859379936","0.0179199016537561"
"3 on scale 1-7 ","2005","Other degree","26","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","40","0.0360217032799833","0.0238474428845702","0.0481959636753964"
"4 on scale 1-7","2005","lower secondary degree","294","0.0443192323628771","0.0395182618568614","0.0491202028688929"
"4 on scale 1-7","2005","secondary school degree","154","0.0278305714350406","0.0236730496759834","0.0319880931940978"
"4 on scale 1-7","2005","college entrance qualification","175","0.0375826193350845","0.0324104543517523","0.0427547843184167"
"4 on scale 1-7","2005","Other degree","83","0.0643840006235212","0.0500036045732782","0.0787643966737642"
"4 on scale 1-7","2005","no degree/no degree yet","120","0.127307219929442","0.105530922234302","0.149083517624583"
"5 on scale 1-7","2005","lower secondary degree","851","0.115320030808901","0.107868903701412","0.122771157916389"
"5 on scale 1-7","2005","secondary school degree","677","0.114903641952049","0.106843092197392","0.122964191706705"
"5 on scale 1-7","2005","college entrance qualification","781","0.150009946366193","0.140298943816836","0.159720948915551"
"5 on scale 1-7","2005","Other degree","156","0.146277150318741","0.125571935248724","0.166982365388758"
"5 on scale 1-7","2005","no degree/no degree yet","210","0.208289641883573","0.181759239531224","0.234820044235922"
"6 on scale 1-7","2005","lower secondary degree","2074","0.280843754099766","0.270359910986706","0.291327597212827"
"6 on scale 1-7","2005","secondary school degree","2011","0.331658768173766","0.319758757301592","0.343558779045941"
"6 on scale 1-7","2005","college entrance qualification","1973","0.377968282204833","0.364781735967822","0.391154828441844"
