"plh0212","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Male","2","","","","1"
"1 Strongly disagree","2005","in school","Female","1","","","","1"
"1 Strongly disagree","2005","inadequately","Male","2","","","","1"
"1 Strongly disagree","2005","inadequately","Female","5","","","","1"
"1 Strongly disagree","2005","general elemantary","Male","6","","","","1"
"1 Strongly disagree","2005","general elemantary","Female","13","","","","1"
"1 Strongly disagree","2005","middle vocational","Male","22","","","","1"
"1 Strongly disagree","2005","middle vocational","Female","28","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Female","1","","","","1"
"1 Strongly disagree","2005","higher vocational","Male","5","","","","1"
"1 Strongly disagree","2005","higher vocational","Female","3","","","","1"
"1 Strongly disagree","2005","higher education","Male","7","","","","1"
"1 Strongly disagree","2005","higher education","Female","1","","","","1"
"2 on scale 1-7 ","2005","general elemantary","Female","10","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Male","19","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Female","22","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Male","1","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Male","5","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Female","2","","","","2"
"2 on scale 1-7 ","2005","higher education","Male","7","","","","2"
"2 on scale 1-7 ","2005","higher education","Female","3","","","","2"
"2 on scale 1-7 ","2005","in school","Male","3","","","","2"
"2 on scale 1-7 ","2005","in school","Female","3","","","","2"
"2 on scale 1-7 ","2005","inadequately","Male","2","","","","2"
"2 on scale 1-7 ","2005","inadequately","Female","1","","","","2"
"2 on scale 1-7 ","2005","general elemantary","Male","5","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Female","2","","","","2"
"3 on scale 1-7 ","2005","general elemantary","Male","14","","","","3"
"3 on scale 1-7 ","2005","general elemantary","Female","30","0.0164531144329146","0.0102585300023117","0.0226476988635176","3"
"3 on scale 1-7 ","2005","middle vocational","Male","74","0.0169643097592728","0.0133377756547239","0.0205908438638217","3"
"3 on scale 1-7 ","2005","in school","Male","22","","","","3"
"3 on scale 1-7 ","2005","in school","Female","14","","","","3"
"3 on scale 1-7 ","2005","inadequately","Male","1","","","","3"
"3 on scale 1-7 ","2005","inadequately","Female","5","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Female","54","0.0121371383382771","0.0092071242525556","0.0150671524239986","3"
