"plh0212","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","","","",""
"1 Strongly disagree","2005","16-34 y.","Single parent ","1","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","7","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","6","","",""
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","18","","",""
"1 Strongly disagree","2005","35-65 y.","Single parent ","4","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","5","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","8","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","2","","",""
"1 Strongly disagree","2005","66 and older","1-pers.-HH","13","","",""
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","15","","",""
"1 Strongly disagree","2005","66 and older","Single parent ","1","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","4","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","2","","",""
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","6","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","9","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","3","","",""
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","18","","",""
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","1","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","7","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","6","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","5","","",""
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","8","","",""
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","13","","",""
"2 on scale 1-7 ","2005","66 and older","Single parent ","1","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","1","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","15","","",""
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","7","","",""
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","12","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","20","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","34","0.0353844040395034","0.0254925255202092","0.0452762825587975"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","24","","",""
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","18","","",""
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","34","0.0083958139439258","0.00546529972113602","0.0113263281667156"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","6","","",""
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","31","0.0127109421093851","0.00841814608162411","0.0170037381371461"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","21","","",""
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","10","","",""
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","19","","",""
"3 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","25","","",""
"3 on scale 1-7 ","2005","66 and older","Single parent ","","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","1","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2005","16-34 y.","1-pers.-HH","40","0.0528573864275637","0.036234593217566","0.0694801796375614"
"4 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","28","","",""
"4 on scale 1-7","2005","16-34 y.","Single parent ","43","0.0888704471040142","0.0630345300292587","0.11470636417877"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","31","0.0352438502697724","0.0243021159000435","0.0461855846395013"
"4 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","107","0.0764064111096407","0.0621830889459598","0.0906297332733217"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","73","0.122013853165163","0.0965567119746795","0.147470994355648"
"4 on scale 1-7","2005","35-65 y.","1-pers.-HH","42","0.0356851453445557","0.0251365888270324","0.0462337018620789"
"4 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","102","0.024215780061534","0.0192787089586308","0.0291528511644373"
"4 on scale 1-7","2005","35-65 y.","Single parent ","15","","",""
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","74","0.0269800239774706","0.0207711725876592","0.033188875367282"
"4 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","71","0.0419462673352498","0.0334448945448","0.0504476401256997"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","30","0.0384196752399438","0.0268651770804392","0.0499741733994485"
"4 on scale 1-7","2005","66 and older","1-pers.-HH","57","0.0632995986494475","0.0486958854258341","0.077903311873061"
"4 on scale 1-7","2005","66 and older","(Married) couple without C. ","110","0.0460140323385036","0.0375141325570085","0.0545139321199987"
"4 on scale 1-7","2005","66 and older","Single parent ","4","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","5","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2005","16-34 y.","1-pers.-HH","112","0.177810926517315","0.149405027151015","0.206216825883615"
"5 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","115","0.102824156542937","0.0834795694058572","0.122168743680016"
"5 on scale 1-7","2005","16-34 y.","Single parent ","90","0.207323390842056","0.170516654876537","0.244130126807576"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","154","0.148264815061672","0.127178190779277","0.169351439344068"
"5 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","281","0.208002132578587","0.186270538127109","0.229733727030065"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","149","0.219948744357001","0.187731859716253","0.252165628997749"
"5 on scale 1-7","2005","35-65 y.","1-pers.-HH","132","0.107631854632836","0.0900087543688251","0.125254954896848"
"5 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","419","0.110994225328284","0.100905280709153","0.121083169947415"
"5 on scale 1-7","2005","35-65 y.","Single parent ","58","0.10401554522453","0.0791063585831679","0.128924731865893"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","314","0.110248617523067","0.0982467139532795","0.122250521092855"
"5 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","225","0.0981922119772923","0.0855726878189483","0.110811736135636"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","123","0.112913063865167","0.0938875390051618","0.131938588725173"
"5 on scale 1-7","2005","66 and older","1-pers.-HH","153","0.155351757726006","0.133626822427262","0.177076693024751"
"5 on scale 1-7","2005","66 and older","(Married) couple without C. ","297","0.116729877379788","0.103703146234374","0.129756608525202"
"5 on scale 1-7","2005","66 and older","Single parent ","12","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","24","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2005","16-34 y.","1-pers.-HH","251","0.358751919021404","0.323118817362418","0.394385020680391"
"6 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","365","0.369095152526001","0.338360790374042","0.39982951467796"
"6 on scale 1-7","2005","16-34 y.","Single parent ","163","0.345717964273424","0.302536376781995","0.388899551764853"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","398","0.35378368267381","0.32541144593825","0.382155919409369"
"6 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","481","0.343000492830996","0.317583416934336","0.368417568727655"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","210","0.323492912124418","0.287107291359246","0.359878532889589"
"6 on scale 1-7","2005","35-65 y.","1-pers.-HH","380","0.323518780482698","0.296916584343153","0.350120976622243"
"6 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","1165","0.303070806584396","0.28831001542569","0.317831597743102"
"6 on scale 1-7","2005","35-65 y.","Single parent ","180","0.283521966621062","0.246746771922621","0.320297161319502"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","910","0.350707521252428","0.332421385178962","0.368993657325894"
"6 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","713","0.312900530001285","0.293237048090355","0.332564011912215"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","365","0.343072172562694","0.314533548233714","0.371610796891673"
"6 on scale 1-7","2005","66 and older","1-pers.-HH","284","0.245904464899627","0.220078363221117","0.271730566578138"
"6 on scale 1-7","2005","66 and older","(Married) couple without C. ","654","0.283340944173703","0.265059578737921","0.301622309609486"
"6 on scale 1-7","2005","66 and older","Single parent ","15","","",""
"6 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","3","","",""
"6 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","58","0.335041540072613","0.263238863606018","0.406844216539209"
"6 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","1","","",""
"7 Strongly agree","2005","16-34 y.","1-pers.-HH","275","0.384548751984164","0.348406433989891","0.420691069978437"
"7 Strongly agree","2005","16-34 y.","(Married) couple without C. ","431","0.484839146060247","0.45300865288453","0.516669639235963"
"7 Strongly agree","2005","16-34 y.","Single parent ","156","0.330144611630618","0.287447571759932","0.372841651501304"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE 16 ","480","0.437782673360685","0.408344076037739","0.467221270683631"
"7 Strongly agree","2005","16-34 y.","Couple + C. GT 16 ","421","0.325572699407577","0.300483474015062","0.350661924800092"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE and GT 16","173","0.292819321992684","0.257425595804259","0.328213048181108"
"7 Strongly agree","2005","35-65 y.","1-pers.-HH","607","0.507215395142532","0.478786194414036","0.535644595871027"
"7 Strongly agree","2005","35-65 y.","(Married) couple without C. ","1968","0.544679449992406","0.528684887102853","0.560674012881959"
"7 Strongly agree","2005","35-65 y.","Single parent ","313","0.576017666997557","0.535694747710643","0.616340586284471"
"7 Strongly agree","2005","35-65 y.","Couple + C. LE 16 ","1275","0.49046797455371","0.471311292483678","0.509624656623742"
