"plh0212","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","in school","3","","",""
"1 Strongly disagree","2005","(0) in school","inadequately","","","",""
"1 Strongly disagree","2005","(0) in school","general elemantary","","","",""
"1 Strongly disagree","2005","(0) in school","middle vocational","","","",""
"1 Strongly disagree","2005","(0) in school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(0) in school","higher vocational","","","",""
"1 Strongly disagree","2005","(0) in school","higher education","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","in school","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","inadequately","6","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","general elemantary","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","middle vocational","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher vocational","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher education","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","in school","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","inadequately","1","","",""
"1 Strongly disagree","2005","(1b) general elementary school","general elemantary","18","","",""
"1 Strongly disagree","2005","(1b) general elementary school","middle vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher education","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","in school","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","inadequately","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","general elemantary","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","middle vocational","36","0.0086205361003387","0.00611485459892782","0.0111262176017496"
"1 Strongly disagree","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","higher vocational","5","","",""
