"plh0212","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","31","0.0053587990573228","0.0035962573853521","0.00712134072929351"
"1 Strongly disagree","2005","Urban Area","Female","35","0.00724429095493897","0.0052908605332918","0.00919772137658615"
"1 Strongly disagree","2005","Rural Area","Male","14","","",""
"1 Strongly disagree","2005","Rural Area","Female","17","","",""
"2 on scale 1-7 ","2005","Urban Area","Male","29","","",""
"2 on scale 1-7 ","2005","Urban Area","Female","26","","",""
"2 on scale 1-7 ","2005","Rural Area","Male","17","","",""
"2 on scale 1-7 ","2005","Rural Area","Female","18","","",""
"3 on scale 1-7 ","2005","Urban Area","Male","111","0.0181469174298357","0.0149243863044969","0.0213694485551745"
"3 on scale 1-7 ","2005","Urban Area","Female","99","0.0138931938594934","0.0111970576198724","0.0165893300991143"
"3 on scale 1-7 ","2005","Rural Area","Male","44","0.0142832847027649","0.0102269073810479","0.018339662024482"
"3 on scale 1-7 ","2005","Rural Area","Female","35","0.00997181223331951","0.00670426075370975","0.0132393637129293"
"4 on scale 1-7","2005","Urban Area","Male","297","0.04465165339343","0.0396654259369848","0.0496378808498753"
"4 on scale 1-7","2005","Urban Area","Female","319","0.0480298112519859","0.0431043611679654","0.0529552613360065"
"4 on scale 1-7","2005","Rural Area","Male","116","0.0357694379630546","0.0294205926846724","0.0421182832414368"
"4 on scale 1-7","2005","Rural Area","Female","131","0.0394456940587081","0.0330443322412495","0.0458470558761667"
"5 on scale 1-7","2005","Urban Area","Male","904","0.137461361886792","0.129148471848768","0.145774251924816"
"5 on scale 1-7","2005","Urban Area","Female","949","0.125565829316128","0.117933130900665","0.133198527731592"
"5 on scale 1-7","2005","Rural Area","Male","427","0.123887937538844","0.112625235873229","0.135150639204458"
"5 on scale 1-7","2005","Rural Area","Female","456","0.128577067854079","0.117569081980882","0.139585053727277"
"6 on scale 1-7","2005","Urban Area","Male","2211","0.328244070377499","0.316907631931633","0.339580508823365"
"6 on scale 1-7","2005","Urban Area","Female","2307","0.309403513797534","0.298755867625196","0.320051159969871"
"6 on scale 1-7","2005","Rural Area","Male","1138","0.328473969732314","0.312418236471617","0.344529702993012"
"6 on scale 1-7","2005","Rural Area","Female","1112","0.29339628447762","0.278422662123696","0.308369906831544"
"7 Strongly agree","2005","Urban Area","Male","3008","0.462773026220353","0.450735552309755","0.47481050013095"
"7 Strongly agree","2005","Urban Area","Female","3505","0.492395720435068","0.48087980199905","0.503911638871086"
"7 Strongly agree","2005","Rural Area","Male","1531","0.487305846558519","0.470218358171099","0.504393334945939"
"7 Strongly agree","2005","Rural Area","Female","1783","0.515539035395224","0.499103956827819","0.531974113962629"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
"6 on scale 1-7","2006","Rural Area","Female","","","",""
"7 Strongly agree","2006","Urban Area","Male","","","",""
"7 Strongly agree","2006","Urban Area","Female","","","",""
"7 Strongly agree","2006","Rural Area","Male","","","",""
"7 Strongly agree","2006","Rural Area","Female","","","",""
"1 Strongly disagree","2007","Urban Area","Male","","","",""
"1 Strongly disagree","2007","Urban Area","Female","","","",""
"1 Strongly disagree","2007","Rural Area","Male","","","",""
"1 Strongly disagree","2007","Rural Area","Female","","","",""
"2 on scale 1-7 ","2007","Urban Area","Male","","","",""
"2 on scale 1-7 ","2007","Urban Area","Female","","","",""
"2 on scale 1-7 ","2007","Rural Area","Male","","","",""
"2 on scale 1-7 ","2007","Rural Area","Female","","","",""
"3 on scale 1-7 ","2007","Urban Area","Male","","","",""
"3 on scale 1-7 ","2007","Urban Area","Female","","","",""
"3 on scale 1-7 ","2007","Rural Area","Male","","","",""
"3 on scale 1-7 ","2007","Rural Area","Female","","","",""
"4 on scale 1-7","2007","Urban Area","Male","","","",""
"4 on scale 1-7","2007","Urban Area","Female","","","",""
"4 on scale 1-7","2007","Rural Area","Male","","","",""
"4 on scale 1-7","2007","Rural Area","Female","","","",""
"5 on scale 1-7","2007","Urban Area","Male","","","",""
"5 on scale 1-7","2007","Urban Area","Female","","","",""
"5 on scale 1-7","2007","Rural Area","Male","","","",""
"5 on scale 1-7","2007","Rural Area","Female","","","",""
"6 on scale 1-7","2007","Urban Area","Male","","","",""
"6 on scale 1-7","2007","Urban Area","Female","","","",""
"6 on scale 1-7","2007","Rural Area","Male","","","",""
"6 on scale 1-7","2007","Rural Area","Female","","","",""
"7 Strongly agree","2007","Urban Area","Male","","","",""
"7 Strongly agree","2007","Urban Area","Female","","","",""
"7 Strongly agree","2007","Rural Area","Male","","","",""
"7 Strongly agree","2007","Rural Area","Female","","","",""
"1 Strongly disagree","2008","Urban Area","Male","","","",""
"1 Strongly disagree","2008","Urban Area","Female","","","",""
