"plh0212","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","Male","2","","",""
"1 Strongly disagree","2005","(0) in school","Female","1","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Male","2","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Female","4","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Male","6","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Female","13","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Male","18","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Female","23","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Male","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Female","1","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Male","8","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Female","7","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Male","1","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Female","1","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Female","1","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Male","4","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Female","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Male","3","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Female","1","","",""
"2 on scale 1-7 ","2005","(0) in school","Male","3","","",""
"2 on scale 1-7 ","2005","(0) in school","Female","3","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Male","2","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Female","1","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Male","4","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Female","8","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","14","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","12","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","1","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","2","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Male","7","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Female","10","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","2","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Male","4","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Female","2","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Male","1","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Female","1","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Male","6","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Female","2","","",""
"3 on scale 1-7 ","2005","(0) in school","Male","22","","",""
"3 on scale 1-7 ","2005","(0) in school","Female","14","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Female","4","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Male","14","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Female","24","","",""
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","45","0.0167342942866412","0.0121989949333561","0.0212695936399262"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","16","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","1","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","7","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Male","21","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Female","26","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","12","","",""
