"plh0212","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","13","","","","1"
"1 Strongly disagree","2005","35-65 y.","43","0.00489260097708094","0.00362261517942509","0.0061625867747368","1"
"1 Strongly disagree","2005","66 and older","41","0.0133641094348617","0.00969086843359003","0.0170373504361333","1"
"2 on scale 1-7 ","2005","16-34 y.","24","","","","2"
"2 on scale 1-7 ","2005","66 and older","25","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","41","0.0034261017821269","0.00236257391955655","0.00448962964469726","2"
"3 on scale 1-7 ","2005","16-34 y.","115","0.0220571155222506","0.0181105130889852","0.026003717955516","3"
"3 on scale 1-7 ","2005","35-65 y.","125","0.0111404921540584","0.00923013982128427","0.0130508444868325","3"
"3 on scale 1-7 ","2005","66 and older","49","0.014915760670776","0.0110381844323185","0.0187933369092335","3"
"4 on scale 1-7","2005","16-34 y.","332","0.0631301274418565","0.0565950574313395","0.0696651974523735","4"
"4 on scale 1-7","2005","66 and older","187","0.0526783742756159","0.0455323273377493","0.0598244212134824","4"
"4 on scale 1-7","2005","35-65 y.","344","0.0305645733688034","0.0274315574616337","0.0336975892759732","4"
"5 on scale 1-7","2005","16-34 y.","927","0.171928767126975","0.161789643975158","0.182067890278791","5"
"5 on scale 1-7","2005","35-65 y.","1305","0.107325250735815","0.101691578599587","0.112958922872044","5"
"5 on scale 1-7","2005","66 and older","504","0.134837578935566","0.123911728440353","0.145763429430778","5"
"6 on scale 1-7","2005","66 and older","1047","0.268324578446379","0.254150644061131","0.282498512831627","6"
"6 on scale 1-7","2005","35-65 y.","3800","0.319730943447194","0.311242526953219","0.328219359941168","6"
"6 on scale 1-7","2005","16-34 y.","1921","0.348933344036605","0.336125493878472","0.361741194194738","6"
"7 Strongly agree","2005","66 and older","1901","0.509629237985405","0.493637693564717","0.525620782406094","7"
"7 Strongly agree","2005","16-34 y.","1988","0.387249715599752","0.374160018728369","0.400339412471134","7"
"7 Strongly agree","2005","35-65 y.","5938","0.522920037534922","0.513829130476903","0.53201094459294","7"
"1 Strongly disagree","2006","16-34 y.","","","","","1"
"1 Strongly disagree","2006","35-65 y.","","","","","1"
"1 Strongly disagree","2006","66 and older","","","","","1"
"2 on scale 1-7 ","2006","66 and older","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","","","","","3"
"3 on scale 1-7 ","2006","66 and older","","","","","3"
"4 on scale 1-7","2006","66 and older","","","","","4"
"4 on scale 1-7","2006","16-34 y.","","","","","4"
"4 on scale 1-7","2006","35-65 y.","","","","","4"
"5 on scale 1-7","2006","66 and older","","","","","5"
"5 on scale 1-7","2006","16-34 y.","","","","","5"
"5 on scale 1-7","2006","35-65 y.","","","","","5"
"6 on scale 1-7","2006","66 and older","","","","","6"
"6 on scale 1-7","2006","35-65 y.","","","","","6"
"6 on scale 1-7","2006","16-34 y.","","","","","6"
"7 Strongly agree","2006","66 and older","","","","","7"
"7 Strongly agree","2006","16-34 y.","","","","","7"
"7 Strongly agree","2006","35-65 y.","","","","","7"
"1 Strongly disagree","2007","35-65 y.","","","","","1"
"1 Strongly disagree","2007","66 and older","","","","","1"
"1 Strongly disagree","2007","16-34 y.","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","","","","","2"
"2 on scale 1-7 ","2007","66 and older","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","","","","","3"
"3 on scale 1-7 ","2007","66 and older","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","","","","","3"
"4 on scale 1-7","2007","66 and older","","","","","4"
"4 on scale 1-7","2007","16-34 y.","","","","","4"
"4 on scale 1-7","2007","35-65 y.","","","","","4"
"5 on scale 1-7","2007","66 and older","","","","","5"
"5 on scale 1-7","2007","35-65 y.","","","","","5"
"5 on scale 1-7","2007","16-34 y.","","","","","5"
"6 on scale 1-7","2007","66 and older","","","","","6"
"6 on scale 1-7","2007","35-65 y.","","","","","6"
"6 on scale 1-7","2007","16-34 y.","","","","","6"
"7 Strongly agree","2007","66 and older","","","","","7"
"7 Strongly agree","2007","16-34 y.","","","","","7"
"7 Strongly agree","2007","35-65 y.","","","","","7"
"1 Strongly disagree","2008","35-65 y.","","","","","1"
"1 Strongly disagree","2008","66 and older","","","","","1"
"1 Strongly disagree","2008","16-34 y.","","","","","1"
"2 on scale 1-7 ","2008","66 and older","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","","","","","2"
"3 on scale 1-7 ","2008","66 and older","","","","","3"
"3 on scale 1-7 ","2008","35-65 y.","","","","","3"
"3 on scale 1-7 ","2008","16-34 y.","","","","","3"
"4 on scale 1-7","2008","66 and older","","","","","4"
"4 on scale 1-7","2008","35-65 y.","","","","","4"
"4 on scale 1-7","2008","16-34 y.","","","","","4"
"5 on scale 1-7","2008","66 and older","","","","","5"
"5 on scale 1-7","2008","35-65 y.","","","","","5"
"5 on scale 1-7","2008","16-34 y.","","","","","5"
"6 on scale 1-7","2008","66 and older","","","","","6"
"6 on scale 1-7","2008","35-65 y.","","","","","6"
"6 on scale 1-7","2008","16-34 y.","","","","","6"
"7 Strongly agree","2008","66 and older","","","","","7"
"7 Strongly agree","2008","16-34 y.","","","","","7"
"7 Strongly agree","2008","35-65 y.","","","","","7"
"1 Strongly disagree","2009","35-65 y.","17","","","","1"
"1 Strongly disagree","2009","66 and older","43","0.0137710762277702","0.0102133960336213","0.0173287564219192","1"
"1 Strongly disagree","2009","16-34 y.","10","","","","1"
"2 on scale 1-7 ","2009","66 and older","38","0.00843657729511908","0.00564443536107953","0.0112287192291586","2"
"2 on scale 1-7 ","2009","16-34 y.","25","","","","2"
"2 on scale 1-7 ","2009","35-65 y.","51","0.00723401421859505","0.0055613809327941","0.00890664750439599","2"
"3 on scale 1-7 ","2009","66 and older","87","0.0256663703762635","0.0208387826755729","0.030493958076954","3"
"3 on scale 1-7 ","2009","35-65 y.","133","0.0144640732322655","0.0121075639870032","0.0168205824775278","3"
"3 on scale 1-7 ","2009","16-34 y.","102","0.0306563688998896","0.0253075132154971","0.036005224584282","3"
"4 on scale 1-7","2009","66 and older","241","0.0618859986010067","0.0545303985384387","0.0692415986635747","4"
"4 on scale 1-7","2009","35-65 y.","397","0.042413471278165","0.0384358032493435","0.0463911393069865","4"
"4 on scale 1-7","2009","16-34 y.","253","0.0670533324772209","0.0592926442738804","0.0748140206805614","4"
"5 on scale 1-7","2009","66 and older","602","0.140757217592671","0.130140570521308","0.151373864664034","5"
"5 on scale 1-7","2009","35-65 y.","1168","0.116836054966656","0.110495946042702","0.123176163890611","5"
"5 on scale 1-7","2009","16-34 y.","694","0.172811129063056","0.161079729186862","0.184542528939249","5"
"6 on scale 1-7","2009","35-65 y.","3336","0.323939201314234","0.314702599065084","0.333175803563384","6"
"6 on scale 1-7","2009","66 and older","1196","0.281862968398866","0.268128344575058","0.295597592222674","6"
"6 on scale 1-7","2009","16-34 y.","1432","0.34043855935389","0.325735468387851","0.355141650319929","6"
"7 Strongly agree","2009","66 and older","1915","0.467619791508303","0.452387982331682","0.482851600684924","7"
"7 Strongly agree","2009","16-34 y.","1474","0.377789592990143","0.362745871877807","0.392833314102479","7"
"7 Strongly agree","2009","35-65 y.","4759","0.493386480592819","0.483518696882239","0.5032542643034","7"
"1 Strongly disagree","2010","35-65 y.","","","","","1"
"1 Strongly disagree","2010","66 and older","","","","","1"
"1 Strongly disagree","2010","16-34 y.","","","","","1"
"2 on scale 1-7 ","2010","66 and older","","","","","2"
