"plh0212","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","West Germany","55","0.0118747794982538","0.00906809928210283","0.0146814597144047"
"1 Strongly disagree","2005","Not Employed","East Germany","21","","",""
"1 Strongly disagree","2005","Employed","West Germany","18","","",""
"1 Strongly disagree","2005","Employed","East Germany","3","","",""
"2 on scale 1-7 ","2005","Not Employed","West Germany","40","0.00750119280456176","0.0052655401729012","0.00973684543622232"
"2 on scale 1-7 ","2005","Not Employed","East Germany","17","","",""
"2 on scale 1-7 ","2005","Employed","West Germany","28","","",""
"2 on scale 1-7 ","2005","Employed","East Germany","5","","",""
"3 on scale 1-7 ","2005","Not Employed","West Germany","120","0.0196678709511389","0.0160700507375936","0.0232656911646843"
"3 on scale 1-7 ","2005","Not Employed","East Germany","33","0.0155199124771065","0.0102306703151573","0.0208091546390557"
"3 on scale 1-7 ","2005","Employed","West Germany","105","0.0117970008959484","0.00967056808329149","0.0139234337086052"
"3 on scale 1-7 ","2005","Employed","East Germany","31","0.0132439024357541","0.00911585560488639","0.0173719492666218"
"4 on scale 1-7","2005","Not Employed","West Germany","400","0.0681725775397908","0.0616420725582153","0.0747030825213664"
"4 on scale 1-7","2005","Not Employed","East Germany","105","0.0518686164156121","0.0423793652498457","0.0613578675813785"
"4 on scale 1-7","2005","Employed","West Germany","310","0.0322685465230197","0.0287883008232103","0.035748792222829"
"4 on scale 1-7","2005","Employed","East Germany","48","0.0165197274246136","0.0119169922817583","0.0211224625674688"
"5 on scale 1-7","2005","Not Employed","West Germany","936","0.160025787484758","0.150526257291551","0.169525317677966"
"5 on scale 1-7","2005","Not Employed","East Germany","304","0.150889628680388","0.135573213974414","0.166206043386363"
"5 on scale 1-7","2005","Employed","West Germany","1169","0.110874174112879","0.104690599767988","0.11705774845777"
"5 on scale 1-7","2005","Employed","East Germany","327","0.110769185028004","0.0994360920430526","0.122102278012955"
"6 on scale 1-7","2005","Not Employed","West Germany","1690","0.278910159488291","0.267290296166977","0.290530022809604"
"6 on scale 1-7","2005","Not Employed","East Germany","666","0.303866813935609","0.284186448689701","0.323547179181516"
"6 on scale 1-7","2005","Employed","West Germany","3370","0.336695267042637","0.327388093132768","0.346002440952506"
"6 on scale 1-7","2005","Employed","East Germany","1042","0.340024911532296","0.32291881732896","0.357131005735632"
"7 Strongly agree","2005","Not Employed","West Germany","2481","0.453847632233206","0.440947739122932","0.46674752534348"
"7 Strongly agree","2005","Not Employed","East Germany","952","0.458168288123372","0.436848147148653","0.47948842909809"
"7 Strongly agree","2005","Employed","West Germany","4904","0.503778196302004","0.49393127696649","0.513625115637518"
"7 Strongly agree","2005","Employed","East Germany","1490","0.516587824947752","0.498542587749783","0.534633062145721"
"1 Strongly disagree","2006","Not Employed","West Germany","","","",""
"1 Strongly disagree","2006","Not Employed","East Germany","","","",""
"1 Strongly disagree","2006","Employed","West Germany","","","",""
"1 Strongly disagree","2006","Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Employed","East Germany","","","",""
"4 on scale 1-7","2006","Not Employed","West Germany","","","",""
"4 on scale 1-7","2006","Not Employed","East Germany","","","",""
"4 on scale 1-7","2006","Employed","West Germany","","","",""
"4 on scale 1-7","2006","Employed","East Germany","","","",""
"5 on scale 1-7","2006","Not Employed","West Germany","","","",""
"5 on scale 1-7","2006","Not Employed","East Germany","","","",""
"5 on scale 1-7","2006","Employed","West Germany","","","",""
"5 on scale 1-7","2006","Employed","East Germany","","","",""
"6 on scale 1-7","2006","Not Employed","West Germany","","","",""
"6 on scale 1-7","2006","Not Employed","East Germany","","","",""
"6 on scale 1-7","2006","Employed","West Germany","","","",""
"6 on scale 1-7","2006","Employed","East Germany","","","",""
"7 Strongly agree","2006","Not Employed","West Germany","","","",""
"7 Strongly agree","2006","Not Employed","East Germany","","","",""
"7 Strongly agree","2006","Employed","West Germany","","","",""
"7 Strongly agree","2006","Employed","East Germany","","","",""
"1 Strongly disagree","2007","Not Employed","West Germany","","","",""
"1 Strongly disagree","2007","Not Employed","East Germany","","","",""
"1 Strongly disagree","2007","Employed","West Germany","","","",""
"1 Strongly disagree","2007","Employed","East Germany","","","",""
"2 on scale 1-7 ","2007","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2007","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2007","Employed","West Germany","","","",""
"2 on scale 1-7 ","2007","Employed","East Germany","","","",""
"3 on scale 1-7 ","2007","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2007","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2007","Employed","West Germany","","","",""
"3 on scale 1-7 ","2007","Employed","East Germany","","","",""
"4 on scale 1-7","2007","Not Employed","West Germany","","","",""
"4 on scale 1-7","2007","Not Employed","East Germany","","","",""
"4 on scale 1-7","2007","Employed","West Germany","","","",""
"4 on scale 1-7","2007","Employed","East Germany","","","",""
"5 on scale 1-7","2007","Not Employed","West Germany","","","",""
"5 on scale 1-7","2007","Not Employed","East Germany","","","",""
"5 on scale 1-7","2007","Employed","West Germany","","","",""
"5 on scale 1-7","2007","Employed","East Germany","","","",""
"6 on scale 1-7","2007","Not Employed","West Germany","","","",""
"6 on scale 1-7","2007","Not Employed","East Germany","","","",""
"6 on scale 1-7","2007","Employed","West Germany","","","",""
"6 on scale 1-7","2007","Employed","East Germany","","","",""
"7 Strongly agree","2007","Not Employed","West Germany","","","",""
"7 Strongly agree","2007","Not Employed","East Germany","","","",""
"7 Strongly agree","2007","Employed","West Germany","","","",""
"7 Strongly agree","2007","Employed","East Germany","","","",""
"1 Strongly disagree","2008","Not Employed","West Germany","","","",""
"1 Strongly disagree","2008","Not Employed","East Germany","","","",""
"1 Strongly disagree","2008","Employed","West Germany","","","",""
"1 Strongly disagree","2008","Employed","East Germany","","","",""
"2 on scale 1-7 ","2008","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2008","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2008","Employed","West Germany","","","",""
"2 on scale 1-7 ","2008","Employed","East Germany","","","",""
"3 on scale 1-7 ","2008","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2008","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2008","Employed","West Germany","","","",""
"3 on scale 1-7 ","2008","Employed","East Germany","","","",""
"4 on scale 1-7","2008","Not Employed","West Germany","","","",""
"4 on scale 1-7","2008","Not Employed","East Germany","","","",""
"4 on scale 1-7","2008","Employed","West Germany","","","",""
"4 on scale 1-7","2008","Employed","East Germany","","","",""
"5 on scale 1-7","2008","Not Employed","West Germany","","","",""
"5 on scale 1-7","2008","Not Employed","East Germany","","","",""
"5 on scale 1-7","2008","Employed","West Germany","","","",""
"5 on scale 1-7","2008","Employed","East Germany","","","",""
"6 on scale 1-7","2008","Not Employed","West Germany","","","",""
"6 on scale 1-7","2008","Not Employed","East Germany","","","",""
"6 on scale 1-7","2008","Employed","West Germany","","","",""
"6 on scale 1-7","2008","Employed","East Germany","","","",""
"7 Strongly agree","2008","Not Employed","West Germany","","","",""
"7 Strongly agree","2008","Not Employed","East Germany","","","",""
"7 Strongly agree","2008","Employed","West Germany","","","",""
"7 Strongly agree","2008","Employed","East Germany","","","",""
"1 Strongly disagree","2009","Not Employed","West Germany","37","0.0119549185203786","0.00891278105317476","0.0149970559875825"
"1 Strongly disagree","2009","Not Employed","East Germany","17","","",""
"1 Strongly disagree","2009","Employed","West Germany","9","","",""
"1 Strongly disagree","2009","Employed","East Germany","7","","",""
"2 on scale 1-7 ","2009","Not Employed","West Germany","54","0.0121576701303457","0.00909015906318654","0.0152251811975049"
"2 on scale 1-7 ","2009","Not Employed","East Germany","10","","",""
"2 on scale 1-7 ","2009","Employed","West Germany","36","0.00546141647046525","0.00389732373150637","0.00702550920942413"
"2 on scale 1-7 ","2009","Employed","East Germany","14","","",""
"3 on scale 1-7 ","2009","Not Employed","West Germany","116","0.0258577372985491","0.0214152765776912","0.030300198019407"
"3 on scale 1-7 ","2009","Not Employed","East Germany","38","0.0244012028019542","0.0173742207356977","0.0314281848682106"
"3 on scale 1-7 ","2009","Employed","West Germany","137","0.0191460324952019","0.0162377231003988","0.022054341890005"
"3 on scale 1-7 ","2009","Employed","East Germany","31","0.0140894618090374","0.00963475991761408","0.0185441637004608"
"4 on scale 1-7","2009","Not Employed","West Germany","347","0.0763972219909846","0.0689619211885161","0.0838325227934532"
"4 on scale 1-7","2009","Not Employed","East Germany","133","0.0730506302630142","0.0611992866454257","0.0849019738806026"
"4 on scale 1-7","2009","Employed","West Germany","319","0.0410376570454639","0.0368275698622227","0.0452477442287051"
"4 on scale 1-7","2009","Employed","East Germany","92","0.0303440349114452","0.0238607039609202","0.0368273658619702"
"5 on scale 1-7","2009","Not Employed","West Germany","780","0.152412276736379","0.142351779443811","0.162472774028947"
"5 on scale 1-7","2009","Not Employed","East Germany","297","0.167363375730147","0.150361941166011","0.184364810294284"
"5 on scale 1-7","2009","Employed","West Germany","1058","0.122688471878906","0.115725769518072","0.12965117423974"
"5 on scale 1-7","2009","Employed","East Germany","329","0.13138157656382","0.118613236446669","0.144149916680971"
"6 on scale 1-7","2009","Not Employed","West Germany","1490","0.27778266806481","0.26524537810876","0.29031995802086"
"6 on scale 1-7","2009","Not Employed","East Germany","563","0.285696097809171","0.265121977955494","0.306270217662849"
"6 on scale 1-7","2009","Employed","West Germany","2952","0.341063046100111","0.331002112123017","0.351123980077206"
"6 on scale 1-7","2009","Employed","East Germany","959","0.343693364214932","0.325742239624499","0.361644488805366"
"7 Strongly agree","2009","Not Employed","West Germany","2079","0.443437507258553","0.42953188831362","0.457343126203485"
"7 Strongly agree","2009","Not Employed","East Germany","794","0.43660773930414","0.41401968864285","0.45919578996543"
"7 Strongly agree","2009","Employed","West Germany","4018","0.469119653702788","0.458528599963819","0.479710707441757"
"7 Strongly agree","2009","Employed","East Germany","1257","0.472894705020646","0.454024196441703","0.491765213599589"
"1 Strongly disagree","2010","Not Employed","West Germany","","","",""
"1 Strongly disagree","2010","Not Employed","East Germany","","","",""
"1 Strongly disagree","2010","Employed","West Germany","","","",""
"1 Strongly disagree","2010","Employed","East Germany","","","",""
"2 on scale 1-7 ","2010","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2010","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2010","Employed","West Germany","","","",""
"2 on scale 1-7 ","2010","Employed","East Germany","","","",""
"3 on scale 1-7 ","2010","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2010","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2010","Employed","West Germany","","","",""
"3 on scale 1-7 ","2010","Employed","East Germany","","","",""
"4 on scale 1-7","2010","Not Employed","West Germany","","","",""
"4 on scale 1-7","2010","Not Employed","East Germany","","","",""
"4 on scale 1-7","2010","Employed","West Germany","","","",""
"4 on scale 1-7","2010","Employed","East Germany","","","",""
"5 on scale 1-7","2010","Not Employed","West Germany","","","",""
"5 on scale 1-7","2010","Not Employed","East Germany","","","",""
"5 on scale 1-7","2010","Employed","West Germany","","","",""
"5 on scale 1-7","2010","Employed","East Germany","","","",""
"6 on scale 1-7","2010","Not Employed","West Germany","","","",""
"6 on scale 1-7","2010","Not Employed","East Germany","","","",""
"6 on scale 1-7","2010","Employed","West Germany","","","",""
"6 on scale 1-7","2010","Employed","East Germany","","","",""
"7 Strongly agree","2010","Not Employed","West Germany","","","",""
"7 Strongly agree","2010","Not Employed","East Germany","","","",""
"7 Strongly agree","2010","Employed","West Germany","","","",""
"7 Strongly agree","2010","Employed","East Germany","","","",""
"1 Strongly disagree","2011","Not Employed","West Germany","","","",""
"1 Strongly disagree","2011","Not Employed","East Germany","","","",""
"1 Strongly disagree","2011","Employed","West Germany","","","",""
"1 Strongly disagree","2011","Employed","East Germany","","","",""
"2 on scale 1-7 ","2011","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2011","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2011","Employed","West Germany","","","",""
"2 on scale 1-7 ","2011","Employed","East Germany","","","",""
"3 on scale 1-7 ","2011","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2011","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2011","Employed","West Germany","","","",""
"3 on scale 1-7 ","2011","Employed","East Germany","","","",""
"4 on scale 1-7","2011","Not Employed","West Germany","","","",""
"4 on scale 1-7","2011","Not Employed","East Germany","","","",""
"4 on scale 1-7","2011","Employed","West Germany","","","",""
"4 on scale 1-7","2011","Employed","East Germany","","","",""
"5 on scale 1-7","2011","Not Employed","West Germany","","","",""
"5 on scale 1-7","2011","Not Employed","East Germany","","","",""
"5 on scale 1-7","2011","Employed","West Germany","","","",""
"5 on scale 1-7","2011","Employed","East Germany","","","",""
"6 on scale 1-7","2011","Not Employed","West Germany","","","",""
"6 on scale 1-7","2011","Not Employed","East Germany","","","",""
"6 on scale 1-7","2011","Employed","West Germany","","","",""
"6 on scale 1-7","2011","Employed","East Germany","","","",""
"7 Strongly agree","2011","Not Employed","West Germany","","","",""
"7 Strongly agree","2011","Not Employed","East Germany","","","",""
"7 Strongly agree","2011","Employed","West Germany","","","",""
"7 Strongly agree","2011","Employed","East Germany","","","",""
"1 Strongly disagree","2012","Not Employed","West Germany","","","",""
"1 Strongly disagree","2012","Not Employed","East Germany","1","","",""
"1 Strongly disagree","2012","Employed","West Germany","4","","",""
"1 Strongly disagree","2012","Employed","East Germany","1","","",""
"2 on scale 1-7 ","2012","Not Employed","West Germany","14","","",""
"2 on scale 1-7 ","2012","Not Employed","East Germany","3","","",""
"2 on scale 1-7 ","2012","Employed","West Germany","21","","",""
"2 on scale 1-7 ","2012","Employed","East Germany","","","",""
"3 on scale 1-7 ","2012","Not Employed","West Germany","31","0.0265011613408793","0.0181054866482435","0.034896836033515"
"3 on scale 1-7 ","2012","Not Employed","East Germany","7","","",""
