"plh0212","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","13","","",""
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher education","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","8","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","21","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","3","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","","","",""
"1 Strongly disagree","2005","Single parent ","in school","","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","1","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","1","","",""
"1 Strongly disagree","2005","Single parent ","middle vocational","4","","",""
"1 Strongly disagree","2005","Single parent ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","","","",""
"1 Strongly disagree","2005","Single parent ","higher education","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","3","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","7","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","1","","",""
