"plh0212","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","73","0.00596004461165501","0.00475320138622634","0.00716688783708368"
"1 Strongly disagree","2005","East Germany","","","",""
"2 on scale 1-7 ","2005","West Germany","68","0.00436245320374891","0.00332912042814342","0.0053957859793544"
"2 on scale 1-7 ","2005","East Germany","","","",""
"3 on scale 1-7 ","2005","West Germany","225","0.0148495624853851","0.0129531522642052","0.016745972706565"
"3 on scale 1-7 ","2005","East Germany","64","0.0142815220577973","0.0110071784774846","0.01755586563811"
"4 on scale 1-7","2005","West Germany","710","0.0461932162506647","0.0429020980123192","0.0494843344890102"
"4 on scale 1-7","2005","East Germany","153","0.0326350784854964","0.0277316702706146","0.0375384867003782"
"5 on scale 1-7","2005","West Germany","2105","0.129936657165676","0.124664777827954","0.135208536503399"
"5 on scale 1-7","2005","East Germany","631","0.129059859859147","0.119807547203095","0.1383121725152"
"6 on scale 1-7","2005","West Germany","5060","0.314284453685918","0.30700568985526","0.321563217516575"
"6 on scale 1-7","2005","East Germany","1708","0.32354064701658","0.310630064735961","0.336451229297199"
"7 Strongly agree","2005","West Germany","7385","0.484413612596952","0.476577817484263","0.492249407709641"
"7 Strongly agree","2005","East Germany","2442","0.489954700920041","0.476159027938808","0.503750373901273"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","46","0.00533594610387977","0.00410391498276022","0.00656797722499933"
"1 Strongly disagree","2009","East Germany","","","",""
"2 on scale 1-7 ","2009","West Germany","90","0.00792488551188267","0.00642538531965886","0.00942438570410647"
"2 on scale 1-7 ","2009","East Germany","","","",""
"3 on scale 1-7 ","2009","West Germany","253","0.0216151858215222","0.019155882548382","0.0240744890946624"
"3 on scale 1-7 ","2009","East Germany","69","0.0183909257631133","0.0144830259789197","0.0222988255473068"
"4 on scale 1-7","2009","West Germany","666","0.0540460043969341","0.0502222098145504","0.0578697989793178"
"4 on scale 1-7","2009","East Germany","225","0.0481587648035423","0.0419315726452083","0.0543859569618763"
"5 on scale 1-7","2009","West Germany","1838","0.133623492679899","0.127869457765224","0.139377527594574"
"5 on scale 1-7","2009","East Germany","626","0.14639110911735","0.136109545771225","0.156672672463475"
"6 on scale 1-7","2009","West Germany","4442","0.317782976357064","0.309908814461647","0.325657138252481"
"6 on scale 1-7","2009","East Germany","1522","0.3195002477421","0.305938304408683","0.333062191075518"
"7 Strongly agree","2009","West Germany","6097","0.459671509128819","0.451243393664981","0.468099624592657"
"7 Strongly agree","2009","East Germany","2051","0.457757874572756","0.443267257534342","0.472248491611171"
"1 Strongly disagree","2010","West Germany","","","",""
"1 Strongly disagree","2010","East Germany","","","",""
"2 on scale 1-7 ","2010","West Germany","","","",""
"2 on scale 1-7 ","2010","East Germany","","","",""
"3 on scale 1-7 ","2010","West Germany","","","",""
"3 on scale 1-7 ","2010","East Germany","","","",""
"4 on scale 1-7","2010","West Germany","","","",""
"4 on scale 1-7","2010","East Germany","","","",""
"5 on scale 1-7","2010","West Germany","","","",""
"5 on scale 1-7","2010","East Germany","","","",""
"6 on scale 1-7","2010","West Germany","","","",""
"6 on scale 1-7","2010","East Germany","","","",""
"7 Strongly agree","2010","West Germany","","","",""
"7 Strongly agree","2010","East Germany","","","",""
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
