"plh0212","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","57","0.00619549767442984","0.00479575869530515","0.00759523665355454"
"1 Strongly disagree","2005","Urban Area","East Germany","9","","",""
"1 Strongly disagree","2005","Rural Area","West Germany","16","","",""
"1 Strongly disagree","2005","Rural Area","East Germany","15","","",""
"2 on scale 1-7 ","2005","Urban Area","West Germany","49","0.00352329723432436","0.00246631741900734","0.00458027704964139"
"2 on scale 1-7 ","2005","Urban Area","East Germany","6","","",""
"2 on scale 1-7 ","2005","Rural Area","West Germany","19","","",""
"2 on scale 1-7 ","2005","Rural Area","East Germany","16","","",""
"3 on scale 1-7 ","2005","Urban Area","West Germany","188","0.0158717134175456","0.0136422710931995","0.0181011557418917"
"3 on scale 1-7 ","2005","Urban Area","East Germany","22","","",""
"3 on scale 1-7 ","2005","Rural Area","West Germany","37","0.0115357470634882","0.00802505509445834","0.0150464390325181"
"3 on scale 1-7 ","2005","Rural Area","East Germany","42","0.0128985817055103","0.00903995939067577","0.0167572040203448"
"4 on scale 1-7","2005","Urban Area","West Germany","562","0.0475061612697462","0.0437115740947885","0.051300748444704"
"4 on scale 1-7","2005","Urban Area","East Germany","54","0.0359181898694811","0.0272219935273748","0.0446143862115875"
"4 on scale 1-7","2005","Rural Area","West Germany","148","0.0419366458015838","0.0353466772898246","0.048526614313343"
"4 on scale 1-7","2005","Rural Area","East Germany","99","0.0308137922593881","0.0249042125914766","0.0367233719272997"
"5 on scale 1-7","2005","Urban Area","West Germany","1628","0.132292870217331","0.126249025743486","0.138336714691175"
"5 on scale 1-7","2005","Urban Area","East Germany","225","0.122426207084091","0.107108484800093","0.137743929368089"
"5 on scale 1-7","2005","Rural Area","West Germany","477","0.122297809611781","0.111526405745603","0.13306921347796"
"5 on scale 1-7","2005","Rural Area","East Germany","406","0.132739838700843","0.121137227342243","0.144342450059444"
"6 on scale 1-7","2005","Urban Area","West Germany","3927","0.319496309112952","0.311178544175764","0.327814074050139"
"6 on scale 1-7","2005","Urban Area","East Germany","591","0.309698105420382","0.288090632457569","0.331305578383194"
"6 on scale 1-7","2005","Rural Area","West Germany","1133","0.297387607684617","0.282359347147018","0.312415868222215"
"6 on scale 1-7","2005","Rural Area","East Germany","1117","0.331219713424887","0.315125112071137","0.347314314778637"
"7 Strongly agree","2005","Urban Area","West Germany","5661","0.475114151073672","0.466205952432026","0.484022349715317"
"7 Strongly agree","2005","Urban Area","East Germany","852","0.505180535234702","0.481815746243812","0.528545324225593"
"7 Strongly agree","2005","Rural Area","West Germany","1724","0.514562485959564","0.498131065559661","0.530993906359467"
"7 Strongly agree","2005","Rural Area","East Germany","1590","0.481508261224583","0.464421757878377","0.498594764570788"
"1 Strongly disagree","2006","Urban Area","West Germany","","","",""
"1 Strongly disagree","2006","Urban Area","East Germany","","","",""
"1 Strongly disagree","2006","Rural Area","West Germany","","","",""
"1 Strongly disagree","2006","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"4 on scale 1-7","2006","Urban Area","West Germany","","","",""
"4 on scale 1-7","2006","Urban Area","East Germany","","","",""
"4 on scale 1-7","2006","Rural Area","West Germany","","","",""
"4 on scale 1-7","2006","Rural Area","East Germany","","","",""
"5 on scale 1-7","2006","Urban Area","West Germany","","","",""
"5 on scale 1-7","2006","Urban Area","East Germany","","","",""
"5 on scale 1-7","2006","Rural Area","West Germany","","","",""
"5 on scale 1-7","2006","Rural Area","East Germany","","","",""
"6 on scale 1-7","2006","Urban Area","West Germany","","","",""
"6 on scale 1-7","2006","Urban Area","East Germany","","","",""
"6 on scale 1-7","2006","Rural Area","West Germany","","","",""
"6 on scale 1-7","2006","Rural Area","East Germany","","","",""
"7 Strongly agree","2006","Urban Area","West Germany","","","",""
"7 Strongly agree","2006","Urban Area","East Germany","","","",""
"7 Strongly agree","2006","Rural Area","West Germany","","","",""
"7 Strongly agree","2006","Rural Area","East Germany","","","",""
"1 Strongly disagree","2007","Urban Area","West Germany","","","",""
"1 Strongly disagree","2007","Urban Area","East Germany","","","",""
"1 Strongly disagree","2007","Rural Area","West Germany","","","",""
"1 Strongly disagree","2007","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"4 on scale 1-7","2007","Urban Area","West Germany","","","",""
"4 on scale 1-7","2007","Urban Area","East Germany","","","",""
"4 on scale 1-7","2007","Rural Area","West Germany","","","",""
"4 on scale 1-7","2007","Rural Area","East Germany","","","",""
"5 on scale 1-7","2007","Urban Area","West Germany","","","",""
"5 on scale 1-7","2007","Urban Area","East Germany","","","",""
"5 on scale 1-7","2007","Rural Area","West Germany","","","",""
"5 on scale 1-7","2007","Rural Area","East Germany","","","",""
"6 on scale 1-7","2007","Urban Area","West Germany","","","",""
"6 on scale 1-7","2007","Urban Area","East Germany","","","",""
"6 on scale 1-7","2007","Rural Area","West Germany","","","",""
"6 on scale 1-7","2007","Rural Area","East Germany","","","",""
"7 Strongly agree","2007","Urban Area","West Germany","","","",""
"7 Strongly agree","2007","Urban Area","East Germany","","","",""
"7 Strongly agree","2007","Rural Area","West Germany","","","",""
"7 Strongly agree","2007","Rural Area","East Germany","","","",""
"1 Strongly disagree","2008","Urban Area","West Germany","","","",""
"1 Strongly disagree","2008","Urban Area","East Germany","","","",""
"1 Strongly disagree","2008","Rural Area","West Germany","","","",""
"1 Strongly disagree","2008","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"4 on scale 1-7","2008","Urban Area","West Germany","","","",""
"4 on scale 1-7","2008","Urban Area","East Germany","","","",""
"4 on scale 1-7","2008","Rural Area","West Germany","","","",""
