"plh0212","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","West Germany","","","",""
"1 Strongly disagree","2005","(0) in school","East Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","West Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","East Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","West Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","East Germany","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","West Germany","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","West Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","West Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","East Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","West Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","West Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","West Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","East Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","West Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","East Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","West Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","West Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","West Germany","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","East Germany","","","",""
