"plh0212","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","74","0.0056314622516724","0.00452216169590169","0.00674076280744311"
"1 Strongly disagree","2005","direct migration background","","","",""
"1 Strongly disagree","2005","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no migration background","77","0.00470664891015401","0.00369204528942185","0.00572125253088617"
"2 on scale 1-7 ","2005","direct migration background","","","",""
"2 on scale 1-7 ","2005","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no migration background","229","0.0135585892330269","0.0118442062222721","0.0152729722437817"
"3 on scale 1-7 ","2005","direct migration background","40","0.0190223078115147","0.0135110178892133","0.0245335977338161"
"3 on scale 1-7 ","2005","indirect migration background","","","",""
"4 on scale 1-7","2005","no migration background","659","0.0399973468159717","0.0370925432893456","0.0429021503425978"
"4 on scale 1-7","2005","direct migration background","143","0.0593856333983011","0.049850240557977","0.0689210262386253"
"4 on scale 1-7","2005","indirect migration background","61","0.0695008312972168","0.05218976498161","0.0868118976128236"
"5 on scale 1-7","2005","no migration background","2305","0.128021577054277","0.123068678757197","0.132974475351357"
"5 on scale 1-7","2005","direct migration background","292","0.127001191150763","0.113567269464521","0.140435112837006"
"5 on scale 1-7","2005","indirect migration background","139","0.177300862403542","0.151302453456391","0.203299271350693"
"6 on scale 1-7","2005","no migration background","5817","0.319790634026474","0.312876797154205","0.326704470898743"
"6 on scale 1-7","2005","direct migration background","705","0.296885368567708","0.278452218675587","0.315318518459829"
"6 on scale 1-7","2005","indirect migration background","246","0.299471248119306","0.268292306095485","0.330650190143128"
"7 Strongly agree","2005","no migration background","8320","0.488293741708424","0.480883781122571","0.495703702294278"
"7 Strongly agree","2005","direct migration background","1153","0.487079054083972","0.466913180805638","0.507244927362306"
"7 Strongly agree","2005","indirect migration background","354","0.41799990460605","0.384424562614863","0.451575246597236"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
"7 Strongly agree","2008","indirect migration background","","","",""
"1 Strongly disagree","2009","no migration background","60","0.00474752122229455","0.00366934166083162","0.00582570078375748"
"1 Strongly disagree","2009","direct migration background","","","",""
"1 Strongly disagree","2009","indirect migration background","","","",""
"2 on scale 1-7 ","2009","no migration background","94","0.00692640956903845","0.00562553386085729","0.0082272852772196"
"2 on scale 1-7 ","2009","direct migration background","","","",""
"2 on scale 1-7 ","2009","indirect migration background","","","",""
"3 on scale 1-7 ","2009","no migration background","276","0.0214169291949067","0.0191461837424644","0.0236876746473489"
"3 on scale 1-7 ","2009","direct migration background","","","",""
"3 on scale 1-7 ","2009","indirect migration background","","","",""
"4 on scale 1-7","2009","no migration background","769","0.0536094774930714","0.0500764502854271","0.0571425047007157"
"4 on scale 1-7","2009","direct migration background","87","0.0528572339958541","0.0420513268547439","0.0636631411369644"
"4 on scale 1-7","2009","indirect migration background","35","0.0422566014106207","0.0274798162122666","0.0570333866089748"
"5 on scale 1-7","2009","no migration background","2129","0.136099519496306","0.130721143534065","0.141477895458546"
"5 on scale 1-7","2009","direct migration background","238","0.132354235779436","0.115988277517144","0.148720194041727"
"5 on scale 1-7","2009","indirect migration background","97","0.143394923590373","0.117651559171592","0.169138288009154"
"6 on scale 1-7","2009","no migration background","5240","0.321897414526282","0.314569212259282","0.329225616793283"
"6 on scale 1-7","2009","direct migration background","491","0.287230418224763","0.265378423578429","0.309082412871097"
"6 on scale 1-7","2009","indirect migration background","233","0.330474063588705","0.295923074267742","0.365025052909667"
"7 Strongly agree","2009","no migration background","7046","0.455302728498101","0.447491511013349","0.463113945982853"
"7 Strongly agree","2009","direct migration background","788","0.499169696024011","0.475022278190818","0.523317113857204"
"7 Strongly agree","2009","indirect migration background","314","0.428806894527311","0.39245471518332","0.465159073871301"
"1 Strongly disagree","2010","no migration background","","","",""
"1 Strongly disagree","2010","direct migration background","","","",""
"1 Strongly disagree","2010","indirect migration background","","","",""
"2 on scale 1-7 ","2010","no migration background","","","",""
"2 on scale 1-7 ","2010","direct migration background","","","",""
"2 on scale 1-7 ","2010","indirect migration background","","","",""
"3 on scale 1-7 ","2010","no migration background","","","",""
"3 on scale 1-7 ","2010","direct migration background","","","",""
"3 on scale 1-7 ","2010","indirect migration background","","","",""
"4 on scale 1-7","2010","no migration background","","","",""
"4 on scale 1-7","2010","direct migration background","","","",""
"4 on scale 1-7","2010","indirect migration background","","","",""
"5 on scale 1-7","2010","no migration background","","","",""
"5 on scale 1-7","2010","direct migration background","","","",""
"5 on scale 1-7","2010","indirect migration background","","","",""
"6 on scale 1-7","2010","no migration background","","","",""
"6 on scale 1-7","2010","direct migration background","","","",""
"6 on scale 1-7","2010","indirect migration background","","","",""
"7 Strongly agree","2010","no migration background","","","",""
"7 Strongly agree","2010","direct migration background","","","",""
"7 Strongly agree","2010","indirect migration background","","","",""
"1 Strongly disagree","2011","no migration background","","","",""
"1 Strongly disagree","2011","direct migration background","","","",""
"1 Strongly disagree","2011","indirect migration background","","","",""
"2 on scale 1-7 ","2011","no migration background","","","",""
"2 on scale 1-7 ","2011","direct migration background","","","",""
"2 on scale 1-7 ","2011","indirect migration background","","","",""
"3 on scale 1-7 ","2011","no migration background","","","",""
"3 on scale 1-7 ","2011","direct migration background","","","",""
"3 on scale 1-7 ","2011","indirect migration background","","","",""
"4 on scale 1-7","2011","no migration background","","","",""
"4 on scale 1-7","2011","direct migration background","","","",""
"4 on scale 1-7","2011","indirect migration background","","","",""
"5 on scale 1-7","2011","no migration background","","","",""
"5 on scale 1-7","2011","direct migration background","","","",""
"5 on scale 1-7","2011","indirect migration background","","","",""
"6 on scale 1-7","2011","no migration background","","","",""
"6 on scale 1-7","2011","direct migration background","","","",""
"6 on scale 1-7","2011","indirect migration background","","","",""
"7 Strongly agree","2011","no migration background","","","",""
"7 Strongly agree","2011","direct migration background","","","",""
"7 Strongly agree","2011","indirect migration background","","","",""
"1 Strongly disagree","2012","no migration background","","","",""
"1 Strongly disagree","2012","direct migration background","","","",""
"1 Strongly disagree","2012","indirect migration background","","","",""
"2 on scale 1-7 ","2012","no migration background","","","",""
"2 on scale 1-7 ","2012","direct migration background","","","",""
"2 on scale 1-7 ","2012","indirect migration background","","","",""
"3 on scale 1-7 ","2012","no migration background","57","0.0110952068520555","0.00834040671489848","0.0138500069892125"
"3 on scale 1-7 ","2012","direct migration background","","","",""
"3 on scale 1-7 ","2012","indirect migration background","","","",""
"4 on scale 1-7","2012","no migration background","188","0.0370625289866334","0.0320941842559651","0.0420308737173017"
"4 on scale 1-7","2012","direct migration background","63","0.0553353020162537","0.0417623339462341","0.0689082700862732"
"4 on scale 1-7","2012","indirect migration background","","","",""
"5 on scale 1-7","2012","no migration background","847","0.152788493268685","0.143326417961635","0.162250568575735"
"5 on scale 1-7","2012","direct migration background","155","0.131324956390385","0.111273905139974","0.151376007640797"
"5 on scale 1-7","2012","indirect migration background","101","0.205772531448976","0.169756856174998","0.241788206722955"
"6 on scale 1-7","2012","no migration background","2148","0.378570908362525","0.365814906848084","0.391326909876966"
"6 on scale 1-7","2012","direct migration background","297","0.263948323424012","0.237781653923532","0.290114992924492"
"6 on scale 1-7","2012","indirect migration background","159","0.320937374407242","0.2793472258133","0.362527523001184"
"7 Strongly agree","2012","no migration background","2286","0.415028525693287","0.402070123014534","0.42798692837204"
"7 Strongly agree","2012","direct migration background","552","0.528368853128884","0.498733869919448","0.558003836338319"
"7 Strongly agree","2012","indirect migration background","191","0.409352664488006","0.365546185696721","0.453159143279292"
"1 Strongly disagree","2013","no migration background","43","0.00320884037061188","0.002344612863603","0.00407306787762076"
"1 Strongly disagree","2013","direct migration background","","","",""
"1 Strongly disagree","2013","indirect migration background","","","",""
"2 on scale 1-7 ","2013","no migration background","76","0.00552587753673296","0.00439308778545754","0.00665866728800838"
"2 on scale 1-7 ","2013","direct migration background","","","",""
"2 on scale 1-7 ","2013","indirect migration background","","","",""
"3 on scale 1-7 ","2013","no migration background","218","0.013862160290917","0.0120755237590883","0.0156487968227457"
"3 on scale 1-7 ","2013","direct migration background","","","",""
"3 on scale 1-7 ","2013","indirect migration background","","","",""
"4 on scale 1-7","2013","no migration background","651","0.0385129941399766","0.0355724527871501","0.0414535354928032"
"4 on scale 1-7","2013","direct migration background","87","0.055094355214344","0.044174186861304","0.0660145235673841"
"4 on scale 1-7","2013","indirect migration background","32","0.0626476442903549","0.0448853574047948","0.0804099311759151"
"5 on scale 1-7","2013","no migration background","2292","0.13795527162748","0.13268557043246","0.1432249728225"
"5 on scale 1-7","2013","direct migration background","199","0.110417768828571","0.0954176709426001","0.125417866714543"
"5 on scale 1-7","2013","indirect migration background","96","0.136919944130394","0.111722646421281","0.162117241839507"
"6 on scale 1-7","2013","no migration background","5826","0.348500822394051","0.341219491303081","0.355782153485021"
"6 on scale 1-7","2013","direct migration background","519","0.308886724146047","0.286773310032854","0.33100013825924"
"6 on scale 1-7","2013","indirect migration background","251","0.365428440712232","0.330131542353914","0.400725339070551"
"7 Strongly agree","2013","no migration background","7345","0.452434033640231","0.444828182931299","0.460039884349162"
"7 Strongly agree","2013","direct migration background","838","0.506550594922451","0.482622160240823","0.530479029604078"
"7 Strongly agree","2013","indirect migration background","320","0.409394953172045","0.373352454651958","0.445437451692133"
"1 Strongly disagree","2014","no migration background","","","",""
"1 Strongly disagree","2014","direct migration background","","","",""
"1 Strongly disagree","2014","indirect migration background","","","",""
"2 on scale 1-7 ","2014","no migration background","","","",""
"2 on scale 1-7 ","2014","direct migration background","","","",""
"2 on scale 1-7 ","2014","indirect migration background","","","",""
"3 on scale 1-7 ","2014","no migration background","","","",""
"3 on scale 1-7 ","2014","direct migration background","","","",""
"3 on scale 1-7 ","2014","indirect migration background","","","",""
"4 on scale 1-7","2014","no migration background","","","",""
"4 on scale 1-7","2014","direct migration background","","","",""
"4 on scale 1-7","2014","indirect migration background","","","",""
"5 on scale 1-7","2014","no migration background","","","",""
"5 on scale 1-7","2014","direct migration background","","","",""
"5 on scale 1-7","2014","indirect migration background","","","",""
"6 on scale 1-7","2014","no migration background","","","",""
"6 on scale 1-7","2014","direct migration background","","","",""
"6 on scale 1-7","2014","indirect migration background","","","",""
"7 Strongly agree","2014","no migration background","","","",""
"7 Strongly agree","2014","direct migration background","","","",""
"7 Strongly agree","2014","indirect migration background","","","",""
"1 Strongly disagree","2015","no migration background","","","",""
"1 Strongly disagree","2015","direct migration background","","","",""
"1 Strongly disagree","2015","indirect migration background","","","",""
"2 on scale 1-7 ","2015","no migration background","","","",""
