"plh0212","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","no migration background","4","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","direct migration background","1","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","indirect migration background","","","",""
"1 Strongly disagree","2005","Hamburg","no migration background","2","","",""
"1 Strongly disagree","2005","Hamburg","direct migration background","","","",""
"1 Strongly disagree","2005","Hamburg","indirect migration background","","","",""
"1 Strongly disagree","2005","Lower Saxony","no migration background","6","","",""
"1 Strongly disagree","2005","Lower Saxony","direct migration background","1","","",""
"1 Strongly disagree","2005","Lower Saxony","indirect migration background","2","","",""
"1 Strongly disagree","2005","Bremen","no migration background","","","",""
"1 Strongly disagree","2005","Bremen","direct migration background","1","","",""
"1 Strongly disagree","2005","Bremen","indirect migration background","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no migration background","21","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","direct migration background","3","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","indirect migration background","1","","",""
"1 Strongly disagree","2005","Hesse","no migration background","2","","",""
"1 Strongly disagree","2005","Hesse","direct migration background","","","",""
"1 Strongly disagree","2005","Hesse","indirect migration background","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no migration background","5","","",""
"1 Strongly disagree","2005","Baden-Württemberg","direct migration background","3","","",""
"1 Strongly disagree","2005","Baden-Württemberg","indirect migration background","2","","",""
"1 Strongly disagree","2005","Bavaria","no migration background","9","","",""
"1 Strongly disagree","2005","Bavaria","direct migration background","5","","",""
"1 Strongly disagree","2005","Bavaria","indirect migration background","1","","",""
"1 Strongly disagree","2005","Berlin","no migration background","2","","",""
"1 Strongly disagree","2005","Berlin","direct migration background","","","",""
"1 Strongly disagree","2005","Berlin","indirect migration background","1","","",""
"1 Strongly disagree","2005","Brandenburg","no migration background","3","","",""
"1 Strongly disagree","2005","Brandenburg","direct migration background","","","",""
"1 Strongly disagree","2005","Brandenburg","indirect migration background","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no migration background","1","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"1 Strongly disagree","2005","Saxony","no migration background","11","","",""
"1 Strongly disagree","2005","Saxony","direct migration background","","","",""
"1 Strongly disagree","2005","Saxony","indirect migration background","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","no migration background","3","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","direct migration background","2","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","indirect migration background","","","",""
"1 Strongly disagree","2005","Thuringia","no migration background","3","","",""
"1 Strongly disagree","2005","Thuringia","direct migration background","","","",""
"1 Strongly disagree","2005","Thuringia","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","no migration background","2","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","direct migration background","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Hamburg","no migration background","","","",""
"2 on scale 1-7 ","2005","Hamburg","direct migration background","","","",""
"2 on scale 1-7 ","2005","Hamburg","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","no migration background","10","","",""
"2 on scale 1-7 ","2005","Lower Saxony","direct migration background","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Bremen","no migration background","2","","",""
"2 on scale 1-7 ","2005","Bremen","direct migration background","","","",""
"2 on scale 1-7 ","2005","Bremen","indirect migration background","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","no migration background","17","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","direct migration background","3","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Hesse","no migration background","5","","",""
"2 on scale 1-7 ","2005","Hesse","direct migration background","1","","",""
"2 on scale 1-7 ","2005","Hesse","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no migration background","4","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","no migration background","6","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","direct migration background","4","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Bavaria","no migration background","8","","",""
"2 on scale 1-7 ","2005","Bavaria","direct migration background","3","","",""
"2 on scale 1-7 ","2005","Bavaria","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Berlin","no migration background","2","","",""
"2 on scale 1-7 ","2005","Berlin","direct migration background","","","",""
"2 on scale 1-7 ","2005","Berlin","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Brandenburg","no migration background","5","","",""
"2 on scale 1-7 ","2005","Brandenburg","direct migration background","","","",""
"2 on scale 1-7 ","2005","Brandenburg","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no migration background","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Saxony","no migration background","4","","",""
"2 on scale 1-7 ","2005","Saxony","direct migration background","","","",""
"2 on scale 1-7 ","2005","Saxony","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","no migration background","2","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","direct migration background","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Thuringia","no migration background","10","","",""
"2 on scale 1-7 ","2005","Thuringia","direct migration background","","","",""
"2 on scale 1-7 ","2005","Thuringia","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","no migration background","5","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","direct migration background","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","indirect migration background","1","","",""
"3 on scale 1-7 ","2005","Hamburg","no migration background","4","","",""
"3 on scale 1-7 ","2005","Hamburg","direct migration background","","","",""
"3 on scale 1-7 ","2005","Hamburg","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","no migration background","21","","",""
