"plh0212","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","Male","33","0.00480831464375906","0.00323836142888342","0.0063782678586347"
"1 Strongly disagree","2005","West Germany","Female","40","0.00703868592199048","0.00522566763699497","0.00885170420698599"
"1 Strongly disagree","2005","East Germany","Male","12","","",""
"1 Strongly disagree","2005","East Germany","Female","12","","",""
"2 on scale 1-7 ","2005","West Germany","Male","37","0.00429423078212594","0.00281019250168437","0.00577826906256751"
"2 on scale 1-7 ","2005","West Germany","Female","31","0.00442634623797125","0.00298672045765918","0.00586597201828331"
"2 on scale 1-7 ","2005","East Germany","Male","9","","",""
"2 on scale 1-7 ","2005","East Germany","Female","13","","",""
"3 on scale 1-7 ","2005","West Germany","Male","126","0.0181646126302994","0.0151337286494432","0.0211954966111557"
"3 on scale 1-7 ","2005","West Germany","Female","99","0.0117448850594164","0.00940847457000156","0.0140812955488312"
"3 on scale 1-7 ","2005","East Germany","Male","29","","",""
"3 on scale 1-7 ","2005","East Germany","Female","35","0.0167802834481017","0.0118656502339031","0.0216949166623003"
"4 on scale 1-7","2005","West Germany","Male","334","0.044218239579746","0.0395525375998029","0.0488839415596891"
"4 on scale 1-7","2005","West Germany","Female","376","0.0480428611184574","0.0434050468151504","0.0526806754217644"
"4 on scale 1-7","2005","East Germany","Male","79","0.0318683250287183","0.0248701106584652","0.0388665393989714"
"4 on scale 1-7","2005","East Germany","Female","74","0.0333767936771308","0.0265042566025389","0.0402493307517227"
"5 on scale 1-7","2005","West Germany","Male","1008","0.132642254097058","0.124944270542808","0.140340237651308"
"5 on scale 1-7","2005","West Germany","Female","1097","0.127402757119091","0.120171953644828","0.134633560593354"
"5 on scale 1-7","2005","East Germany","Male","323","0.135824502782691","0.122174572159098","0.149474433406284"
"5 on scale 1-7","2005","East Germany","Female","308","0.122516115741635","0.109970777937637","0.135061453545633"
"6 on scale 1-7","2005","West Germany","Male","2502","0.325801452379884","0.31516474245215","0.336438162307619"
"6 on scale 1-7","2005","West Germany","Female","2558","0.303498322467081","0.29352753504121","0.313469109892952"
"6 on scale 1-7","2005","East Germany","Male","847","0.339140553941089","0.320278680711837","0.358002427170341"
"6 on scale 1-7","2005","East Germany","Female","861","0.308450153649116","0.290778775692067","0.326121531606165"
"7 Strongly agree","2005","West Germany","Male","3418","0.470070895887127","0.458743568079471","0.481398223694783"
"7 Strongly agree","2005","West Germany","Female","3967","0.497846142075993","0.487002973709408","0.508689310442577"
"7 Strongly agree","2005","East Germany","Male","1121","0.471812359500624","0.45192307399411","0.491701645007137"
"7 Strongly agree","2005","East Germany","Female","1321","0.507504605812734","0.488375826518945","0.526633385106523"
"1 Strongly disagree","2006","West Germany","Male","","","",""
"1 Strongly disagree","2006","West Germany","Female","","","",""
"1 Strongly disagree","2006","East Germany","Male","","","",""
"1 Strongly disagree","2006","East Germany","Female","","","",""
"2 on scale 1-7 ","2006","West Germany","Male","","","",""
"2 on scale 1-7 ","2006","West Germany","Female","","","",""
"2 on scale 1-7 ","2006","East Germany","Male","","","",""
"2 on scale 1-7 ","2006","East Germany","Female","","","",""
"3 on scale 1-7 ","2006","West Germany","Male","","","",""
"3 on scale 1-7 ","2006","West Germany","Female","","","",""
"3 on scale 1-7 ","2006","East Germany","Male","","","",""
"3 on scale 1-7 ","2006","East Germany","Female","","","",""
"4 on scale 1-7","2006","West Germany","Male","","","",""
"4 on scale 1-7","2006","West Germany","Female","","","",""
"4 on scale 1-7","2006","East Germany","Male","","","",""
"4 on scale 1-7","2006","East Germany","Female","","","",""
"5 on scale 1-7","2006","West Germany","Male","","","",""
"5 on scale 1-7","2006","West Germany","Female","","","",""
"5 on scale 1-7","2006","East Germany","Male","","","",""
"5 on scale 1-7","2006","East Germany","Female","","","",""
"6 on scale 1-7","2006","West Germany","Male","","","",""
"6 on scale 1-7","2006","West Germany","Female","","","",""
"6 on scale 1-7","2006","East Germany","Male","","","",""
"6 on scale 1-7","2006","East Germany","Female","","","",""
"7 Strongly agree","2006","West Germany","Male","","","",""
"7 Strongly agree","2006","West Germany","Female","","","",""
"7 Strongly agree","2006","East Germany","Male","","","",""
"7 Strongly agree","2006","East Germany","Female","","","",""
"1 Strongly disagree","2007","West Germany","Male","","","",""
"1 Strongly disagree","2007","West Germany","Female","","","",""
"1 Strongly disagree","2007","East Germany","Male","","","",""
"1 Strongly disagree","2007","East Germany","Female","","","",""
"2 on scale 1-7 ","2007","West Germany","Male","","","",""
"2 on scale 1-7 ","2007","West Germany","Female","","","",""
"2 on scale 1-7 ","2007","East Germany","Male","","","",""
"2 on scale 1-7 ","2007","East Germany","Female","","","",""
"3 on scale 1-7 ","2007","West Germany","Male","","","",""
"3 on scale 1-7 ","2007","West Germany","Female","","","",""
"3 on scale 1-7 ","2007","East Germany","Male","","","",""
"3 on scale 1-7 ","2007","East Germany","Female","","","",""
"4 on scale 1-7","2007","West Germany","Male","","","",""
"4 on scale 1-7","2007","West Germany","Female","","","",""
"4 on scale 1-7","2007","East Germany","Male","","","",""
"4 on scale 1-7","2007","East Germany","Female","","","",""
"5 on scale 1-7","2007","West Germany","Male","","","",""
"5 on scale 1-7","2007","West Germany","Female","","","",""
"5 on scale 1-7","2007","East Germany","Male","","","",""
"5 on scale 1-7","2007","East Germany","Female","","","",""
"6 on scale 1-7","2007","West Germany","Male","","","",""
"6 on scale 1-7","2007","West Germany","Female","","","",""
"6 on scale 1-7","2007","East Germany","Male","","","",""
"6 on scale 1-7","2007","East Germany","Female","","","",""
"7 Strongly agree","2007","West Germany","Male","","","",""
"7 Strongly agree","2007","West Germany","Female","","","",""
"7 Strongly agree","2007","East Germany","Male","","","",""
"7 Strongly agree","2007","East Germany","Female","","","",""
"1 Strongly disagree","2008","West Germany","Male","","","",""
"1 Strongly disagree","2008","West Germany","Female","","","",""
"1 Strongly disagree","2008","East Germany","Male","","","",""
"1 Strongly disagree","2008","East Germany","Female","","","",""
"2 on scale 1-7 ","2008","West Germany","Male","","","",""
"2 on scale 1-7 ","2008","West Germany","Female","","","",""
"2 on scale 1-7 ","2008","East Germany","Male","","","",""
"2 on scale 1-7 ","2008","East Germany","Female","","","",""
"3 on scale 1-7 ","2008","West Germany","Male","","","",""
"3 on scale 1-7 ","2008","West Germany","Female","","","",""
"3 on scale 1-7 ","2008","East Germany","Male","","","",""
"3 on scale 1-7 ","2008","East Germany","Female","","","",""
"4 on scale 1-7","2008","West Germany","Male","","","",""
"4 on scale 1-7","2008","West Germany","Female","","","",""
"4 on scale 1-7","2008","East Germany","Male","","","",""
"4 on scale 1-7","2008","East Germany","Female","","","",""
"5 on scale 1-7","2008","West Germany","Male","","","",""
"5 on scale 1-7","2008","West Germany","Female","","","",""
"5 on scale 1-7","2008","East Germany","Male","","","",""
"5 on scale 1-7","2008","East Germany","Female","","","",""
"6 on scale 1-7","2008","West Germany","Male","","","",""
"6 on scale 1-7","2008","West Germany","Female","","","",""
"6 on scale 1-7","2008","East Germany","Male","","","",""
"6 on scale 1-7","2008","East Germany","Female","","","",""
"7 Strongly agree","2008","West Germany","Male","","","",""
"7 Strongly agree","2008","West Germany","Female","","","",""
"7 Strongly agree","2008","East Germany","Male","","","",""
"7 Strongly agree","2008","East Germany","Female","","","",""
"1 Strongly disagree","2009","West Germany","Male","22","","",""
"1 Strongly disagree","2009","West Germany","Female","24","","",""
"1 Strongly disagree","2009","East Germany","Male","14","","",""
"1 Strongly disagree","2009","East Germany","Female","10","","",""
"2 on scale 1-7 ","2009","West Germany","Male","51","0.00901618301167579","0.00669983101534896","0.0113325350080026"
"2 on scale 1-7 ","2009","West Germany","Female","39","0.00688746209421403","0.00495484915279236","0.0088200750356357"
"2 on scale 1-7 ","2009","East Germany","Male","14","","",""
"2 on scale 1-7 ","2009","East Germany","Female","10","","",""
"3 on scale 1-7 ","2009","West Germany","Male","142","0.0250510446657853","0.0212213533018408","0.0288807360297298"
"3 on scale 1-7 ","2009","West Germany","Female","111","0.0183489450159507","0.0152127709541338","0.0214851190777677"
"3 on scale 1-7 ","2009","East Germany","Male","36","0.0156804411126452","0.0104700662571383","0.0208908159681521"
"3 on scale 1-7 ","2009","East Germany","Female","33","0.0210073982797458","0.0152178572064461","0.0267969393530456"
"4 on scale 1-7","2009","West Germany","Male","331","0.0547035152880032","0.0491309963285945","0.0602760342474118"
"4 on scale 1-7","2009","West Germany","Female","335","0.0534209528450919","0.048166224142608","0.0586756815475757"
"4 on scale 1-7","2009","East Germany","Male","107","0.0495842524572385","0.0404798704706988","0.0586886344437782"
"4 on scale 1-7","2009","East Germany","Female","118","0.0467827196493846","0.0382574723495391","0.0553079669492302"
"5 on scale 1-7","2009","West Germany","Male","912","0.140702624308218","0.132181777503387","0.149223471113048"
"5 on scale 1-7","2009","West Germany","Female","926","0.126893836532635","0.11911580264069","0.13467187042458"
"5 on scale 1-7","2009","East Germany","Male","335","0.168005453665699","0.152325538682006","0.183685368649391"
"5 on scale 1-7","2009","East Germany","Female","291","0.125526449925859","0.112150973445329","0.13890192640639"
"6 on scale 1-7","2009","West Germany","Male","2158","0.333470236795343","0.321917144889706","0.345023328700981"
"6 on scale 1-7","2009","West Germany","Female","2284","0.302870148882592","0.29213269984772","0.313607597917463"
"6 on scale 1-7","2009","East Germany","Male","776","0.335522195855314","0.315719576434783","0.355324815275845"
"6 on scale 1-7","2009","East Germany","Female","746","0.304034014832832","0.285463523507671","0.322604506157992"
"7 Strongly agree","2009","West Germany","Male","2781","0.431769033953343","0.419631006645978","0.443907061260708"
"7 Strongly agree","2009","West Germany","Female","3316","0.486196522851881","0.474517124159777","0.497875921543985"
"7 Strongly agree","2009","East Germany","Male","902","0.417246523714282","0.39656604565097","0.437927001777594"
"7 Strongly agree","2009","East Germany","Female","1149","0.496864104565445","0.476679057687324","0.517049151443567"
"1 Strongly disagree","2010","West Germany","Male","","","",""
"1 Strongly disagree","2010","West Germany","Female","","","",""
"1 Strongly disagree","2010","East Germany","Male","","","",""
"1 Strongly disagree","2010","East Germany","Female","","","",""
"2 on scale 1-7 ","2010","West Germany","Male","","","",""
"2 on scale 1-7 ","2010","West Germany","Female","","","",""
"2 on scale 1-7 ","2010","East Germany","Male","","","",""
"2 on scale 1-7 ","2010","East Germany","Female","","","",""
"3 on scale 1-7 ","2010","West Germany","Male","","","",""
"3 on scale 1-7 ","2010","West Germany","Female","","","",""
"3 on scale 1-7 ","2010","East Germany","Male","","","",""
"3 on scale 1-7 ","2010","East Germany","Female","","","",""
"4 on scale 1-7","2010","West Germany","Male","","","",""
"4 on scale 1-7","2010","West Germany","Female","","","",""
"4 on scale 1-7","2010","East Germany","Male","","","",""
"4 on scale 1-7","2010","East Germany","Female","","","",""
"5 on scale 1-7","2010","West Germany","Male","","","",""
"5 on scale 1-7","2010","West Germany","Female","","","",""
"5 on scale 1-7","2010","East Germany","Male","","","",""
