"plh0212","year","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","14","","",""
"1 Strongly disagree","2005","Part Time","7","","",""
"1 Strongly disagree","2005","Not Working","76","0.011956940236688","0.0095479076220203","0.0143659728513557"
"2 on scale 1-7 ","2005","Full Time","17","","",""
"2 on scale 1-7 ","2005","Part Time","16","","",""
"2 on scale 1-7 ","2005","Not Working","57","0.00748481484703116","0.00557450495170868","0.00939512474235363"
"3 on scale 1-7 ","2005","Full Time","66","0.010060302182681","0.00787784302939993","0.0122427613359621"
"3 on scale 1-7 ","2005","Part Time","70","0.0153164924581374","0.0118487831365815","0.0187842017796934"
"3 on scale 1-7 ","2005","Not Working","153","0.0187898391514141","0.0157803882373883","0.0217992900654398"
"4 on scale 1-7","2005","Full Time","183","0.0239152580203945","0.0205739421112791","0.0272565739295099"
"4 on scale 1-7","2005","Part Time","175","0.0390278022329758","0.0335594415443373","0.0444961629216143"
"4 on scale 1-7","2005","Not Working","505","0.0647213866905754","0.0592683411692347","0.070174432211916"
"5 on scale 1-7","2005","Full Time","869","0.102781644063571","0.0961404970182952","0.109422791108846"
"5 on scale 1-7","2005","Part Time","627","0.124207782002408","0.114894781263331","0.133520782741485"
"5 on scale 1-7","2005","Not Working","1240","0.158091863119847","0.150005898685544","0.166177827554149"
"6 on scale 1-7","2005","Full Time","2744","0.33432827837229","0.324011292136623","0.344645264607956"
"6 on scale 1-7","2005","Part Time","1668","0.342100029848972","0.328704151881979","0.355495907815965"
"6 on scale 1-7","2005","Not Working","2356","0.284192935667626","0.274196404055873","0.294189467279378"
"7 Strongly agree","2005","Full Time","4139","0.525194889820247","0.514274096720946","0.536115682919547"
"7 Strongly agree","2005","Part Time","2255","0.474102999405861","0.4600035747351","0.488202424076623"
"7 Strongly agree","2005","Not Working","3433","0.454762220286819","0.44372575824634","0.465798682327299"
"1 Strongly disagree","2006","Full Time","","","",""
"1 Strongly disagree","2006","Part Time","","","",""
"1 Strongly disagree","2006","Not Working","","","",""
"2 on scale 1-7 ","2006","Full Time","","","",""
"2 on scale 1-7 ","2006","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Working","","","",""
"3 on scale 1-7 ","2006","Full Time","","","",""
"3 on scale 1-7 ","2006","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Working","","","",""
"4 on scale 1-7","2006","Full Time","","","",""
"4 on scale 1-7","2006","Part Time","","","",""
"4 on scale 1-7","2006","Not Working","","","",""
"5 on scale 1-7","2006","Full Time","","","",""
"5 on scale 1-7","2006","Part Time","","","",""
"5 on scale 1-7","2006","Not Working","","","",""
"6 on scale 1-7","2006","Full Time","","","",""
"6 on scale 1-7","2006","Part Time","","","",""
"6 on scale 1-7","2006","Not Working","","","",""
"7 Strongly agree","2006","Full Time","","","",""
"7 Strongly agree","2006","Part Time","","","",""
"7 Strongly agree","2006","Not Working","","","",""
"1 Strongly disagree","2007","Full Time","","","",""
"1 Strongly disagree","2007","Part Time","","","",""
"1 Strongly disagree","2007","Not Working","","","",""
"2 on scale 1-7 ","2007","Full Time","","","",""
"2 on scale 1-7 ","2007","Part Time","","","",""
"2 on scale 1-7 ","2007","Not Working","","","",""
"3 on scale 1-7 ","2007","Full Time","","","",""
"3 on scale 1-7 ","2007","Part Time","","","",""
"3 on scale 1-7 ","2007","Not Working","","","",""
"4 on scale 1-7","2007","Full Time","","","",""
"4 on scale 1-7","2007","Part Time","","","",""
"4 on scale 1-7","2007","Not Working","","","",""
"5 on scale 1-7","2007","Full Time","","","",""
"5 on scale 1-7","2007","Part Time","","","",""
"5 on scale 1-7","2007","Not Working","","","",""
"6 on scale 1-7","2007","Full Time","","","",""
"6 on scale 1-7","2007","Part Time","","","",""
"6 on scale 1-7","2007","Not Working","","","",""
"7 Strongly agree","2007","Full Time","","","",""
"7 Strongly agree","2007","Part Time","","","",""
"7 Strongly agree","2007","Not Working","","","",""
"1 Strongly disagree","2008","Full Time","","","",""
"1 Strongly disagree","2008","Part Time","","","",""
"1 Strongly disagree","2008","Not Working","","","",""
"2 on scale 1-7 ","2008","Full Time","","","",""
"2 on scale 1-7 ","2008","Part Time","","","",""
"2 on scale 1-7 ","2008","Not Working","","","",""
"3 on scale 1-7 ","2008","Full Time","","","",""
"3 on scale 1-7 ","2008","Part Time","","","",""
"3 on scale 1-7 ","2008","Not Working","","","",""
"4 on scale 1-7","2008","Full Time","","","",""
"4 on scale 1-7","2008","Part Time","","","",""
"4 on scale 1-7","2008","Not Working","","","",""
"5 on scale 1-7","2008","Full Time","","","",""
"5 on scale 1-7","2008","Part Time","","","",""
"5 on scale 1-7","2008","Not Working","","","",""
"6 on scale 1-7","2008","Full Time","","","",""
"6 on scale 1-7","2008","Part Time","","","",""
"6 on scale 1-7","2008","Not Working","","","",""
"7 Strongly agree","2008","Full Time","","","",""
"7 Strongly agree","2008","Part Time","","","",""
"7 Strongly agree","2008","Not Working","","","",""
"1 Strongly disagree","2009","Full Time","8","","",""
"1 Strongly disagree","2009","Part Time","8","","",""
"1 Strongly disagree","2009","Not Working","54","0.0110977992673942","0.00859958020061527","0.0135960183341731"
"2 on scale 1-7 ","2009","Full Time","30","0.00548460994262517","0.00375398954545135","0.00721523033979898"
"2 on scale 1-7 ","2009","Part Time","20","","",""
"2 on scale 1-7 ","2009","Not Working","64","0.0106915206193356","0.00823895283672992","0.0131440884019412"
"3 on scale 1-7 ","2009","Full Time","87","0.0153278253876929","0.0124490399604266","0.0182066108149592"
"3 on scale 1-7 ","2009","Part Time","81","0.0230764797133578","0.0185474617976578","0.0276054976290577"
"3 on scale 1-7 ","2009","Not Working","154","0.0255564524693643","0.0217931940604508","0.0293197108782779"
"4 on scale 1-7","2009","Full Time","236","0.0347721864165254","0.0304792534788931","0.0390651193541577"
"4 on scale 1-7","2009","Part Time","175","0.0463798796224706","0.0400361964007925","0.0527235628441487"
