"plh0212","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Not Employed","10","","",""
"1 Strongly disagree","2005","16-34 y.","Employed","3","","",""
"1 Strongly disagree","2005","35-65 y.","Not Employed","26","","",""
"1 Strongly disagree","2005","35-65 y.","Employed","17","","",""
"1 Strongly disagree","2005","66 and older","Not Employed","40","0.0139803893815478","0.0101056029414894","0.0178551758216062"
"1 Strongly disagree","2005","66 and older","Employed","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","14","","",""
"2 on scale 1-7 ","2005","16-34 y.","Employed","10","","",""
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","18","","",""
"2 on scale 1-7 ","2005","35-65 y.","Employed","23","","",""
"2 on scale 1-7 ","2005","66 and older","Not Employed","25","","",""
"2 on scale 1-7 ","2005","66 and older","Employed","","","",""
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","61","0.034510009064338","0.0256020680634774","0.0434179500651987"
"3 on scale 1-7 ","2005","16-34 y.","Employed","54","0.0174599592576709","0.0132436394960102","0.0216762790193317"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","47","0.0163238130543975","0.0115262843790665","0.0211213417297285"
"3 on scale 1-7 ","2005","35-65 y.","Employed","78","0.00950069200995385","0.00748711720185321","0.0115142668180545"
"3 on scale 1-7 ","2005","66 and older","Not Employed","45","0.0150427848931246","0.0110256337996185","0.0190599359866307"
"3 on scale 1-7 ","2005","66 and older","Employed","4","","",""
"4 on scale 1-7","2005","16-34 y.","Not Employed","173","0.114217634595505","0.0986951583755354","0.129740110815475"
"4 on scale 1-7","2005","16-34 y.","Employed","159","0.0442704742408234","0.0376488979571147","0.0508920505245321"
"4 on scale 1-7","2005","35-65 y.","Not Employed","153","0.0582213155963516","0.0493559606218248","0.0670866705708783"
"4 on scale 1-7","2005","35-65 y.","Employed","191","0.0218150610846558","0.0187829035324478","0.0248472186368639"
"4 on scale 1-7","2005","66 and older","Not Employed","179","0.0521408125887935","0.0448040211993102","0.0594776039782768"
"4 on scale 1-7","2005","66 and older","Employed","8","","",""
"5 on scale 1-7","2005","16-34 y.","Not Employed","371","0.230219420338239","0.209675403585407","0.25076343709107"
"5 on scale 1-7","2005","16-34 y.","Employed","556","0.150409973870537","0.138902504739462","0.161917443001613"
"5 on scale 1-7","2005","35-65 y.","Not Employed","393","0.153942832038309","0.140279384785185","0.167606279291432"
"5 on scale 1-7","2005","35-65 y.","Employed","912","0.092577270047868","0.0865611004183175","0.0985934396774185"
"5 on scale 1-7","2005","66 and older","Not Employed","476","0.136464077855166","0.125134995396139","0.147793160314194"
"5 on scale 1-7","2005","66 and older","Employed","28","","",""
"6 on scale 1-7","2005","16-34 y.","Not Employed","542","0.310560719996924","0.287979251487596","0.333142188506253"
"6 on scale 1-7","2005","16-34 y.","Employed","1379","0.363099123933155","0.347618611886749","0.37857963597956"
"6 on scale 1-7","2005","35-65 y.","Not Employed","833","0.295998064236513","0.27871534574218","0.313280782730845"
"6 on scale 1-7","2005","35-65 y.","Employed","2967","0.32723909883598","0.317499837333576","0.336978360338384"
"6 on scale 1-7","2005","66 and older","Not Employed","981","0.268040254613028","0.253422220508133","0.282658288717922"
"6 on scale 1-7","2005","66 and older","Employed","66","0.273029638275113","0.215073637189358","0.330985639360868"
"7 Strongly agree","2005","16-34 y.","Not Employed","442","0.292452984962929","0.270253822574904","0.314652147350954"
"7 Strongly agree","2005","16-34 y.","Employed","1546","0.422245227497116","0.406345453778227","0.438145001216006"
"7 Strongly agree","2005","35-65 y.","Not Employed","1210","0.457196959363316","0.438336446564195","0.476057472162437"
"7 Strongly agree","2005","35-65 y.","Employed","4728","0.54371225069883","0.533373524722008","0.554050976675653"
"7 Strongly agree","2005","66 and older","Not Employed","1781","0.507703615042051","0.491204379885499","0.524202850198603"
"7 Strongly agree","2005","66 and older","Employed","120","0.541494913997359","0.47667559975473","0.606314228239987"
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2006","16-34 y.","Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Employed","","","",""
"1 Strongly disagree","2006","66 and older","Not Employed","","","",""
"1 Strongly disagree","2006","66 and older","Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Employed","","","",""
"4 on scale 1-7","2006","66 and older","Not Employed","","","",""
"4 on scale 1-7","2006","66 and older","Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Employed","","","",""
"5 on scale 1-7","2006","66 and older","Not Employed","","","",""
"5 on scale 1-7","2006","66 and older","Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Employed","","","",""
"6 on scale 1-7","2006","66 and older","Not Employed","","","",""
"6 on scale 1-7","2006","66 and older","Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Not Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Not Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Employed","","","",""
"7 Strongly agree","2006","66 and older","Not Employed","","","",""
"7 Strongly agree","2006","66 and older","Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Employed","","","",""
"1 Strongly disagree","2007","66 and older","Not Employed","","","",""
"1 Strongly disagree","2007","66 and older","Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Employed","","","",""
"4 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2007","35-65 y.","Employed","","","",""
"4 on scale 1-7","2007","66 and older","Not Employed","","","",""
"4 on scale 1-7","2007","66 and older","Employed","","","",""
"5 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2007","16-34 y.","Employed","","","",""
"5 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2007","35-65 y.","Employed","","","",""
"5 on scale 1-7","2007","66 and older","Not Employed","","","",""
"5 on scale 1-7","2007","66 and older","Employed","","","",""
"6 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2007","16-34 y.","Employed","","","",""
"6 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2007","35-65 y.","Employed","","","",""
"6 on scale 1-7","2007","66 and older","Not Employed","","","",""
"6 on scale 1-7","2007","66 and older","Employed","","","",""
"7 Strongly agree","2007","16-34 y.","Not Employed","","","",""
"7 Strongly agree","2007","16-34 y.","Employed","","","",""
"7 Strongly agree","2007","35-65 y.","Not Employed","","","",""
"7 Strongly agree","2007","35-65 y.","Employed","","","",""
"7 Strongly agree","2007","66 and older","Not Employed","","","",""
"7 Strongly agree","2007","66 and older","Employed","","","",""
"1 Strongly disagree","2008","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2008","16-34 y.","Employed","","","",""
"1 Strongly disagree","2008","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2008","35-65 y.","Employed","","","",""
"1 Strongly disagree","2008","66 and older","Not Employed","","","",""
"1 Strongly disagree","2008","66 and older","Employed","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2008","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2008","66 and older","Employed","","","",""
