"party","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","no migration background","Urban Area","","","","","7"
"AfD","1985","no migration background","Rural Area","","","","","7"
"AfD","1985","direct migration background","Urban Area","","","","","7"
"AfD","1985","direct migration background","Rural Area","","","","","7"
"AfD","1985","indirect migration background","Urban Area","","","","","7"
"AfD","1985","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1985","no migration background","Urban Area","1529","0.422417253879499","0.406458384807008","0.43837612295199","2"
"CDU/CSU","1985","no migration background","Rural Area","579","0.535601886690775","0.505926287661161","0.565277485720388","2"
"CDU/CSU","1985","direct migration background","Urban Area","167","0.349986573649458","0.317731703068863","0.382241444230054","2"
"CDU/CSU","1985","indirect migration background","Urban Area","11","","","","2"
"CDU/CSU","1985","direct migration background","Rural Area","37","0.557665790610071","0.469171006927965","0.646160574292178","2"
"CDU/CSU","1985","indirect migration background","Rural Area","2","","","","2"
"FDP","1985","no migration background","Rural Area","34","0.0341432673943569","0.0233378358253653","0.0449486989633486","3"
"FDP","1985","direct migration background","Urban Area","11","","","","3"
"FDP","1985","no migration background","Urban Area","153","0.0427050824225465","0.0361724707813425","0.0492376940637505","3"
"FDP","1985","direct migration background","Rural Area","","","","","3"
"FDP","1985","indirect migration background","Urban Area","","","","","3"
"FDP","1985","indirect migration background","Rural Area","","","","","3"
"Grüne","1985","no migration background","Urban Area","277","0.0685332112798709","0.0603700493757307","0.0766963731840111","4"
"Grüne","1985","no migration background","Rural Area","42","0.0351355289521671","0.0241798416689286","0.0460912162354057","4"
"Grüne","1985","direct migration background","Urban Area","77","0.0767038476362159","0.058707368978985","0.0947003262934469","4"
"Grüne","1985","direct migration background","Rural Area","6","","","","4"
"Grüne","1985","indirect migration background","Urban Area","5","","","","4"
"Grüne","1985","indirect migration background","Rural Area","1","","","","4"
"NPD","1985","no migration background","Urban Area","","","","","6"
"NPD","1985","no migration background","Rural Area","","","","","6"
"NPD","1985","direct migration background","Rural Area","","","","","6"
"NPD","1985","indirect migration background","Urban Area","","","","","6"
"NPD","1985","indirect migration background","Rural Area","","","","","6"
"NPD","1985","direct migration background","Urban Area","","","","","6"
"Other","1985","no migration background","Urban Area","28","","","","8"
"Other","1985","no migration background","Rural Area","8","","","","8"
"Other","1985","direct migration background","Urban Area","","","","","8"
"Other","1985","direct migration background","Rural Area","","","","","8"
"Other","1985","indirect migration background","Urban Area","","","","","8"
"Other","1985","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1985","no migration background","Urban Area","","","","","5"
"PDS/Linke","1985","no migration background","Rural Area","","","","","5"
"PDS/Linke","1985","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1985","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1985","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1985","indirect migration background","Rural Area","","","","","5"
"SPD","1985","no migration background","Urban Area","1693","0.458679996183334","0.442580728558556","0.474779263808111","1"
"SPD","1985","no migration background","Rural Area","422","0.388329075516117","0.359329469689106","0.417328681343128","1"
"SPD","1985","direct migration background","Urban Area","585","0.552663048513352","0.519038531946836","0.586287565079867","1"
"SPD","1985","direct migration background","Rural Area","78","0.410056716155513","0.322420725328851","0.497692706982174","1"
"SPD","1985","indirect migration background","Urban Area","28","","","","1"
"SPD","1985","indirect migration background","Rural Area","2","","","","1"
"AfD","1986","no migration background","Urban Area","","","","","7"
"AfD","1986","no migration background","Rural Area","","","","","7"
"AfD","1986","direct migration background","Urban Area","","","","","7"
"AfD","1986","direct migration background","Rural Area","","","","","7"
"AfD","1986","indirect migration background","Urban Area","","","","","7"
"AfD","1986","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1986","no migration background","Urban Area","1465","0.425636258643662","0.409211125608284","0.44206139167904","2"
"CDU/CSU","1986","no migration background","Rural Area","524","0.515953240718424","0.485433677817081","0.546472803619767","2"
"CDU/CSU","1986","direct migration background","Urban Area","165","0.363403613165736","0.330218903003896","0.396588323327577","2"
"CDU/CSU","1986","direct migration background","Rural Area","34","0.435136536296041","0.342064469178271","0.528208603413812","2"
"CDU/CSU","1986","indirect migration background","Urban Area","12","","","","2"
"CDU/CSU","1986","indirect migration background","Rural Area","4","","","","2"
"FDP","1986","no migration background","Urban Area","130","0.0376253672733535","0.0313040361982269","0.04394669834848","3"
"FDP","1986","no migration background","Rural Area","30","0.0325278059830261","0.0216941233241498","0.0433614886419024","3"
"FDP","1986","direct migration background","Urban Area","10","","","","3"
"FDP","1986","direct migration background","Rural Area","","","","","3"
"FDP","1986","indirect migration background","Urban Area","","","","","3"
"FDP","1986","indirect migration background","Rural Area","","","","","3"
"Grüne","1986","no migration background","Rural Area","53","0.0450080741318892","0.0323468836199887","0.0576692646437898","4"
"Grüne","1986","no migration background","Urban Area","258","0.0666936984049554","0.0584056824376844","0.0749817143722265","4"
"Grüne","1986","direct migration background","Urban Area","60","0.0722937607542429","0.0544261299088192","0.0901613915996665","4"
"Grüne","1986","indirect migration background","Urban Area","9","","","","4"
"Grüne","1986","direct migration background","Rural Area","4","","","","4"
"Grüne","1986","indirect migration background","Rural Area","1","","","","4"
"NPD","1986","no migration background","Rural Area","","","","","6"
"NPD","1986","indirect migration background","Urban Area","","","","","6"
"NPD","1986","direct migration background","Rural Area","","","","","6"
"NPD","1986","no migration background","Urban Area","","","","","6"
"NPD","1986","direct migration background","Urban Area","","","","","6"
"NPD","1986","indirect migration background","Rural Area","","","","","6"
"Other","1986","no migration background","Urban Area","19","","","","8"
