"party","year","education","migback","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","no migration background","1490","0.448964035643137","0.432065379023888","0.465862692262386"
"CDU/CSU","1984","lower secondary degree","direct migration background","63","0.41385015440038","0.350744823179773","0.476955485620987"
"CDU/CSU","1984","lower secondary degree","indirect migration background","","","",""
"CDU/CSU","1984","secondary school degree","no migration background","532","0.522341825482155","0.492143508355936","0.552540142608375"
"CDU/CSU","1984","secondary school degree","direct migration background","34","0.655774836152614","0.54678516494776","0.764764507357469"
"CDU/CSU","1984","secondary school degree","indirect migration background","","","",""
"CDU/CSU","1984","college entrance qualification","no migration background","318","0.438409093863834","0.403108906262757","0.473709281464911"
"CDU/CSU","1984","college entrance qualification","direct migration background","","","",""
"CDU/CSU","1984","college entrance qualification","indirect migration background","","","",""
"CDU/CSU","1984","Other degree","no migration background","","","",""
"CDU/CSU","1984","Other degree","direct migration background","72","0.138320293531393","0.106702523565749","0.169938063497036"
"CDU/CSU","1984","Other degree","indirect migration background","","","",""
"CDU/CSU","1984","no degree/no degree yet","no migration background","32","0.337842701344713","0.243718765401542","0.431966637287884"
"CDU/CSU","1984","no degree/no degree yet","direct migration background","","","",""
"CDU/CSU","1984","no degree/no degree yet","indirect migration background","","","",""
"SPD","1984","lower secondary degree","no migration background","1681","0.504831751608972","0.487845163439765","0.521818339778179"
"SPD","1984","lower secondary degree","direct migration background","147","0.528476682007497","0.464517240266868","0.592436123748126"
"SPD","1984","lower secondary degree","indirect migration background","","","",""
"SPD","1984","secondary school degree","no migration background","379","0.345742720197341","0.316988768614584","0.374496671780098"
"SPD","1984","secondary school degree","direct migration background","","","",""
"SPD","1984","secondary school degree","indirect migration background","","","",""
"SPD","1984","college entrance qualification","no migration background","237","0.303208822503409","0.270508695336329","0.33590894967049"
"SPD","1984","college entrance qualification","direct migration background","","","",""
"SPD","1984","college entrance qualification","indirect migration background","","","",""
"SPD","1984","Other degree","no migration background","","","",""
"SPD","1984","Other degree","direct migration background","346","0.768165190678992","0.729516749154515","0.80681363220347"
"SPD","1984","Other degree","indirect migration background","","","",""
"SPD","1984","no degree/no degree yet","no migration background","43","0.44116475245297","0.34235392810849","0.53997557679745"
"SPD","1984","no degree/no degree yet","direct migration background","229","0.817418915924702","0.771338494590333","0.863499337259071"
"SPD","1984","no degree/no degree yet","indirect migration background","","","",""
"FDP","1984","lower secondary degree","no migration background","72","0.0222629251086326","0.0172503766212457","0.0272754735960196"
"FDP","1984","lower secondary degree","direct migration background","","","",""
"FDP","1984","lower secondary degree","indirect migration background","","","",""
"FDP","1984","secondary school degree","no migration background","40","0.0419419590725919","0.0298229531089404","0.0540609650362433"
"FDP","1984","secondary school degree","direct migration background","","","",""
"FDP","1984","secondary school degree","indirect migration background","","","",""
"FDP","1984","college entrance qualification","no migration background","51","0.0697847391747605","0.0516588565671207","0.0879106217824004"
"FDP","1984","college entrance qualification","direct migration background","","","",""
"FDP","1984","college entrance qualification","indirect migration background","","","",""
"FDP","1984","Other degree","no migration background","","","",""
"FDP","1984","Other degree","direct migration background","","","",""
"FDP","1984","Other degree","indirect migration background","","","",""
"FDP","1984","no degree/no degree yet","no migration background","","","",""
"FDP","1984","no degree/no degree yet","direct migration background","","","",""
"FDP","1984","no degree/no degree yet","indirect migration background","","","",""
"Grüne","1984","lower secondary degree","no migration background","70","0.018770267830687","0.0141594600578028","0.0233810756035713"
"Grüne","1984","lower secondary degree","direct migration background","","","",""
"Grüne","1984","lower secondary degree","indirect migration background","","","",""
"Grüne","1984","secondary school degree","no migration background","94","0.0837738468886068","0.0670243292511239","0.10052336452609"
"Grüne","1984","secondary school degree","direct migration background","","","",""
"Grüne","1984","secondary school degree","indirect migration background","","","",""
"Grüne","1984","college entrance qualification","no migration background","147","0.179701882917008","0.152387626994233","0.207016138839783"
"Grüne","1984","college entrance qualification","direct migration background","","","",""
"Grüne","1984","college entrance qualification","indirect migration background","","","",""
"Grüne","1984","Other degree","no migration background","","","",""
"Grüne","1984","Other degree","direct migration background","32","0.0743929384196261","0.0503606826088881","0.0984251942303641"
"Grüne","1984","Other degree","indirect migration background","","","",""
"Grüne","1984","no degree/no degree yet","no migration background","","","",""
"Grüne","1984","no degree/no degree yet","direct migration background","","","",""
"Grüne","1984","no degree/no degree yet","indirect migration background","","","",""
"PDS/Linke","1984","lower secondary degree","no migration background","","","",""
"PDS/Linke","1984","lower secondary degree","direct migration background","","","",""
"PDS/Linke","1984","lower secondary degree","indirect migration background","","","",""
"PDS/Linke","1984","secondary school degree","no migration background","","","",""
"PDS/Linke","1984","secondary school degree","direct migration background","","","",""
"PDS/Linke","1984","secondary school degree","indirect migration background","","","",""
"PDS/Linke","1984","college entrance qualification","no migration background","","","",""
"PDS/Linke","1984","college entrance qualification","direct migration background","","","",""
"PDS/Linke","1984","college entrance qualification","indirect migration background","","","",""
"PDS/Linke","1984","Other degree","no migration background","","","",""
"PDS/Linke","1984","Other degree","direct migration background","","","",""
"PDS/Linke","1984","Other degree","indirect migration background","","","",""
"PDS/Linke","1984","no degree/no degree yet","no migration background","","","",""
"PDS/Linke","1984","no degree/no degree yet","direct migration background","","","",""
"PDS/Linke","1984","no degree/no degree yet","indirect migration background","","","",""
"NPD Combination","1984","lower secondary degree","no migration background","","","",""
"NPD Combination","1984","lower secondary degree","direct migration background","","","",""
"NPD Combination","1984","lower secondary degree","indirect migration background","","","",""
"NPD Combination","1984","secondary school degree","no migration background","","","",""
"NPD Combination","1984","secondary school degree","direct migration background","","","",""
"NPD Combination","1984","secondary school degree","indirect migration background","","","",""
"NPD Combination","1984","college entrance qualification","no migration background","","","",""
"NPD Combination","1984","college entrance qualification","direct migration background","","","",""
"NPD Combination","1984","college entrance qualification","indirect migration background","","","",""
"NPD Combination","1984","Other degree","no migration background","","","",""
"NPD Combination","1984","Other degree","direct migration background","","","",""
"NPD Combination","1984","Other degree","indirect migration background","","","",""
"NPD Combination","1984","no degree/no degree yet","no migration background","","","",""
"NPD Combination","1984","no degree/no degree yet","direct migration background","","","",""
