"party","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","no migration background","Male","","","","","7"
"AfD","1984","no migration background","Female","","","","","7"
"AfD","1984","direct migration background","Male","","","","","7"
"AfD","1984","direct migration background","Female","","","","","7"
"AfD","1984","indirect migration background","Female","","","","","7"
"AfD","1984","indirect migration background","Male","","","","","7"
"CDU/CSU","1984","no migration background","Female","1210","0.466662564895748","0.447718049665435","0.485607080126062","1"
"CDU/CSU","1984","no migration background","Male","1174","0.452860397625392","0.433734329783768","0.471986465467017","1"
"CDU/CSU","1984","direct migration background","Male","124","0.317569357762205","0.28285911730639","0.35227959821802","1"
"CDU/CSU","1984","direct migration background","Female","92","0.385188056264686","0.339191913079371","0.43118419945","1"
"CDU/CSU","1984","indirect migration background","Female","3","","","","1"
"CDU/CSU","1984","indirect migration background","Male","7","","","","1"
"FDP","1984","no migration background","Male","94","0.0368849386602661","0.0296429462567758","0.0441269310637564","3"
"FDP","1984","no migration background","Female","72","0.0281049903811336","0.0218289984385286","0.0343809823237385","3"
"FDP","1984","direct migration background","Male","9","","","","3"
"FDP","1984","indirect migration background","Male","1","","","","3"
"FDP","1984","indirect migration background","Female","","","","","3"
"FDP","1984","direct migration background","Female","5","","","","3"
"NPD Combination","1984","no migration background","Male","","","","","6"
"NPD Combination","1984","indirect migration background","Male","","","","","6"
"NPD Combination","1984","no migration background","Female","","","","","6"
"NPD Combination","1984","direct migration background","Female","","","","","6"
"NPD Combination","1984","indirect migration background","Female","","","","","6"
"NPD Combination","1984","direct migration background","Male","","","","","6"
"Other","1984","no migration background","Male","19","","","","8"
"Other","1984","no migration background","Female","9","","","","8"
"Other","1984","direct migration background","Male","8","","","","8"
"Other","1984","direct migration background","Female","3","","","","8"
"Other","1984","indirect migration background","Male","","","","","8"
"Other","1984","indirect migration background","Female","1","","","","8"
"PDS/Linke","1984","no migration background","Female","","","","","5"
"PDS/Linke","1984","direct migration background","Female","","","","","5"
"PDS/Linke","1984","no migration background","Male","","","","","5"
"PDS/Linke","1984","direct migration background","Male","","","","","5"
"PDS/Linke","1984","indirect migration background","Male","","","","","5"
"PDS/Linke","1984","indirect migration background","Female","","","","","5"
"SPD","1984","no migration background","Male","1150","0.444066894227028","0.424975839966587","0.463157948487469","2"
"SPD","1984","direct migration background","Female","289","0.506947022067568","0.459692655662078","0.554201388473059","2"
"SPD","1984","direct migration background","Male","502","0.593348193341049","0.556723395805578","0.629972990876519","2"
"SPD","1984","no migration background","Female","1206","0.446343447830423","0.427466325742179","0.465220569918667","2"
"SPD","1984","indirect migration background","Female","12","","","","2"
"SPD","1984","indirect migration background","Male","16","","","","2"
"AfD","1985","direct migration background","Male","","","","","7"
"AfD","1985","direct migration background","Female","","","","","7"
"AfD","1985","no migration background","Male","","","","","7"
"AfD","1985","no migration background","Female","","","","","7"
"AfD","1985","indirect migration background","Male","","","","","7"
"AfD","1985","indirect migration background","Female","","","","","7"
"CDU/CSU","1985","no migration background","Female","1044","0.452664252439529","0.43256093910946","0.472767565769598","1"
"CDU/CSU","1985","no migration background","Male","1064","0.445526549196839","0.425683119249955","0.465369979143723","1"
"CDU/CSU","1985","direct migration background","Female","84","0.419294174219814","0.368392508364878","0.47019584007475","1"
"CDU/CSU","1985","direct migration background","Male","120","0.350374499644638","0.3122002733824","0.388548725906877","1"
"CDU/CSU","1985","indirect migration background","Male","5","","","","1"
"CDU/CSU","1985","indirect migration background","Female","8","","","","1"
"FDP","1985","no migration background","Male","105","0.0426580470645015","0.034589903827395","0.050726190301608","3"
"FDP","1985","no migration background","Female","82","0.0387464629981969","0.0309519741043678","0.046540951892026","3"
"FDP","1985","direct migration background","Male","7","","","","3"
"FDP","1985","indirect migration background","Male","","","","","3"
"FDP","1985","indirect migration background","Female","","","","","3"
"FDP","1985","direct migration background","Female","4","","","","3"
"NPD Combination","1985","no migration background","Female","","","","","6"
"NPD Combination","1985","indirect migration background","Male","","","","","6"
"NPD Combination","1985","no migration background","Male","","","","","6"
"NPD Combination","1985","direct migration background","Female","","","","","6"
"NPD Combination","1985","indirect migration background","Female","","","","","6"
"NPD Combination","1985","direct migration background","Male","","","","","6"
"Other","1985","no migration background","Male","27","","","","8"
"Other","1985","no migration background","Female","9","","","","8"
"Other","1985","direct migration background","Male","","","","","8"
"Other","1985","direct migration background","Female","","","","","8"
"Other","1985","indirect migration background","Male","","","","","8"
"Other","1985","indirect migration background","Female","","","","","8"
"PDS/Linke","1985","no migration background","Male","","","","","5"
"PDS/Linke","1985","no migration background","Female","","","","","5"
"PDS/Linke","1985","direct migration background","Female","","","","","5"
"PDS/Linke","1985","direct migration background","Male","","","","","5"
"PDS/Linke","1985","indirect migration background","Male","","","","","5"
"PDS/Linke","1985","indirect migration background","Female","","","","","5"
"SPD","1985","direct migration background","Male","423","0.557012694561747","0.517266033369401","0.596759355754094","2"
"SPD","1985","direct migration background","Female","240","0.499556850617042","0.447978871281804","0.551134829952281","2"
"SPD","1985","no migration background","Male","1055","0.438960530389825","0.419147586329121","0.458773474450528","2"
"SPD","1985","no migration background","Female","1060","0.44513946377221","0.425067373428001","0.465211554116418","2"
"SPD","1985","indirect migration background","Female","16","","","","2"
"SPD","1985","indirect migration background","Male","14","","","","2"
"AfD","1986","no migration background","Male","","","","","7"
"AfD","1986","no migration background","Female","","","","","7"
"AfD","1986","direct migration background","Male","","","","","7"
"AfD","1986","direct migration background","Female","","","","","7"
"AfD","1986","indirect migration background","Male","","","","","7"
"AfD","1986","indirect migration background","Female","","","","","7"
"CDU/CSU","1986","no migration background","Male","988","0.433298322528294","0.412935961023064","0.453660684033524","1"
"CDU/CSU","1986","no migration background","Female","1001","0.459984252725684","0.439326318720882","0.480642186730486","1"
"CDU/CSU","1986","direct migration background","Female","89","0.433847355042223","0.381398467831917","0.486296242252528","1"
"CDU/CSU","1986","direct migration background","Male","110","0.328229500295117","0.289781828166656","0.366677172423579","1"
"CDU/CSU","1986","indirect migration background","Male","10","","","","1"
"CDU/CSU","1986","indirect migration background","Female","6","","","","1"
"FDP","1986","indirect migration background","Male","","","","","3"
"FDP","1986","no migration background","Male","93","0.0405668600732957","0.0324600416598034","0.048673678486788","3"
"FDP","1986","direct migration background","Male","7","","","","3"
"FDP","1986","indirect migration background","Female","","","","","3"
"FDP","1986","no migration background","Female","67","0.0323787372816782","0.0250421371895135","0.0397153373738428","3"
"FDP","1986","direct migration background","Female","3","","","","3"
"NPD Combination","1986","no migration background","Male","","","","","6"
"NPD Combination","1986","no migration background","Female","","","","","6"
"NPD Combination","1986","indirect migration background","Male","","","","","6"
"NPD Combination","1986","direct migration background","Female","","","","","6"
"NPD Combination","1986","direct migration background","Male","","","","","6"
"NPD Combination","1986","indirect migration background","Female","","","","","6"
"Other","1986","no migration background","Male","17","","","","8"
"Other","1986","no migration background","Female","7","","","","8"
"Other","1986","direct migration background","Male","5","","","","8"
"Other","1986","direct migration background","Female","","","","","8"
"Other","1986","indirect migration background","Male","","","","","8"
"Other","1986","indirect migration background","Female","","","","","8"
"PDS/Linke","1986","no migration background","Male","","","","","5"
"PDS/Linke","1986","no migration background","Female","","","","","5"
"PDS/Linke","1986","direct migration background","Male","","","","","5"
"PDS/Linke","1986","direct migration background","Female","","","","","5"
"PDS/Linke","1986","indirect migration background","Male","","","","","5"
"PDS/Linke","1986","indirect migration background","Female","","","","","5"
"SPD","1986","direct migration background","Male","407","0.554978672765849","0.514287581285055","0.595669764246642","2"
"SPD","1986","no migration background","Male","1032","0.460507298177075","0.440025483314365","0.480989113039785","2"
"SPD","1986","direct migration background","Female","231","0.510979451704826","0.458078156752622","0.56388074665703","2"
"SPD","1986","indirect migration background","Female","9","","","","2"
"SPD","1986","no migration background","Female","995","0.439461964801307","0.418890018529129","0.460033911073485","2"
"SPD","1986","indirect migration background","Male","17","","","","2"
"AfD","1987","no migration background","Male","","","","","7"
"AfD","1987","no migration background","Female","","","","","7"
"AfD","1987","direct migration background","Female","","","","","7"
"AfD","1987","direct migration background","Male","","","","","7"
"AfD","1987","indirect migration background","Male","","","","","7"
"AfD","1987","indirect migration background","Female","","","","","7"
"CDU/CSU","1987","no migration background","Male","1090","0.450789409510776","0.430977438319039","0.470601380702512","1"
"CDU/CSU","1987","no migration background","Female","1087","0.46402855162386","0.444097338643254","0.483959764604466","1"
"CDU/CSU","1987","direct migration background","Male","125","0.350351658257035","0.31125484747386","0.389448469040209","1"
"CDU/CSU","1987","indirect migration background","Male","11","","","","1"
"CDU/CSU","1987","direct migration background","Female","98","0.448208812435149","0.396837055818437","0.499580569051862","1"
"CDU/CSU","1987","indirect migration background","Female","8","","","","1"
"FDP","1987","indirect migration background","Female","","","","","3"
"FDP","1987","indirect migration background","Male","","","","","3"
"FDP","1987","no migration background","Female","117","0.053827894855663","0.0448084601603141","0.062847329551012","3"
"FDP","1987","no migration background","Male","143","0.0591057223321524","0.0497159175719476","0.0684955270923572","3"
"FDP","1987","direct migration background","Male","12","","","","3"
"FDP","1987","direct migration background","Female","6","","","","3"
"NPD Combination","1987","no migration background","Male","","","","","6"
"NPD Combination","1987","no migration background","Female","","","","","6"
"NPD Combination","1987","direct migration background","Female","","","","","6"
"NPD Combination","1987","direct migration background","Male","","","","","6"
"NPD Combination","1987","indirect migration background","Male","","","","","6"
"NPD Combination","1987","indirect migration background","Female","","","","","6"
"Other","1987","no migration background","Male","19","","","","8"
"Other","1987","no migration background","Female","15","","","","8"
"Other","1987","direct migration background","Male","3","","","","8"
"Other","1987","direct migration background","Female","","","","","8"
"Other","1987","indirect migration background","Male","","","","","8"
"Other","1987","indirect migration background","Female","","","","","8"
"PDS/Linke","1987","direct migration background","Male","","","","","5"
"PDS/Linke","1987","indirect migration background","Female","","","","","5"
"PDS/Linke","1987","no migration background","Male","","","","","5"
"PDS/Linke","1987","no migration background","Female","","","","","5"
"PDS/Linke","1987","direct migration background","Female","","","","","5"
"PDS/Linke","1987","indirect migration background","Male","","","","","5"
"SPD","1987","indirect migration background","Female","17","","","","2"
"SPD","1987","indirect migration background","Male","20","","","","2"
"SPD","1987","direct migration background","Male","372","0.519096015950717","0.478150805092449","0.560041226808985","2"
"SPD","1987","direct migration background","Female","214","0.457184283440395","0.405724412390768","0.508644154490023","2"
"SPD","1987","no migration background","Male","1008","0.418575048892115","0.39893218149889","0.43821791628534","2"
"SPD","1987","no migration background","Female","987","0.405714176616512","0.386089688952085","0.425338664280939","2"
"AfD","1988","no migration background","Male","","","","","7"
"AfD","1988","no migration background","Female","","","","","7"
"AfD","1988","direct migration background","Male","","","","","7"
"AfD","1988","direct migration background","Female","","","","","7"
"AfD","1988","indirect migration background","Male","","","","","7"
"AfD","1988","indirect migration background","Female","","","","","7"
"CDU/CSU","1988","no migration background","Female","913","0.437431486962906","0.416364568211756","0.458498405714056","1"
"CDU/CSU","1988","no migration background","Male","895","0.410846047074687","0.39012207038908","0.431570023760294","1"
"CDU/CSU","1988","direct migration background","Male","113","0.324721943963388","0.285693371814958","0.363750516111818","1"
"CDU/CSU","1988","direct migration background","Female","77","0.446011235756873","0.388602864554282","0.503419606959465","1"
"CDU/CSU","1988","indirect migration background","Male","8","","","","1"
"CDU/CSU","1988","indirect migration background","Female","8","","","","1"
"FDP","1988","no migration background","Female","88","0.0442695904737922","0.0355342719866806","0.0530049089609039","3"
"FDP","1988","indirect migration background","Male","","","","","3"
"FDP","1988","indirect migration background","Female","","","","","3"
"FDP","1988","direct migration background","Female","5","","","","3"
"FDP","1988","no migration background","Male","110","0.0513470295852997","0.0420502937973473","0.060643765373252","3"
"FDP","1988","direct migration background","Male","11","","","","3"
